epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	None	22.8162	22.8165
1	13.18	None	22.2663	45.0847
2	27.98	None	23.7015	68.7864
3	29.92	None	23.4764	92.2631
4	32.9	None	23.8823	116.1457
5	32.74	None	23.0498	139.1957
6	40.86	None	22.9905	162.1865
7	39.34	None	23.1707	185.3574
8	35.7	None	23.1953	208.5532
9	42.96	None	23.2670	231.8205
10	38.24	None	23.2752	255.0960
11	40.74	None	23.6436	278.7399
12	37.57	None	23.2365	301.9766
13	43.09	None	23.4632	325.4401
14	40.85	None	23.4318	348.8722
15	38.46	None	23.2849	372.1574
16	40.66	None	23.4403	395.5979
17	43.4	None	23.3790	418.9785
18	42.84	None	23.5604	442.5392
19	39.27	None	23.5190	466.0585
20	42.53	None	23.5822	489.6410
21	40.79	None	23.4176	513.0589
22	44.73	None	23.4604	536.5196
23	43.52	None	23.4685	559.9883
24	44.6	None	23.8012	583.7898
25	40.44	None	23.8253	607.6153
26	45.44	None	23.5878	631.2034
27	43.84	None	23.5993	654.8031
28	38.46	None	23.4011	678.2045
29	40.45	None	23.5342	701.7389
30	36.29	None	23.4031	725.1423
31	39.68	None	23.6118	748.7544
32	39.85	None	23.5668	772.3215
33	43.09	None	23.5097	795.8315
34	39.15	None	23.6773	819.5091
35	43.52	None	23.7082	843.2176
36	38.92	None	23.7567	866.9746
37	43.84	None	23.4230	890.3979
38	39.54	None	23.4868	913.8850
39	43.88	None	23.6335	937.5188
40	35.97	None	23.5708	961.0900
41	44.75	None	23.5512	984.6415
42	42.18	None	23.4912	1008.1330
43	44.31	None	23.6998	1031.8331
44	42.87	None	23.5800	1055.4134
45	39.03	None	23.7297	1079.1434
46	43.46	None	23.6279	1102.7715
47	41.18	None	23.6231	1126.3949
48	36.66	None	23.9859	1150.3811
49	41.28	None	23.9468	1174.3282
50	45.49	None	23.8432	1198.1716
51	41.19	None	23.8576	1222.0294
52	41.1	None	24.0710	1246.1007
53	38.65	None	23.8261	1269.9271
54	40.53	None	24.0257	1293.9531
55	41.48	None	23.9941	1317.9475
56	41.28	None	24.0259	1341.9736
57	40.12	None	24.1104	1366.0843
58	37.49	None	23.7317	1389.8163
59	42.23	None	23.8362	1413.6528
60	43.73	None	23.9788	1437.6318
61	41.05	None	23.9617	1461.5938
62	46.03	None	24.4573	1486.0513
63	41.59	None	23.7360	1509.7876
64	44.24	None	23.7635	1533.5514
65	40.31	None	24.0833	1557.6350
66	44.49	None	23.7897	1581.4251
67	44.38	None	23.6875	1605.1129
68	41.14	None	23.9247	1629.0380
69	46.37	None	23.7589	1652.7972
70	42.84	None	24.1362	1676.9337
71	45.11	None	23.9816	1700.9156
72	40.37	None	24.2373	1725.1531
73	40.61	None	23.7192	1748.8726
74	41.83	None	23.9606	1772.8335
75	43.4	None	23.5696	1796.4033
76	44.09	None	23.8594	1820.2630
77	42.21	None	23.9492	1844.2126
78	43.61	None	23.7021	1867.9149
79	42.78	None	23.8237	1891.7390
80	47.41	None	23.8973	1915.6367
81	40.97	None	24.0366	1939.6736
82	43.78	None	23.9482	1963.6222
83	42.58	None	23.6669	1987.2893
84	44.44	None	23.6501	2010.9397
85	43.94	None	23.9441	2034.8842
86	42.86	None	23.8407	2058.7251
87	43.05	None	23.5474	2082.2739
88	44.15	None	23.7895	2106.0636
89	42.74	None	23.8680	2129.9320
90	41.35	None	23.6622	2153.5944
91	42.9	None	23.7654	2177.3602
92	41.65	None	24.1000	2201.4604
93	39.13	None	24.2188	2225.6795
94	39.98	None	23.9807	2249.6604
95	41.85	None	23.8396	2273.5004
96	42.94	None	23.7620	2297.2627
97	40.6	None	23.9324	2321.1954
98	42.9	None	23.8233	2345.0189
99	42.1	None	23.4878	2368.5070
