====================================================================================================
Training started at: 2026-03-12 10:32:01
Result directory: results/fl_cifar10/fedavg
Result txt file : results/fl_cifar10/fedavg/model=fedavg_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-103201.txt
Result log file : results/fl_cifar10/fedavg/model=fedavg_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-103201.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.790 | RoundTime=26.34s | TotalTime=26.34s | Method=fedavg
[Round 002/100] Acc=16.720 | RoundTime=27.29s | TotalTime=53.63s | Method=fedavg
[Round 003/100] Acc=35.810 | RoundTime=27.00s | TotalTime=80.63s | Method=fedavg
[Round 004/100] Acc=34.630 | RoundTime=26.96s | TotalTime=107.59s | Method=fedavg
[Round 005/100] Acc=38.930 | RoundTime=28.64s | TotalTime=136.22s | Method=fedavg
[Round 006/100] Acc=43.320 | RoundTime=27.70s | TotalTime=163.92s | Method=fedavg
[Round 007/100] Acc=40.590 | RoundTime=28.42s | TotalTime=192.34s | Method=fedavg
[Round 008/100] Acc=44.020 | RoundTime=28.91s | TotalTime=221.25s | Method=fedavg
[Round 009/100] Acc=43.820 | RoundTime=28.65s | TotalTime=249.89s | Method=fedavg
[Round 010/100] Acc=43.710 | RoundTime=27.80s | TotalTime=277.69s | Method=fedavg
[Round 011/100] Acc=42.320 | RoundTime=28.29s | TotalTime=305.99s | Method=fedavg
[Round 012/100] Acc=43.890 | RoundTime=27.77s | TotalTime=333.76s | Method=fedavg
[Round 013/100] Acc=47.060 | RoundTime=28.34s | TotalTime=362.10s | Method=fedavg
[Round 014/100] Acc=50.580 | RoundTime=29.15s | TotalTime=391.25s | Method=fedavg
[Round 015/100] Acc=47.720 | RoundTime=29.15s | TotalTime=420.41s | Method=fedavg
[Round 016/100] Acc=45.830 | RoundTime=27.80s | TotalTime=448.20s | Method=fedavg
[Round 017/100] Acc=45.770 | RoundTime=28.34s | TotalTime=476.54s | Method=fedavg
[Round 018/100] Acc=47.210 | RoundTime=28.89s | TotalTime=505.43s | Method=fedavg
[Round 019/100] Acc=44.940 | RoundTime=29.08s | TotalTime=534.51s | Method=fedavg
[Round 020/100] Acc=46.680 | RoundTime=28.85s | TotalTime=563.36s | Method=fedavg
[Round 021/100] Acc=52.100 | RoundTime=27.89s | TotalTime=591.25s | Method=fedavg
[Round 022/100] Acc=48.080 | RoundTime=27.75s | TotalTime=618.99s | Method=fedavg
[Round 023/100] Acc=50.460 | RoundTime=27.73s | TotalTime=646.73s | Method=fedavg
[Round 024/100] Acc=46.770 | RoundTime=28.64s | TotalTime=675.37s | Method=fedavg
[Round 025/100] Acc=46.310 | RoundTime=29.14s | TotalTime=704.51s | Method=fedavg
[Round 026/100] Acc=46.420 | RoundTime=28.67s | TotalTime=733.18s | Method=fedavg
[Round 027/100] Acc=46.220 | RoundTime=29.08s | TotalTime=762.26s | Method=fedavg
[Round 028/100] Acc=47.270 | RoundTime=28.63s | TotalTime=790.89s | Method=fedavg
[Round 029/100] Acc=46.900 | RoundTime=28.50s | TotalTime=819.39s | Method=fedavg
[Round 030/100] Acc=47.560 | RoundTime=27.54s | TotalTime=846.93s | Method=fedavg
[Round 031/100] Acc=50.460 | RoundTime=28.59s | TotalTime=875.53s | Method=fedavg
[Round 032/100] Acc=51.200 | RoundTime=28.63s | TotalTime=904.15s | Method=fedavg
[Round 033/100] Acc=48.840 | RoundTime=28.81s | TotalTime=932.97s | Method=fedavg
[Round 034/100] Acc=48.120 | RoundTime=29.07s | TotalTime=962.04s | Method=fedavg
[Round 035/100] Acc=47.660 | RoundTime=29.23s | TotalTime=991.26s | Method=fedavg
[Round 036/100] Acc=51.610 | RoundTime=28.83s | TotalTime=1020.09s | Method=fedavg
[Round 037/100] Acc=49.310 | RoundTime=29.68s | TotalTime=1049.77s | Method=fedavg
[Round 038/100] Acc=49.020 | RoundTime=29.23s | TotalTime=1079.00s | Method=fedavg
[Round 039/100] Acc=50.430 | RoundTime=28.04s | TotalTime=1107.04s | Method=fedavg
[Round 040/100] Acc=47.610 | RoundTime=27.71s | TotalTime=1134.75s | Method=fedavg
[Round 041/100] Acc=46.850 | RoundTime=28.09s | TotalTime=1162.84s | Method=fedavg
[Round 042/100] Acc=47.670 | RoundTime=28.25s | TotalTime=1191.09s | Method=fedavg
[Round 043/100] Acc=48.680 | RoundTime=27.74s | TotalTime=1218.84s | Method=fedavg
[Round 044/100] Acc=47.820 | RoundTime=28.75s | TotalTime=1247.59s | Method=fedavg
[Round 045/100] Acc=50.710 | RoundTime=28.15s | TotalTime=1275.74s | Method=fedavg
[Round 046/100] Acc=48.390 | RoundTime=27.40s | TotalTime=1303.14s | Method=fedavg
[Round 047/100] Acc=47.290 | RoundTime=28.82s | TotalTime=1331.96s | Method=fedavg
[Round 048/100] Acc=47.020 | RoundTime=29.42s | TotalTime=1361.38s | Method=fedavg
[Round 049/100] Acc=47.220 | RoundTime=28.40s | TotalTime=1389.78s | Method=fedavg
[Round 050/100] Acc=47.280 | RoundTime=29.69s | TotalTime=1419.47s | Method=fedavg
[Round 051/100] Acc=48.680 | RoundTime=28.50s | TotalTime=1447.97s | Method=fedavg
[Round 052/100] Acc=51.700 | RoundTime=28.11s | TotalTime=1476.08s | Method=fedavg
[Round 053/100] Acc=52.030 | RoundTime=28.49s | TotalTime=1504.57s | Method=fedavg
[Round 054/100] Acc=51.740 | RoundTime=28.27s | TotalTime=1532.84s | Method=fedavg
[Round 055/100] Acc=48.390 | RoundTime=29.54s | TotalTime=1562.39s | Method=fedavg
[Round 056/100] Acc=48.620 | RoundTime=29.40s | TotalTime=1591.79s | Method=fedavg
[Round 057/100] Acc=48.600 | RoundTime=29.09s | TotalTime=1620.87s | Method=fedavg
[Round 058/100] Acc=47.140 | RoundTime=29.09s | TotalTime=1649.96s | Method=fedavg
[Round 059/100] Acc=46.020 | RoundTime=29.51s | TotalTime=1679.47s | Method=fedavg
[Round 060/100] Acc=46.310 | RoundTime=29.19s | TotalTime=1708.67s | Method=fedavg
[Round 061/100] Acc=46.060 | RoundTime=28.95s | TotalTime=1737.62s | Method=fedavg
[Round 062/100] Acc=46.450 | RoundTime=29.40s | TotalTime=1767.02s | Method=fedavg
[Round 063/100] Acc=48.490 | RoundTime=30.41s | TotalTime=1797.43s | Method=fedavg
[Round 064/100] Acc=46.390 | RoundTime=30.26s | TotalTime=1827.70s | Method=fedavg
[Round 065/100] Acc=46.680 | RoundTime=29.22s | TotalTime=1856.91s | Method=fedavg
[Round 066/100] Acc=48.990 | RoundTime=28.80s | TotalTime=1885.72s | Method=fedavg
[Round 067/100] Acc=51.000 | RoundTime=28.77s | TotalTime=1914.48s | Method=fedavg
[Round 068/100] Acc=46.970 | RoundTime=28.99s | TotalTime=1943.47s | Method=fedavg
[Round 069/100] Acc=47.630 | RoundTime=28.78s | TotalTime=1972.25s | Method=fedavg
[Round 070/100] Acc=45.020 | RoundTime=29.66s | TotalTime=2001.91s | Method=fedavg
[Round 071/100] Acc=48.470 | RoundTime=29.36s | TotalTime=2031.27s | Method=fedavg
[Round 072/100] Acc=47.880 | RoundTime=29.51s | TotalTime=2060.78s | Method=fedavg
[Round 073/100] Acc=49.830 | RoundTime=28.80s | TotalTime=2089.58s | Method=fedavg
[Round 074/100] Acc=51.670 | RoundTime=28.91s | TotalTime=2118.49s | Method=fedavg
[Round 075/100] Acc=50.580 | RoundTime=29.66s | TotalTime=2148.16s | Method=fedavg
[Round 076/100] Acc=50.710 | RoundTime=30.18s | TotalTime=2178.34s | Method=fedavg
[Round 077/100] Acc=46.880 | RoundTime=29.02s | TotalTime=2207.36s | Method=fedavg
[Round 078/100] Acc=45.680 | RoundTime=28.82s | TotalTime=2236.18s | Method=fedavg
[Round 079/100] Acc=47.530 | RoundTime=28.76s | TotalTime=2264.94s | Method=fedavg
