epoch	acc	pure	round_time_sec	total_time_sec
0	16.85	None	40.9836	40.9837
1	17.11	None	39.1403	80.1243
2	33.82	None	39.6086	119.7331
3	34.39	None	40.0377	159.7711
4	31.46	None	39.3616	199.1330
5	38.42	None	39.7886	238.9218
6	37.84	None	39.5978	278.5199
7	37.44	None	39.6979	318.2181
8	35.57	None	39.5112	357.7295
9	39.98	None	39.3280	397.0578
10	36.8	None	39.5951	436.6532
11	39.12	None	39.7321	476.3856
12	35.91	None	39.6197	516.0055
13	40.34	None	39.4387	555.4445
14	39.01	None	39.5657	595.0105
15	40.21	None	39.8022	634.8130
16	42.53	None	39.7129	674.5261
17	40.47	None	39.5262	714.0526
18	40.0	None	39.4760	753.5290
19	43.74	None	39.5418	793.0710
20	40.99	None	39.9903	833.0617
21	39.86	None	39.6936	872.7556
22	37.71	None	39.3608	912.1166
23	42.67	None	39.3810	951.4979
24	41.99	None	39.3161	990.8144
25	45.26	None	39.6948	1030.5095
26	36.64	None	39.6979	1070.2078
27	43.48	None	39.5177	1109.7259
28	41.74	None	39.4991	1149.2252
29	44.67	None	39.7577	1188.9833
30	43.38	None	39.5086	1228.4942
31	37.03	None	39.6895	1268.1841
32	39.09	None	39.3163	1307.5007
33	39.36	None	39.5722	1347.0732
34	44.13	None	39.5545	1386.6281
35	41.39	None	39.6601	1426.2885
36	40.32	None	39.5936	1465.8824
37	44.04	None	39.6555	1505.5382
38	37.86	None	39.7876	1545.3261
39	43.35	None	39.6999	1585.0264
40	42.44	None	39.9517	1624.9785
41	43.48	None	39.8686	1664.8474
42	42.67	None	39.8992	1704.7469
43	39.32	None	39.6958	1744.4429
44	38.44	None	39.8181	1784.2612
45	41.52	None	39.9082	1824.1698
46	43.61	None	39.5652	1863.7352
47	43.76	None	39.4843	1903.2199
48	43.21	None	39.6570	1942.8771
49	45.3	None	39.4434	1982.3208
50	44.15	None	39.5859	2021.9070
51	45.1	None	39.6720	2061.5792
52	42.33	None	39.2562	2100.8357
53	43.43	None	39.7492	2140.5866
54	40.34	None	39.6381	2180.2250
55	37.17	None	39.8037	2220.0290
56	44.34	None	39.6922	2259.7230
57	43.11	None	39.8492	2299.5724
58	39.15	None	39.5336	2339.1077
59	43.37	None	39.5560	2378.6640
60	38.75	None	39.5306	2418.1949
61	41.55	None	39.7252	2457.9204
62	42.67	None	39.5622	2497.4829
63	39.76	None	39.5388	2537.0219
64	44.33	None	39.4807	2576.5029
65	46.21	None	39.9108	2616.4139
66	39.93	None	39.8584	2656.2726
67	40.56	None	39.6754	2695.9483
68	41.85	None	39.6371	2735.5856
69	44.66	None	39.5562	2775.1421
70	40.89	None	40.0211	2815.1635
71	43.02	None	39.8074	2854.9713
72	42.57	None	39.6533	2894.6249
73	41.56	None	39.5055	2934.1308
74	43.13	None	39.7441	2973.8753
75	44.08	None	39.6134	3013.4889
76	43.48	None	39.7032	3053.1924
77	42.72	None	39.7783	3092.9710
78	46.31	None	39.8229	3132.7942
79	41.62	None	39.9519	3172.7464
80	41.28	None	39.5588	3212.3054
81	43.72	None	39.8643	3252.1700
82	43.8	None	39.6485	3291.8188
83	43.28	None	39.7155	3331.5346
84	46.71	None	39.4419	3370.9769
85	43.67	None	39.7480	3410.7251
86	44.25	None	39.5280	3450.2534
87	36.77	None	39.5229	3489.7767
88	44.95	None	39.9832	3529.7602
89	43.91	None	39.5690	3569.3295
90	43.89	None	39.5273	3608.8571
91	40.22	None	39.5999	3648.4575
92	44.37	None	39.6356	3688.0933
93	45.62	None	39.3329	3727.4266
94	45.97	None	39.8303	3767.2571
95	43.43	None	39.2937	3806.5512
96	45.79	None	39.6667	3846.2182
97	44.31	None	39.5323	3885.7508
98	45.9	None	40.2610	3926.0122
99	45.98	None	35.3890	3961.4015
