====================================================================================================
Training started at: 2026-03-14 09:48:57
Result directory: results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3/fedavg_fl_cifar10_20260314-094857.txt
Result log file : results/fl_cifar10/fedavg/pm-dir_a-0.5_nm-uni_nr-0.3/fedavg_fl_cifar10_20260314-094857.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=14.480 | RoundTime=41.41s | TotalTime=41.41s | Method=fedavg
[Round 002/100] Acc=19.420 | RoundTime=39.58s | TotalTime=81.00s | Method=fedavg
[Round 003/100] Acc=38.370 | RoundTime=38.87s | TotalTime=119.87s | Method=fedavg
[Round 004/100] Acc=38.930 | RoundTime=40.58s | TotalTime=160.45s | Method=fedavg
[Round 005/100] Acc=38.300 | RoundTime=40.71s | TotalTime=201.16s | Method=fedavg
[Round 006/100] Acc=43.070 | RoundTime=41.04s | TotalTime=242.19s | Method=fedavg
[Round 007/100] Acc=47.110 | RoundTime=42.26s | TotalTime=284.45s | Method=fedavg
[Round 008/100] Acc=44.670 | RoundTime=40.52s | TotalTime=324.97s | Method=fedavg
[Round 009/100] Acc=43.520 | RoundTime=40.08s | TotalTime=365.05s | Method=fedavg
[Round 010/100] Acc=46.280 | RoundTime=41.86s | TotalTime=406.90s | Method=fedavg
[Round 011/100] Acc=43.980 | RoundTime=41.64s | TotalTime=448.54s | Method=fedavg
[Round 012/100] Acc=44.270 | RoundTime=40.53s | TotalTime=489.07s | Method=fedavg
[Round 013/100] Acc=44.510 | RoundTime=41.19s | TotalTime=530.26s | Method=fedavg
[Round 014/100] Acc=44.100 | RoundTime=42.14s | TotalTime=572.40s | Method=fedavg
[Round 015/100] Acc=46.890 | RoundTime=40.81s | TotalTime=613.21s | Method=fedavg
[Round 016/100] Acc=47.270 | RoundTime=40.61s | TotalTime=653.83s | Method=fedavg
[Round 017/100] Acc=48.660 | RoundTime=42.13s | TotalTime=695.96s | Method=fedavg
[Round 018/100] Acc=51.510 | RoundTime=40.06s | TotalTime=736.02s | Method=fedavg
[Round 019/100] Acc=47.440 | RoundTime=39.52s | TotalTime=775.55s | Method=fedavg
[Round 020/100] Acc=50.910 | RoundTime=41.05s | TotalTime=816.60s | Method=fedavg
[Round 021/100] Acc=43.110 | RoundTime=40.52s | TotalTime=857.12s | Method=fedavg
[Round 022/100] Acc=46.890 | RoundTime=40.18s | TotalTime=897.30s | Method=fedavg
[Round 023/100] Acc=46.160 | RoundTime=40.86s | TotalTime=938.16s | Method=fedavg
[Round 024/100] Acc=45.790 | RoundTime=41.64s | TotalTime=979.80s | Method=fedavg
[Round 025/100] Acc=50.660 | RoundTime=40.60s | TotalTime=1020.40s | Method=fedavg
[Round 026/100] Acc=46.530 | RoundTime=41.37s | TotalTime=1061.77s | Method=fedavg
[Round 027/100] Acc=49.290 | RoundTime=41.89s | TotalTime=1103.66s | Method=fedavg
[Round 028/100] Acc=47.590 | RoundTime=42.16s | TotalTime=1145.82s | Method=fedavg
[Round 029/100] Acc=50.930 | RoundTime=41.64s | TotalTime=1187.47s | Method=fedavg
