========================================================================================================================
Training started at: 2026-04-08 22:04:19
Result directory: results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_cifar10_20260408-220419-664940_pid2725699.txt
Result log file : results/fl_cifar10/fedavg/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_cifar10_20260408-220419-664940_pid2725699.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=10.000 | RoundTime=186.05s | TotalTime=186.06s | Method=fedavg
[Round 002/100] Phase=standard | Stage=warmup | Acc=24.320 | RoundTime=166.66s | TotalTime=352.73s | Method=fedavg
[Round 003/100] Phase=standard | Stage=warmup | Acc=35.410 | RoundTime=157.81s | TotalTime=510.55s | Method=fedavg
[Round 004/100] Phase=standard | Stage=warmup | Acc=44.290 | RoundTime=157.40s | TotalTime=667.95s | Method=fedavg
[Round 005/100] Phase=standard | Stage=warmup | Acc=47.510 | RoundTime=159.34s | TotalTime=827.30s | Method=fedavg
[Round 006/100] Phase=standard | Stage=warmup | Acc=51.650 | RoundTime=156.40s | TotalTime=983.71s | Method=fedavg
[Round 007/100] Phase=standard | Stage=warmup | Acc=54.440 | RoundTime=157.87s | TotalTime=1141.58s | Method=fedavg
[Round 008/100] Phase=standard | Stage=warmup | Acc=56.880 | RoundTime=156.32s | TotalTime=1297.91s | Method=fedavg
[Round 009/100] Phase=standard | Stage=warmup | Acc=58.840 | RoundTime=160.44s | TotalTime=1458.36s | Method=fedavg
[Round 010/100] Phase=standard | Stage=warmup | Acc=60.650 | RoundTime=155.67s | TotalTime=1614.04s | Method=fedavg
[Round 011/100] Phase=standard | Stage=warmup | Acc=62.760 | RoundTime=157.41s | TotalTime=1771.46s | Method=fedavg
[Round 012/100] Phase=standard | Stage=warmup | Acc=63.980 | RoundTime=158.98s | TotalTime=1930.45s | Method=fedavg
[Round 013/100] Phase=standard | Stage=warmup | Acc=64.990 | RoundTime=157.87s | TotalTime=2088.33s | Method=fedavg
[Round 014/100] Phase=standard | Stage=warmup | Acc=66.130 | RoundTime=157.61s | TotalTime=2245.95s | Method=fedavg
[Round 015/100] Phase=standard | Stage=warmup | Acc=67.390 | RoundTime=157.60s | TotalTime=2403.56s | Method=fedavg
[Round 016/100] Phase=standard | Stage=warmup | Acc=68.460 | RoundTime=157.59s | TotalTime=2561.16s | Method=fedavg
[Round 017/100] Phase=standard | Stage=warmup | Acc=68.270 | RoundTime=157.19s | TotalTime=2718.36s | Method=fedavg
[Round 018/100] Phase=standard | Stage=warmup | Acc=68.310 | RoundTime=157.33s | TotalTime=2875.70s | Method=fedavg
[Round 019/100] Phase=standard | Stage=warmup | Acc=69.120 | RoundTime=157.79s | TotalTime=3033.51s | Method=fedavg
[Round 020/100] Phase=standard | Stage=warmup | Acc=70.790 | RoundTime=160.07s | TotalTime=3193.60s | Method=fedavg
[Round 021/100] Phase=standard | Stage=warmup | Acc=70.600 | RoundTime=158.05s | TotalTime=3351.66s | Method=fedavg
[Round 022/100] Phase=standard | Stage=warmup | Acc=71.290 | RoundTime=158.18s | TotalTime=3509.85s | Method=fedavg
[Round 023/100] Phase=standard | Stage=warmup | Acc=71.390 | RoundTime=157.21s | TotalTime=3667.07s | Method=fedavg
[Round 024/100] Phase=standard | Stage=warmup | Acc=71.880 | RoundTime=158.80s | TotalTime=3825.88s | Method=fedavg
[Round 025/100] Phase=standard | Stage=warmup | Acc=72.130 | RoundTime=159.14s | TotalTime=3985.03s | Method=fedavg
[Round 026/100] Phase=standard | Stage=warmup | Acc=71.660 | RoundTime=158.45s | TotalTime=4143.50s | Method=fedavg
[Round 027/100] Phase=standard | Stage=warmup | Acc=72.330 | RoundTime=159.29s | TotalTime=4302.80s | Method=fedavg
[Round 028/100] Phase=standard | Stage=warmup | Acc=72.330 | RoundTime=157.58s | TotalTime=4460.39s | Method=fedavg
[Round 029/100] Phase=standard | Stage=warmup | Acc=71.770 | RoundTime=157.80s | TotalTime=4618.20s | Method=fedavg
[Round 030/100] Phase=standard | Stage=warmup | Acc=70.770 | RoundTime=158.65s | TotalTime=4776.86s | Method=fedavg
[Round 031/100] Phase=standard | Stage=warmup | Acc=71.730 | RoundTime=157.67s | TotalTime=4934.54s | Method=fedavg
[Round 032/100] Phase=standard | Stage=warmup | Acc=71.360 | RoundTime=159.33s | TotalTime=5093.87s | Method=fedavg
[Round 033/100] Phase=standard | Stage=warmup | Acc=71.990 | RoundTime=158.84s | TotalTime=5252.72s | Method=fedavg
[Round 034/100] Phase=standard | Stage=warmup | Acc=71.430 | RoundTime=158.29s | TotalTime=5411.02s | Method=fedavg
[Round 035/100] Phase=standard | Stage=warmup | Acc=70.960 | RoundTime=158.31s | TotalTime=5569.34s | Method=fedavg
[Round 036/100] Phase=standard | Stage=warmup | Acc=70.820 | RoundTime=158.38s | TotalTime=5727.73s | Method=fedavg
[Round 037/100] Phase=standard | Stage=warmup | Acc=70.530 | RoundTime=157.48s | TotalTime=5885.22s | Method=fedavg
[Round 038/100] Phase=standard | Stage=warmup | Acc=69.620 | RoundTime=159.98s | TotalTime=6045.21s | Method=fedavg
[Round 039/100] Phase=standard | Stage=warmup | Acc=69.440 | RoundTime=157.78s | TotalTime=6203.00s | Method=fedavg
[Round 040/100] Phase=standard | Stage=warmup | Acc=69.340 | RoundTime=158.52s | TotalTime=6361.53s | Method=fedavg
[Round 041/100] Phase=standard | Stage=warmup | Acc=68.110 | RoundTime=157.71s | TotalTime=6519.24s | Method=fedavg
[Round 042/100] Phase=standard | Stage=warmup | Acc=68.290 | RoundTime=157.57s | TotalTime=6676.82s | Method=fedavg
[Round 043/100] Phase=standard | Stage=warmup | Acc=67.610 | RoundTime=157.08s | TotalTime=6833.91s | Method=fedavg
[Round 044/100] Phase=standard | Stage=warmup | Acc=67.300 | RoundTime=158.42s | TotalTime=6992.34s | Method=fedavg
[Round 045/100] Phase=standard | Stage=warmup | Acc=67.020 | RoundTime=156.11s | TotalTime=7148.45s | Method=fedavg
[Round 046/100] Phase=standard | Stage=warmup | Acc=66.580 | RoundTime=160.41s | TotalTime=7308.87s | Method=fedavg
[Round 047/100] Phase=standard | Stage=warmup | Acc=66.330 | RoundTime=159.38s | TotalTime=7468.26s | Method=fedavg
[Round 048/100] Phase=standard | Stage=warmup | Acc=65.500 | RoundTime=159.03s | TotalTime=7627.29s | Method=fedavg
[Round 049/100] Phase=standard | Stage=warmup | Acc=64.880 | RoundTime=157.26s | TotalTime=7784.56s | Method=fedavg
[Round 050/100] Phase=standard | Stage=warmup | Acc=65.100 | RoundTime=157.80s | TotalTime=7942.38s | Method=fedavg
