epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	None	25.5297	25.5299
1	10.06	None	25.3276	50.8578
2	16.33	None	25.6148	76.4729
3	18.06	None	26.0379	102.5111
4	25.26	None	26.5563	129.0677
5	25.06	None	32.6370	161.7050
6	31.62	None	31.5457	193.2512
7	23.7	None	33.0793	226.3308
8	33.59	None	32.4034	258.7345
9	28.84	None	31.6919	290.4267
10	26.92	None	32.4137	322.8407
11	34.54	None	33.2284	356.0694
12	37.62	None	32.4337	388.5034
13	30.45	None	33.2901	421.7937
14	31.82	None	32.8170	454.6110
15	39.37	None	32.3833	486.9947
16	32.72	None	32.0004	518.9954
17	30.29	None	32.0935	551.0893
18	23.73	None	33.0977	584.1873
19	36.67	None	33.1033	617.2910
20	26.1	None	32.9456	650.2369
21	34.09	None	34.7544	684.9917
22	33.67	None	34.4240	719.4160
23	28.36	None	34.7764	754.1927
24	33.59	None	40.9178	795.1109
25	36.71	None	48.0563	843.1675
26	36.09	None	38.2491	881.4168
27	29.0	None	34.1668	915.5840
28	31.8	None	35.0614	950.6457
29	35.29	None	38.4812	989.1285
30	32.42	None	36.0599	1025.1888
31	25.28	None	34.9941	1060.1832
32	33.9	None	36.5463	1096.7298
33	36.15	None	35.7833	1132.5134
34	35.59	None	35.1359	1167.6496
35	38.58	None	34.0842	1201.7341
36	27.49	None	35.6044	1237.3388
37	28.71	None	34.8836	1272.2229
38	30.8	None	34.2406	1306.4638
39	33.9	None	35.8197	1342.2838
40	32.93	None	36.1437	1378.4280
41	26.51	None	35.7001	1414.1286
42	21.93	None	35.7085	1449.8374
43	33.28	None	35.3999	1485.2377
44	36.16	None	35.3952	1520.6332
45	36.4	None	35.0184	1555.6519
46	33.11	None	35.6850	1591.3372
47	26.57	None	36.2443	1627.5819
48	41.81	None	36.8998	1664.4821
49	32.38	None	35.6693	1700.1519
50	31.13	None	37.2437	1737.3959
51	31.26	None	36.9526	1774.3489
52	26.96	None	36.7394	1811.0886
53	22.19	None	34.8492	1845.9383
54	37.98	None	35.1356	1881.0742
55	32.13	None	36.0223	1917.0968
56	31.78	None	36.1642	1953.2613
57	35.76	None	35.0677	1988.3294
58	32.69	None	35.4448	2023.7746
59	29.91	None	34.7827	2058.5576
60	35.01	None	34.4280	2092.9860
61	34.44	None	34.7957	2127.7820
62	34.07	None	36.5247	2164.3070
63	32.92	None	36.4843	2200.7931
64	32.58	None	35.3330	2236.1265
65	25.53	None	34.4646	2270.5914
66	29.45	None	37.8898	2308.4815
67	32.27	None	39.2073	2347.6890
68	25.61	None	37.8970	2385.5864
69	35.14	None	38.7863	2424.3730
70	21.61	None	38.5069	2462.8803
71	34.69	None	37.0702	2499.9507
72	41.12	None	36.7989	2536.7500
73	29.07	None	37.9746	2574.7248
74	26.43	None	36.9478	2611.6729
75	34.71	None	38.5014	2650.1747
76	32.18	None	38.4942	2688.6691
77	32.08	None	38.1379	2726.8075
78	36.29	None	38.0655	2764.8733
79	36.39	None	37.8101	2802.6837
80	26.07	None	37.2458	2839.9299
81	39.77	None	37.2057	2877.1359
82	31.53	None	39.0269	2916.1631
83	31.35	None	36.7126	2952.8760
84	30.56	None	38.2445	2991.1210
85	33.07	None	38.0406	3029.1620
86	29.22	None	37.7694	3066.9318
87	25.32	None	36.0355	3102.9676
88	25.38	None	38.3606	3141.3286
89	36.49	None	63.5137	3204.8427
90	33.18	None	39.1819	3244.0250
91	27.67	None	39.0011	3283.0264
92	31.4	None	37.8942	3320.9210
93	43.57	None	36.8622	3357.7835
94	32.92	None	38.1737	3395.9575
95	31.07	None	39.7628	3435.7207
96	27.31	None	38.8206	3474.5415
97	20.87	None	38.2814	3512.8232
98	24.05	None	38.3102	3551.1337
99	30.07	None	38.6021	3589.7363
