epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	None	24.5851	24.5853
1	13.7	None	23.6466	48.2320
2	14.05	None	24.2337	72.4659
3	14.06	None	24.7711	97.2372
4	17.9	None	24.4562	121.6936
5	28.62	None	25.5283	147.2221
6	20.7	None	24.9664	172.1887
7	23.73	None	24.6718	196.8607
8	28.53	None	24.6972	221.5581
9	25.64	None	26.9484	248.5067
10	24.8	None	24.7191	273.2261
11	15.9	None	24.5849	297.8112
12	20.51	None	22.6367	320.4481
13	16.43	None	22.6718	343.1201
14	16.98	None	21.9028	365.0235
15	16.62	None	22.7139	387.7375
16	12.95	None	22.4551	410.1929
17	13.59	None	21.8824	432.0755
18	24.33	None	22.2831	454.3588
19	11.6	None	22.4012	476.7603
20	27.94	None	22.5838	499.3443
21	21.67	None	22.5878	521.9322
22	18.81	None	24.4293	546.3618
23	20.85	None	23.0343	569.3962
24	19.47	None	22.2298	591.6264
25	20.96	None	23.7190	615.3457
26	26.97	None	22.8657	638.2116
27	23.19	None	22.7310	660.9427
28	20.91	None	22.9132	683.8562
29	21.21	None	23.1923	707.0487
30	22.82	None	22.7760	729.8250
31	16.13	None	23.1398	752.9650
32	19.76	None	23.2996	776.2648
33	24.38	None	23.1074	799.3724
34	22.12	None	23.5925	822.9651
35	17.29	None	24.9156	847.8809
36	21.83	None	23.2835	871.1646
37	27.73	None	23.2196	894.3844
38	18.79	None	22.5416	916.9262
39	25.21	None	23.8501	940.7765
40	27.06	None	23.3644	964.1411
41	25.81	None	23.2975	987.4387
42	21.65	None	23.0811	1010.5200
43	27.54	None	23.0788	1033.5990
44	23.31	None	23.5709	1057.1701
45	23.26	None	24.0648	1081.2351
46	27.31	None	23.5703	1104.8056
47	20.47	None	23.4549	1128.2606
48	23.06	None	23.8106	1152.0714
49	25.72	None	25.7373	1177.8090
