epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	10.81	None	None	None	None	None	None	None	109.8438	109.8499
1	standard	warmup	14.98	None	None	None	None	None	None	None	121.2508	231.1095
2	standard	warmup	28.07	None	None	None	None	None	None	None	126.0050	357.1219
3	standard	warmup	33.7	None	None	None	None	None	None	None	126.6384	483.7692
4	standard	warmup	36.7	None	None	None	None	None	None	None	127.7893	611.5661
5	standard	warmup	37.96	None	None	None	None	None	None	None	127.4271	739.0008
6	standard	warmup	45.96	None	None	None	None	None	None	None	127.8854	866.8938
7	standard	warmup	46.76	None	None	None	None	None	None	None	125.3000	992.2031
8	standard	warmup	51.55	None	None	None	None	None	None	None	126.8200	1119.0307
9	standard	warmup	49.93	None	None	None	None	None	None	None	126.4044	1245.4428
10	standard	warmup	51.42	None	None	None	None	None	None	None	125.6636	1371.1158
11	standard	warmup	53.49	None	None	None	None	None	None	None	126.4620	1497.5866
12	standard	warmup	56.79	None	None	None	None	None	None	None	125.9074	1623.5012
13	standard	warmup	54.37	None	None	None	None	None	None	None	125.2085	1748.7174
14	standard	warmup	56.69	None	None	None	None	None	None	None	126.2429	1874.9679
15	standard	warmup	52.92	None	None	None	None	None	None	None	126.5415	2001.5171
16	standard	warmup	57.09	None	None	None	None	None	None	None	127.0342	2128.5587
17	standard	warmup	52.57	None	None	None	None	None	None	None	125.7472	2254.3135
18	standard	warmup	56.28	None	None	None	None	None	None	None	125.8901	2380.2115
19	standard	warmup	57.28	None	None	None	None	None	None	None	125.9989	2506.2181
20	standard	warmup	56.37	None	None	None	None	None	None	None	125.7764	2632.0024
21	standard	warmup	55.43	None	None	None	None	None	None	None	125.7279	2757.7396
22	standard	warmup	55.39	None	None	None	None	None	None	None	125.3635	2883.1109
23	standard	warmup	53.32	None	None	None	None	None	None	None	126.2223	3009.3407
24	standard	warmup	56.64	None	None	None	None	None	None	None	126.6308	3135.9803
25	standard	warmup	55.24	None	None	None	None	None	None	None	125.9295	3261.9177
26	standard	warmup	52.04	None	None	None	None	None	None	None	126.4560	3388.3821
27	standard	warmup	57.01	None	None	None	None	None	None	None	125.5345	3513.9244
28	standard	warmup	57.0	None	None	None	None	None	None	None	128.2600	3642.1923
29	standard	warmup	56.1	None	None	None	None	None	None	None	127.3810	3769.5813
30	standard	warmup	57.4	None	None	None	None	None	None	None	154.7577	3924.3469
31	standard	warmup	53.25	None	None	None	None	None	None	None	125.7771	4050.1356
32	standard	warmup	56.24	None	None	None	None	None	None	None	131.6565	4181.8002
33	standard	warmup	55.79	None	None	None	None	None	None	None	122.6834	4304.4918
34	standard	warmup	56.25	None	None	None	None	None	None	None	124.3295	4428.8293
35	standard	warmup	54.66	None	None	None	None	None	None	None	121.1447	4549.9825
36	standard	warmup	54.35	None	None	None	None	None	None	None	127.4066	4677.3970
37	standard	warmup	56.93	None	None	None	None	None	None	None	127.5288	4804.9337
38	standard	warmup	55.29	None	None	None	None	None	None	None	128.8162	4933.7576
39	standard	warmup	55.06	None	None	None	None	None	None	None	129.2751	5063.0405
40	standard	warmup	54.81	None	None	None	None	None	None	None	129.9373	5192.9857
41	standard	warmup	55.32	None	None	None	None	None	None	None	130.0499	5323.0437
42	standard	warmup	52.7	None	None	None	None	None	None	None	133.8072	5456.8601
43	standard	warmup	54.5	None	None	None	None	None	None	None	131.0877	5587.9544
44	standard	warmup	53.63	None	None	None	None	None	None	None	131.5634	5719.5275
45	standard	warmup	54.16	None	None	None	None	None	None	None	131.3564	5850.8923
46	standard	warmup	54.35	None	None	None	None	None	None	None	133.0108	5983.9104
47	standard	warmup	54.95	None	None	None	None	None	None	None	130.8042	6114.7213
48	standard	warmup	54.98	None	None	None	None	None	None	None	131.8477	6246.5758
49	standard	warmup	51.88	None	None	None	None	None	None	None	131.9688	6378.5562
50	standard	warmup	50.87	None	None	None	None	None	None	None	132.7349	6511.2982
51	standard	warmup	50.11	None	None	None	None	None	None	None	130.9449	6642.2538
52	standard	warmup	49.18	None	None	None	None	None	None	None	131.0838	6773.3443
