====================================================================================================
Training started at: 2026-03-31 15:26:03
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.55
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260331-152603-338011_pid3132762.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-least_sim_dr-0.55/fedcda_fl_cifar10_20260331-152603-338011_pid3132762.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 60
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.55
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=24.76s | TotalTime=24.76s | Method=fedcda
[Round 002/100] Acc=14.140 | RoundTime=24.75s | TotalTime=49.51s | Method=fedcda
[Round 003/100] Acc=20.690 | RoundTime=24.38s | TotalTime=73.89s | Method=fedcda
[Round 004/100] Acc=24.770 | RoundTime=24.64s | TotalTime=98.53s | Method=fedcda
[Round 005/100] Acc=29.830 | RoundTime=24.32s | TotalTime=122.85s | Method=fedcda
[Round 006/100] Acc=36.390 | RoundTime=24.73s | TotalTime=147.58s | Method=fedcda
[Round 007/100] Acc=41.590 | RoundTime=25.27s | TotalTime=172.85s | Method=fedcda
[Round 008/100] Acc=33.850 | RoundTime=24.86s | TotalTime=197.71s | Method=fedcda
[Round 009/100] Acc=44.500 | RoundTime=25.23s | TotalTime=222.94s | Method=fedcda
[Round 010/100] Acc=36.650 | RoundTime=25.62s | TotalTime=248.56s | Method=fedcda
[Round 011/100] Acc=38.160 | RoundTime=27.29s | TotalTime=275.85s | Method=fedcda
[Round 012/100] Acc=40.850 | RoundTime=22.42s | TotalTime=298.27s | Method=fedcda
[Round 013/100] Acc=46.960 | RoundTime=21.00s | TotalTime=319.27s | Method=fedcda
[Round 014/100] Acc=39.350 | RoundTime=20.78s | TotalTime=340.06s | Method=fedcda
[Round 015/100] Acc=32.830 | RoundTime=20.59s | TotalTime=360.64s | Method=fedcda
[Round 016/100] Acc=37.140 | RoundTime=20.84s | TotalTime=381.48s | Method=fedcda
[Round 017/100] Acc=41.890 | RoundTime=20.83s | TotalTime=402.31s | Method=fedcda
[Round 018/100] Acc=41.340 | RoundTime=20.85s | TotalTime=423.16s | Method=fedcda
[Round 019/100] Acc=43.560 | RoundTime=21.21s | TotalTime=444.37s | Method=fedcda
[Round 020/100] Acc=46.130 | RoundTime=20.86s | TotalTime=465.22s | Method=fedcda
[Round 021/100] Acc=51.660 | RoundTime=21.01s | TotalTime=486.24s | Method=fedcda
[Round 022/100] Acc=35.360 | RoundTime=20.94s | TotalTime=507.17s | Method=fedcda
[Round 023/100] Acc=46.890 | RoundTime=20.94s | TotalTime=528.12s | Method=fedcda
[Round 024/100] Acc=32.480 | RoundTime=23.50s | TotalTime=551.62s | Method=fedcda
[Round 025/100] Acc=44.790 | RoundTime=21.11s | TotalTime=572.73s | Method=fedcda
[Round 026/100] Acc=44.560 | RoundTime=21.27s | TotalTime=594.00s | Method=fedcda
[Round 027/100] Acc=41.270 | RoundTime=21.34s | TotalTime=615.34s | Method=fedcda
[Round 028/100] Acc=47.170 | RoundTime=21.24s | TotalTime=636.58s | Method=fedcda
[Round 029/100] Acc=45.200 | RoundTime=21.63s | TotalTime=658.21s | Method=fedcda
[Round 030/100] Acc=41.640 | RoundTime=21.42s | TotalTime=679.63s | Method=fedcda
[Round 031/100] Acc=41.250 | RoundTime=21.28s | TotalTime=700.91s | Method=fedcda
[Round 032/100] Acc=46.330 | RoundTime=21.54s | TotalTime=722.45s | Method=fedcda
[Round 033/100] Acc=44.290 | RoundTime=21.37s | TotalTime=743.82s | Method=fedcda
[Round 034/100] Acc=48.570 | RoundTime=21.20s | TotalTime=765.02s | Method=fedcda
[Round 035/100] Acc=34.190 | RoundTime=21.34s | TotalTime=786.36s | Method=fedcda
[Round 036/100] Acc=46.560 | RoundTime=21.55s | TotalTime=807.91s | Method=fedcda
[Round 037/100] Acc=45.020 | RoundTime=23.67s | TotalTime=831.58s | Method=fedcda
[Round 038/100] Acc=47.390 | RoundTime=21.52s | TotalTime=853.10s | Method=fedcda
[Round 039/100] Acc=43.420 | RoundTime=21.70s | TotalTime=874.79s | Method=fedcda
[Round 040/100] Acc=35.250 | RoundTime=21.34s | TotalTime=896.13s | Method=fedcda
[Round 041/100] Acc=45.930 | RoundTime=21.53s | TotalTime=917.66s | Method=fedcda
[Round 042/100] Acc=44.070 | RoundTime=21.62s | TotalTime=939.28s | Method=fedcda
[Round 043/100] Acc=53.060 | RoundTime=21.59s | TotalTime=960.87s | Method=fedcda
[Round 044/100] Acc=53.610 | RoundTime=21.75s | TotalTime=982.62s | Method=fedcda
[Round 045/100] Acc=44.120 | RoundTime=21.50s | TotalTime=1004.12s | Method=fedcda
[Round 046/100] Acc=44.750 | RoundTime=21.50s | TotalTime=1025.62s | Method=fedcda
[Round 047/100] Acc=48.580 | RoundTime=21.37s | TotalTime=1047.00s | Method=fedcda
[Round 048/100] Acc=42.810 | RoundTime=21.32s | TotalTime=1068.31s | Method=fedcda
[Round 049/100] Acc=46.440 | RoundTime=21.68s | TotalTime=1090.00s | Method=fedcda
[Round 050/100] Acc=33.810 | RoundTime=23.70s | TotalTime=1113.70s | Method=fedcda
[Round 051/100] Acc=34.330 | RoundTime=32.05s | TotalTime=1145.75s | Method=fedcda
[Round 052/100] Acc=34.280 | RoundTime=32.20s | TotalTime=1177.96s | Method=fedcda
[Round 053/100] Acc=34.530 | RoundTime=32.16s | TotalTime=1210.12s | Method=fedcda
[Round 054/100] Acc=34.710 | RoundTime=32.06s | TotalTime=1242.18s | Method=fedcda
[Round 055/100] Acc=34.740 | RoundTime=32.40s | TotalTime=1274.58s | Method=fedcda
[Round 056/100] Acc=35.020 | RoundTime=32.42s | TotalTime=1307.00s | Method=fedcda
[Round 057/100] Acc=35.400 | RoundTime=32.44s | TotalTime=1339.44s | Method=fedcda
[Round 058/100] Acc=35.320 | RoundTime=32.43s | TotalTime=1371.87s | Method=fedcda
[Round 059/100] Acc=35.420 | RoundTime=32.23s | TotalTime=1404.10s | Method=fedcda
[Round 060/100] Acc=50.530 | RoundTime=31.89s | TotalTime=1435.99s | Method=fedcda
[Round 061/100] Acc=50.370 | RoundTime=33.13s | TotalTime=1469.12s | Method=fedcda
[Round 062/100] Acc=50.260 | RoundTime=34.92s | TotalTime=1504.04s | Method=fedcda
[Round 063/100] Acc=50.360 | RoundTime=32.05s | TotalTime=1536.09s | Method=fedcda
[Round 064/100] Acc=50.180 | RoundTime=32.49s | TotalTime=1568.58s | Method=fedcda
[Round 065/100] Acc=50.350 | RoundTime=31.95s | TotalTime=1600.53s | Method=fedcda
[Round 066/100] Acc=50.560 | RoundTime=32.49s | TotalTime=1633.02s | Method=fedcda
[Round 067/100] Acc=49.960 | RoundTime=34.60s | TotalTime=1667.62s | Method=fedcda
[Round 068/100] Acc=50.290 | RoundTime=32.03s | TotalTime=1699.66s | Method=fedcda
[Round 069/100] Acc=50.020 | RoundTime=32.21s | TotalTime=1731.86s | Method=fedcda
[Round 070/100] Acc=50.090 | RoundTime=32.11s | TotalTime=1763.97s | Method=fedcda
[Round 071/100] Acc=50.070 | RoundTime=32.56s | TotalTime=1796.53s | Method=fedcda
[Round 072/100] Acc=49.760 | RoundTime=32.20s | TotalTime=1828.73s | Method=fedcda
[Round 073/100] Acc=49.900 | RoundTime=32.28s | TotalTime=1861.01s | Method=fedcda
[Round 074/100] Acc=49.930 | RoundTime=32.29s | TotalTime=1893.30s | Method=fedcda
[Round 075/100] Acc=50.030 | RoundTime=34.47s | TotalTime=1927.77s | Method=fedcda
[Round 076/100] Acc=50.110 | RoundTime=33.17s | TotalTime=1960.94s | Method=fedcda
[Round 077/100] Acc=50.460 | RoundTime=33.16s | TotalTime=1994.10s | Method=fedcda
[Round 078/100] Acc=50.500 | RoundTime=32.97s | TotalTime=2027.07s | Method=fedcda
[Round 079/100] Acc=50.680 | RoundTime=32.84s | TotalTime=2059.91s | Method=fedcda
[Round 080/100] Acc=50.560 | RoundTime=32.72s | TotalTime=2092.63s | Method=fedcda
[Round 081/100] Acc=50.690 | RoundTime=32.73s | TotalTime=2125.36s | Method=fedcda
[Round 082/100] Acc=50.640 | RoundTime=32.72s | TotalTime=2158.08s | Method=fedcda
[Round 083/100] Acc=50.720 | RoundTime=33.31s | TotalTime=2191.40s | Method=fedcda
[Round 084/100] Acc=50.630 | RoundTime=33.11s | TotalTime=2224.50s | Method=fedcda
[Round 085/100] Acc=52.670 | RoundTime=33.13s | TotalTime=2257.63s | Method=fedcda
[Round 086/100] Acc=51.880 | RoundTime=33.20s | TotalTime=2290.83s | Method=fedcda
[Round 087/100] Acc=51.930 | RoundTime=33.31s | TotalTime=2324.14s | Method=fedcda
[Round 088/100] Acc=51.910 | RoundTime=33.04s | TotalTime=2357.17s | Method=fedcda
[Round 089/100] Acc=52.320 | RoundTime=33.24s | TotalTime=2390.41s | Method=fedcda
[Round 090/100] Acc=52.260 | RoundTime=35.68s | TotalTime=2426.10s | Method=fedcda
[Round 091/100] Acc=52.150 | RoundTime=33.76s | TotalTime=2459.85s | Method=fedcda
[Round 092/100] Acc=52.260 | RoundTime=33.04s | TotalTime=2492.90s | Method=fedcda
[Round 093/100] Acc=52.110 | RoundTime=33.04s | TotalTime=2525.94s | Method=fedcda
[Round 094/100] Acc=51.950 | RoundTime=33.52s | TotalTime=2559.46s | Method=fedcda
[Round 095/100] Acc=51.940 | RoundTime=33.20s | TotalTime=2592.66s | Method=fedcda
[Round 096/100] Acc=51.950 | RoundTime=33.23s | TotalTime=2625.88s | Method=fedcda
[Round 097/100] Acc=51.880 | RoundTime=33.60s | TotalTime=2659.48s | Method=fedcda
[Round 098/100] Acc=51.890 | RoundTime=33.46s | TotalTime=2692.95s | Method=fedcda
[Round 099/100] Acc=52.050 | RoundTime=33.62s | TotalTime=2726.57s | Method=fedcda
[Round 100/100] Acc=51.970 | RoundTime=32.77s | TotalTime=2759.34s | Method=fedcda
====================================================================================================
Training finished at: 2026-03-31 16:12:03
Total elapsed time: 2759.34s
Final Acc: 51.970
Best Acc : 53.610
====================================================================================================
