========================================================================================================================
Training started at: 2026-04-10 14:55:12
Result directory: results/fl_cifar10/fedcda/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0
Result txt file : results/fl_cifar10/fedcda/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_cifar10_20260410-145512-447259_pid305273.txt
Result log file : results/fl_cifar10/fedcda/pm-dir_a-0.8_nm-uni_nr-0.5_nt-symmetric_hs-3_bn-3_wr-30_L-1.0/fedcda_fl_cifar10_20260410-145512-447259_pid305273.log
------------------------------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedCDA history size: 3
FedCDA batch num: 3
FedCDA warmup round: 30
FedCDA L: 1.0
========================================================================================================================
[Round 001/100] Phase=standard | Stage=warmup | Acc=10.000 | RoundTime=127.14s | TotalTime=127.15s | Method=fedcda
[Round 002/100] Phase=standard | Stage=warmup | Acc=10.310 | RoundTime=126.23s | TotalTime=253.39s | Method=fedcda
[Round 003/100] Phase=standard | Stage=warmup | Acc=33.260 | RoundTime=127.77s | TotalTime=381.17s | Method=fedcda
[Round 004/100] Phase=standard | Stage=warmup | Acc=43.920 | RoundTime=127.18s | TotalTime=508.36s | Method=fedcda
[Round 005/100] Phase=standard | Stage=warmup | Acc=48.110 | RoundTime=126.97s | TotalTime=635.34s | Method=fedcda
[Round 006/100] Phase=standard | Stage=warmup | Acc=47.830 | RoundTime=128.04s | TotalTime=763.39s | Method=fedcda
[Round 007/100] Phase=standard | Stage=warmup | Acc=47.110 | RoundTime=125.81s | TotalTime=889.21s | Method=fedcda
[Round 008/100] Phase=standard | Stage=warmup | Acc=50.430 | RoundTime=126.04s | TotalTime=1015.25s | Method=fedcda
[Round 009/100] Phase=standard | Stage=warmup | Acc=49.190 | RoundTime=126.55s | TotalTime=1141.81s | Method=fedcda
[Round 010/100] Phase=standard | Stage=warmup | Acc=53.520 | RoundTime=123.87s | TotalTime=1265.69s | Method=fedcda
[Round 011/100] Phase=standard | Stage=warmup | Acc=53.720 | RoundTime=125.71s | TotalTime=1391.41s | Method=fedcda
