====================================================================================================
Training started at: 2026-03-08 10:06:29
Result directory: results/fl_cifar10/feddenoise
Result txt file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-100629.txt
Result log file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-100629.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.480 | Pure=86.002 | RoundTime=34.75s | TotalTime=34.75s | Method=feddenoise
[Round 002/100] Acc=32.640 | Pure=85.999 | RoundTime=33.99s | TotalTime=68.75s | Method=feddenoise
[Round 003/100] Acc=50.750 | Pure=89.576 | RoundTime=34.71s | TotalTime=103.46s | Method=feddenoise
[Round 004/100] Acc=53.520 | Pure=84.192 | RoundTime=35.61s | TotalTime=139.07s | Method=feddenoise
[Round 005/100] Acc=57.400 | Pure=83.510 | RoundTime=35.59s | TotalTime=174.65s | Method=feddenoise
[Round 006/100] Acc=60.070 | Pure=88.837 | RoundTime=34.09s | TotalTime=208.74s | Method=feddenoise
[Round 007/100] Acc=59.940 | Pure=81.072 | RoundTime=33.96s | TotalTime=242.70s | Method=feddenoise
[Round 008/100] Acc=62.550 | Pure=84.317 | RoundTime=35.08s | TotalTime=277.78s | Method=feddenoise
[Round 009/100] Acc=63.860 | Pure=82.622 | RoundTime=34.95s | TotalTime=312.72s | Method=feddenoise
[Round 010/100] Acc=65.360 | Pure=85.635 | RoundTime=33.89s | TotalTime=346.61s | Method=feddenoise
[Round 011/100] Acc=66.550 | Pure=94.961 | RoundTime=51.82s | TotalTime=398.44s | Method=feddenoise
[Round 012/100] Acc=65.550 | Pure=87.352 | RoundTime=51.57s | TotalTime=450.01s | Method=feddenoise
[Round 013/100] Acc=67.000 | Pure=89.368 | RoundTime=51.66s | TotalTime=501.67s | Method=feddenoise
[Round 014/100] Acc=68.370 | Pure=91.296 | RoundTime=51.78s | TotalTime=553.45s | Method=feddenoise
[Round 015/100] Acc=68.070 | Pure=91.737 | RoundTime=54.09s | TotalTime=607.53s | Method=feddenoise
[Round 016/100] Acc=69.140 | Pure=91.194 | RoundTime=51.19s | TotalTime=658.72s | Method=feddenoise
[Round 017/100] Acc=68.850 | Pure=86.926 | RoundTime=51.65s | TotalTime=710.37s | Method=feddenoise
[Round 018/100] Acc=69.480 | Pure=91.978 | RoundTime=52.03s | TotalTime=762.40s | Method=feddenoise
[Round 019/100] Acc=69.820 | Pure=89.313 | RoundTime=52.69s | TotalTime=815.08s | Method=feddenoise
[Round 020/100] Acc=69.760 | Pure=87.454 | RoundTime=53.11s | TotalTime=868.19s | Method=feddenoise
[Round 021/100] Acc=70.540 | Pure=87.998 | RoundTime=51.34s | TotalTime=919.53s | Method=feddenoise
[Round 022/100] Acc=71.810 | Pure=92.362 | RoundTime=52.20s | TotalTime=971.74s | Method=feddenoise
[Round 023/100] Acc=72.690 | Pure=93.623 | RoundTime=52.36s | TotalTime=1024.10s | Method=feddenoise
[Round 024/100] Acc=71.420 | Pure=87.783 | RoundTime=52.31s | TotalTime=1076.41s | Method=feddenoise
[Round 025/100] Acc=72.580 | Pure=92.196 | RoundTime=52.41s | TotalTime=1128.82s | Method=feddenoise
[Round 026/100] Acc=72.290 | Pure=91.047 | RoundTime=51.44s | TotalTime=1180.26s | Method=feddenoise
[Round 027/100] Acc=73.230 | Pure=94.597 | RoundTime=52.05s | TotalTime=1232.31s | Method=feddenoise
[Round 028/100] Acc=72.660 | Pure=91.616 | RoundTime=53.01s | TotalTime=1285.32s | Method=feddenoise
[Round 029/100] Acc=73.150 | Pure=91.743 | RoundTime=51.70s | TotalTime=1337.02s | Method=feddenoise
[Round 030/100] Acc=73.490 | Pure=89.843 | RoundTime=52.57s | TotalTime=1389.59s | Method=feddenoise
[Round 031/100] Acc=73.540 | Pure=92.380 | RoundTime=52.16s | TotalTime=1441.76s | Method=feddenoise
[Round 032/100] Acc=73.450 | Pure=89.552 | RoundTime=52.25s | TotalTime=1494.00s | Method=feddenoise
[Round 033/100] Acc=74.110 | Pure=92.220 | RoundTime=52.66s | TotalTime=1546.67s | Method=feddenoise
[Round 034/100] Acc=73.850 | Pure=90.703 | RoundTime=53.33s | TotalTime=1600.00s | Method=feddenoise
[Round 035/100] Acc=75.120 | Pure=96.513 | RoundTime=53.68s | TotalTime=1653.68s | Method=feddenoise
[Round 036/100] Acc=74.910 | Pure=90.696 | RoundTime=53.43s | TotalTime=1707.11s | Method=feddenoise
[Round 037/100] Acc=74.680 | Pure=93.245 | RoundTime=51.52s | TotalTime=1758.63s | Method=feddenoise
[Round 038/100] Acc=75.030 | Pure=93.491 | RoundTime=51.62s | TotalTime=1810.24s | Method=feddenoise
[Round 039/100] Acc=75.350 | Pure=93.134 | RoundTime=51.96s | TotalTime=1862.20s | Method=feddenoise
[Round 040/100] Acc=74.760 | Pure=91.020 | RoundTime=51.28s | TotalTime=1913.48s | Method=feddenoise
[Round 041/100] Acc=75.370 | Pure=92.531 | RoundTime=52.90s | TotalTime=1966.38s | Method=feddenoise
[Round 042/100] Acc=75.450 | Pure=94.153 | RoundTime=51.96s | TotalTime=2018.35s | Method=feddenoise
[Round 043/100] Acc=74.840 | Pure=90.358 | RoundTime=52.49s | TotalTime=2070.83s | Method=feddenoise
[Round 044/100] Acc=74.650 | Pure=87.672 | RoundTime=52.37s | TotalTime=2123.20s | Method=feddenoise
[Round 045/100] Acc=75.240 | Pure=89.672 | RoundTime=52.20s | TotalTime=2175.40s | Method=feddenoise
[Round 046/100] Acc=75.330 | Pure=91.338 | RoundTime=52.27s | TotalTime=2227.68s | Method=feddenoise
[Round 047/100] Acc=74.480 | Pure=87.834 | RoundTime=53.56s | TotalTime=2281.24s | Method=feddenoise
[Round 048/100] Acc=76.310 | Pure=93.271 | RoundTime=52.59s | TotalTime=2333.83s | Method=feddenoise
[Round 049/100] Acc=76.090 | Pure=89.858 | RoundTime=52.85s | TotalTime=2386.68s | Method=feddenoise
[Round 050/100] Acc=76.840 | Pure=94.861 | RoundTime=53.20s | TotalTime=2439.88s | Method=feddenoise
[Round 051/100] Acc=76.070 | Pure=91.234 | RoundTime=51.71s | TotalTime=2491.60s | Method=feddenoise
[Round 052/100] Acc=75.850 | Pure=90.830 | RoundTime=52.33s | TotalTime=2543.93s | Method=feddenoise
[Round 053/100] Acc=75.830 | Pure=92.807 | RoundTime=52.62s | TotalTime=2596.55s | Method=feddenoise
[Round 054/100] Acc=76.230 | Pure=92.009 | RoundTime=51.93s | TotalTime=2648.49s | Method=feddenoise
[Round 055/100] Acc=76.340 | Pure=91.326 | RoundTime=52.09s | TotalTime=2700.58s | Method=feddenoise
[Round 056/100] Acc=77.290 | Pure=95.665 | RoundTime=51.89s | TotalTime=2752.47s | Method=feddenoise
[Round 057/100] Acc=76.940 | Pure=91.083 | RoundTime=51.92s | TotalTime=2804.39s | Method=feddenoise
[Round 058/100] Acc=76.330 | Pure=89.829 | RoundTime=52.29s | TotalTime=2856.68s | Method=feddenoise
[Round 059/100] Acc=76.720 | Pure=89.905 | RoundTime=51.91s | TotalTime=2908.59s | Method=feddenoise
[Round 060/100] Acc=75.790 | Pure=87.744 | RoundTime=52.32s | TotalTime=2960.91s | Method=feddenoise
[Round 061/100] Acc=77.090 | Pure=90.278 | RoundTime=52.69s | TotalTime=3013.60s | Method=feddenoise
[Round 062/100] Acc=76.860 | Pure=92.469 | RoundTime=52.36s | TotalTime=3065.95s | Method=feddenoise
[Round 063/100] Acc=76.630 | Pure=90.570 | RoundTime=52.29s | TotalTime=3118.24s | Method=feddenoise
[Round 064/100] Acc=76.780 | Pure=91.406 | RoundTime=52.70s | TotalTime=3170.94s | Method=feddenoise
[Round 065/100] Acc=77.050 | Pure=89.815 | RoundTime=54.00s | TotalTime=3224.95s | Method=feddenoise
[Round 066/100] Acc=76.610 | Pure=87.926 | RoundTime=51.75s | TotalTime=3276.69s | Method=feddenoise
[Round 067/100] Acc=77.150 | Pure=91.955 | RoundTime=51.86s | TotalTime=3328.56s | Method=feddenoise
[Round 068/100] Acc=77.750 | Pure=94.630 | RoundTime=51.09s | TotalTime=3379.65s | Method=feddenoise
[Round 069/100] Acc=78.140 | Pure=95.533 | RoundTime=52.77s | TotalTime=3432.42s | Method=feddenoise
[Round 070/100] Acc=77.430 | Pure=92.162 | RoundTime=53.98s | TotalTime=3486.39s | Method=feddenoise
[Round 071/100] Acc=77.750 | Pure=93.916 | RoundTime=51.72s | TotalTime=3538.12s | Method=feddenoise
[Round 072/100] Acc=76.750 | Pure=93.171 | RoundTime=53.04s | TotalTime=3591.16s | Method=feddenoise
[Round 073/100] Acc=77.800 | Pure=94.794 | RoundTime=53.12s | TotalTime=3644.28s | Method=feddenoise
[Round 074/100] Acc=77.900 | Pure=93.393 | RoundTime=52.28s | TotalTime=3696.56s | Method=feddenoise
[Round 075/100] Acc=77.570 | Pure=90.982 | RoundTime=51.85s | TotalTime=3748.41s | Method=feddenoise
[Round 076/100] Acc=77.660 | Pure=90.570 | RoundTime=52.78s | TotalTime=3801.19s | Method=feddenoise
[Round 077/100] Acc=77.760 | Pure=91.488 | RoundTime=52.23s | TotalTime=3853.42s | Method=feddenoise
[Round 078/100] Acc=78.190 | Pure=94.342 | RoundTime=51.33s | TotalTime=3904.76s | Method=feddenoise
[Round 079/100] Acc=77.950 | Pure=95.466 | RoundTime=54.28s | TotalTime=3959.04s | Method=feddenoise
[Round 080/100] Acc=77.130 | Pure=89.350 | RoundTime=53.39s | TotalTime=4012.43s | Method=feddenoise
[Round 081/100] Acc=77.590 | Pure=92.416 | RoundTime=53.85s | TotalTime=4066.28s | Method=feddenoise
[Round 082/100] Acc=77.880 | Pure=93.049 | RoundTime=51.82s | TotalTime=4118.10s | Method=feddenoise
[Round 083/100] Acc=78.100 | Pure=93.024 | RoundTime=52.43s | TotalTime=4170.53s | Method=feddenoise
[Round 084/100] Acc=76.920 | Pure=89.324 | RoundTime=52.55s | TotalTime=4223.08s | Method=feddenoise
