epoch	acc	pure	round_time_sec	total_time_sec
0	10.48	86.002	34.7528	34.7529
1	32.64	85.999	33.9927	68.7459
2	50.75	89.576	34.7122	103.4584
3	53.52	84.192	35.6068	139.0655
4	57.4	83.51	35.5858	174.6516
5	60.07	88.837	34.0862	208.7380
6	59.94	81.072	33.9575	242.6959
7	62.55	84.317	35.0806	277.7768
8	63.86	82.622	34.9462	312.7233
9	65.36	85.635	33.8908	346.6144
10	66.55	94.961	51.8248	398.4395
11	65.55	87.352	51.5680	450.0078
12	67.0	89.368	51.6593	501.6674
13	68.37	91.296	51.7786	553.4463
14	68.07	91.737	54.0871	607.5337
15	69.14	91.194	51.1864	658.7205
16	68.85	86.926	51.6505	710.3713
17	69.48	91.978	52.0253	762.3970
18	69.82	89.313	52.6862	815.0834
19	69.76	87.454	53.1109	868.1946
20	70.54	87.998	51.3392	919.5342
21	71.81	92.362	52.2007	971.7352
22	72.69	93.623	52.3643	1024.0997
23	71.42	87.783	52.3079	1076.4080
24	72.58	92.196	52.4132	1128.8216
25	72.29	91.047	51.4406	1180.2625
26	73.23	94.597	52.0500	1232.3129
27	72.66	91.616	53.0107	1285.3239
28	73.15	91.743	51.6958	1337.0202
29	73.49	89.843	52.5734	1389.5938
30	73.54	92.38	52.1614	1441.7555
31	73.45	89.552	52.2463	1494.0021
32	74.11	92.22	52.6647	1546.6672
33	73.85	90.703	53.3276	1599.9950
34	75.12	96.513	53.6832	1653.6786
35	74.91	90.696	53.4265	1707.1053
36	74.68	93.245	51.5226	1758.6283
37	75.03	93.491	51.6162	1810.2448
38	75.35	93.134	51.9572	1862.2024
39	74.76	91.02	51.2780	1913.4806
40	75.37	92.531	52.9027	1966.3838
41	75.45	94.153	51.9620	2018.3462
42	74.84	90.358	52.4854	2070.8318
43	74.65	87.672	52.3715	2123.2037
44	75.24	89.672	52.1989	2175.4031
45	75.33	91.338	52.2724	2227.6758
46	74.48	87.834	53.5642	2281.2404
47	76.31	93.271	52.5857	2333.8264
48	76.09	89.858	52.8521	2386.6788
49	76.84	94.861	53.2046	2439.8837
50	76.07	91.234	51.7137	2491.5978
51	75.85	90.83	52.3301	2543.9283
52	75.83	92.807	52.6244	2596.5529
53	76.23	92.009	51.9332	2648.4894
54	76.34	91.326	52.0940	2700.5837
55	77.29	95.665	51.8858	2752.4697
56	76.94	91.083	51.9175	2804.3875
57	76.33	89.829	52.2945	2856.6823
58	76.72	89.905	51.9103	2908.5931
59	75.79	87.744	52.3195	2960.9129
60	77.09	90.278	52.6855	3013.5987
61	76.86	92.469	52.3553	3065.9543
62	76.63	90.57	52.2891	3118.2439
63	76.78	91.406	52.7000	3170.9442
64	77.05	89.815	54.0034	3224.9479
65	76.61	87.926	51.7452	3276.6935
66	77.15	91.955	51.8635	3328.5573
67	77.75	94.63	51.0936	3379.6514
68	78.14	95.533	52.7665	3432.4183
69	77.43	92.162	53.9760	3486.3947
70	77.75	93.916	51.7247	3538.1197
71	76.75	93.171	53.0366	3591.1567
72	77.8	94.794	53.1214	3644.2785
73	77.9	93.393	52.2787	3696.5574
74	77.57	90.982	51.8546	3748.4124
75	77.66	90.57	52.7812	3801.1940
76	77.76	91.488	52.2288	3853.4232
77	78.19	94.342	51.3320	3904.7555
78	77.95	95.466	54.2800	3959.0358
79	77.13	89.35	53.3891	4012.4257
80	77.59	92.416	53.8494	4066.2755
81	77.88	93.049	51.8236	4118.0994
82	78.1	93.024	52.4304	4170.5301
83	76.92	89.324	52.5525	4223.0829
84	77.06	89.781	53.4035	4276.4868
85	77.55	94.207	52.9124	4329.3996
86	77.12	91.614	52.5957	4381.9956
87	78.39	95.384	53.9799	4435.9758
88	78.59	95.44	51.3934	4487.3697
89	78.03	93.626	51.1341	4538.5041
90	77.97	93.464	51.7247	4590.2291
91	78.28	92.653	51.2090	4641.4385
92	78.67	95.941	53.4320	4694.8709
93	78.27	92.773	51.4661	4746.3373
94	78.35	94.825	51.4096	4797.7472
95	77.72	90.787	53.2740	4851.0215
96	77.61	91.546	53.9255	4904.9473
97	79.0	92.18	51.9167	4956.8644
98	78.56	94.829	52.1542	5009.0189
99	77.28	88.34	47.8766	5056.8958
