====================================================================================================
Training started at: 2026-03-08 10:06:29
Result directory: results/fl_cifar10/feddenoise
Result txt file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-100629.txt
Result log file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260308-100629.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: median
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.500 | Pure=89.000 | RoundTime=34.82s | TotalTime=34.82s | Method=feddenoise
[Round 002/100] Acc=34.280 | Pure=81.473 | RoundTime=34.00s | TotalTime=68.82s | Method=feddenoise
[Round 003/100] Acc=51.500 | Pure=88.094 | RoundTime=34.89s | TotalTime=103.71s | Method=feddenoise
[Round 004/100] Acc=54.490 | Pure=87.405 | RoundTime=35.33s | TotalTime=139.03s | Method=feddenoise
[Round 005/100] Acc=57.790 | Pure=85.697 | RoundTime=35.31s | TotalTime=174.35s | Method=feddenoise
[Round 006/100] Acc=59.820 | Pure=87.939 | RoundTime=34.43s | TotalTime=208.78s | Method=feddenoise
[Round 007/100] Acc=60.350 | Pure=85.459 | RoundTime=33.95s | TotalTime=242.73s | Method=feddenoise
[Round 008/100] Acc=62.720 | Pure=87.442 | RoundTime=35.64s | TotalTime=278.37s | Method=feddenoise
[Round 009/100] Acc=63.800 | Pure=86.053 | RoundTime=34.74s | TotalTime=313.11s | Method=feddenoise
[Round 010/100] Acc=64.290 | Pure=83.073 | RoundTime=34.50s | TotalTime=347.62s | Method=feddenoise
[Round 011/100] Acc=64.970 | Pure=92.178 | RoundTime=50.93s | TotalTime=398.55s | Method=feddenoise
[Round 012/100] Acc=65.590 | Pure=86.954 | RoundTime=51.15s | TotalTime=449.70s | Method=feddenoise
[Round 013/100] Acc=67.180 | Pure=93.467 | RoundTime=51.46s | TotalTime=501.16s | Method=feddenoise
[Round 014/100] Acc=67.140 | Pure=88.542 | RoundTime=51.58s | TotalTime=552.73s | Method=feddenoise
[Round 015/100] Acc=68.430 | Pure=93.226 | RoundTime=53.00s | TotalTime=605.73s | Method=feddenoise
[Round 016/100] Acc=68.690 | Pure=91.966 | RoundTime=51.03s | TotalTime=656.76s | Method=feddenoise
[Round 017/100] Acc=69.300 | Pure=93.085 | RoundTime=51.39s | TotalTime=708.15s | Method=feddenoise
[Round 018/100] Acc=69.050 | Pure=88.367 | RoundTime=52.04s | TotalTime=760.19s | Method=feddenoise
[Round 019/100] Acc=71.000 | Pure=91.669 | RoundTime=52.36s | TotalTime=812.55s | Method=feddenoise
[Round 020/100] Acc=70.110 | Pure=91.189 | RoundTime=52.66s | TotalTime=865.21s | Method=feddenoise
[Round 021/100] Acc=71.570 | Pure=95.792 | RoundTime=51.71s | TotalTime=916.92s | Method=feddenoise
[Round 022/100] Acc=71.060 | Pure=92.313 | RoundTime=51.68s | TotalTime=968.60s | Method=feddenoise
[Round 023/100] Acc=71.650 | Pure=92.114 | RoundTime=51.55s | TotalTime=1020.15s | Method=feddenoise
[Round 024/100] Acc=71.430 | Pure=90.766 | RoundTime=51.87s | TotalTime=1072.02s | Method=feddenoise
[Round 025/100] Acc=71.220 | Pure=88.457 | RoundTime=52.48s | TotalTime=1124.50s | Method=feddenoise
[Round 026/100] Acc=72.450 | Pure=93.892 | RoundTime=51.35s | TotalTime=1175.85s | Method=feddenoise
[Round 027/100] Acc=73.140 | Pure=94.622 | RoundTime=51.36s | TotalTime=1227.21s | Method=feddenoise
