====================================================================================================
Training started at: 2026-03-08 08:42:40
Result directory: results/fl_cifar10/feddenoise
Result txt file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.txt
Result log file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=median_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: median
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.450 | Pure=87.960 | RoundTime=34.95s | TotalTime=34.95s | Method=feddenoise
[Round 002/100] Acc=34.920 | Pure=83.918 | RoundTime=34.75s | TotalTime=69.70s | Method=feddenoise
[Round 003/100] Acc=51.270 | Pure=86.772 | RoundTime=35.14s | TotalTime=104.83s | Method=feddenoise
[Round 004/100] Acc=53.970 | Pure=87.225 | RoundTime=34.39s | TotalTime=139.23s | Method=feddenoise
[Round 005/100] Acc=57.000 | Pure=88.881 | RoundTime=34.79s | TotalTime=174.02s | Method=feddenoise
[Round 006/100] Acc=58.930 | Pure=86.228 | RoundTime=36.70s | TotalTime=210.72s | Method=feddenoise
[Round 007/100] Acc=60.900 | Pure=80.595 | RoundTime=34.33s | TotalTime=245.04s | Method=feddenoise
[Round 008/100] Acc=62.890 | Pure=87.383 | RoundTime=34.88s | TotalTime=279.92s | Method=feddenoise
[Round 009/100] Acc=63.900 | Pure=84.117 | RoundTime=35.57s | TotalTime=315.49s | Method=feddenoise
[Round 010/100] Acc=64.320 | Pure=83.692 | RoundTime=35.19s | TotalTime=350.68s | Method=feddenoise
[Round 011/100] Acc=64.510 | Pure=90.864 | RoundTime=50.96s | TotalTime=401.64s | Method=feddenoise
[Round 012/100] Acc=65.660 | Pure=91.112 | RoundTime=51.73s | TotalTime=453.37s | Method=feddenoise
[Round 013/100] Acc=67.090 | Pure=92.460 | RoundTime=51.39s | TotalTime=504.76s | Method=feddenoise
[Round 014/100] Acc=68.650 | Pure=92.702 | RoundTime=50.78s | TotalTime=555.54s | Method=feddenoise
[Round 015/100] Acc=68.170 | Pure=89.191 | RoundTime=50.01s | TotalTime=605.55s | Method=feddenoise
[Round 016/100] Acc=68.530 | Pure=91.474 | RoundTime=51.59s | TotalTime=657.14s | Method=feddenoise
[Round 017/100] Acc=69.400 | Pure=90.096 | RoundTime=51.53s | TotalTime=708.67s | Method=feddenoise
[Round 018/100] Acc=69.720 | Pure=91.878 | RoundTime=52.10s | TotalTime=760.78s | Method=feddenoise
[Round 019/100] Acc=70.400 | Pure=93.371 | RoundTime=53.25s | TotalTime=814.03s | Method=feddenoise
[Round 020/100] Acc=70.920 | Pure=90.962 | RoundTime=51.21s | TotalTime=865.24s | Method=feddenoise
[Round 021/100] Acc=71.500 | Pure=93.854 | RoundTime=55.00s | TotalTime=920.24s | Method=feddenoise
[Round 022/100] Acc=71.440 | Pure=92.664 | RoundTime=51.18s | TotalTime=971.42s | Method=feddenoise
[Round 023/100] Acc=71.980 | Pure=92.139 | RoundTime=51.55s | TotalTime=1022.97s | Method=feddenoise
[Round 024/100] Acc=72.160 | Pure=92.438 | RoundTime=50.84s | TotalTime=1073.82s | Method=feddenoise
[Round 025/100] Acc=72.820 | Pure=94.260 | RoundTime=50.92s | TotalTime=1124.74s | Method=feddenoise
[Round 026/100] Acc=72.860 | Pure=93.715 | RoundTime=51.32s | TotalTime=1176.06s | Method=feddenoise
[Round 027/100] Acc=72.870 | Pure=94.175 | RoundTime=52.89s | TotalTime=1228.95s | Method=feddenoise
[Round 028/100] Acc=72.530 | Pure=94.144 | RoundTime=51.00s | TotalTime=1279.96s | Method=feddenoise
[Round 029/100] Acc=73.020 | Pure=92.473 | RoundTime=51.84s | TotalTime=1331.80s | Method=feddenoise
[Round 030/100] Acc=73.340 | Pure=95.570 | RoundTime=51.86s | TotalTime=1383.66s | Method=feddenoise
[Round 031/100] Acc=73.540 | Pure=93.465 | RoundTime=51.03s | TotalTime=1434.70s | Method=feddenoise
[Round 032/100] Acc=73.690 | Pure=95.829 | RoundTime=50.71s | TotalTime=1485.41s | Method=feddenoise
[Round 033/100] Acc=73.840 | Pure=94.122 | RoundTime=51.90s | TotalTime=1537.32s | Method=feddenoise
[Round 034/100] Acc=74.210 | Pure=94.441 | RoundTime=51.82s | TotalTime=1589.14s | Method=feddenoise
[Round 035/100] Acc=74.370 | Pure=94.121 | RoundTime=50.56s | TotalTime=1639.70s | Method=feddenoise
[Round 036/100] Acc=73.720 | Pure=90.710 | RoundTime=52.65s | TotalTime=1692.35s | Method=feddenoise
[Round 037/100] Acc=74.220 | Pure=90.496 | RoundTime=52.93s | TotalTime=1745.28s | Method=feddenoise
[Round 038/100] Acc=74.100 | Pure=88.645 | RoundTime=51.04s | TotalTime=1796.32s | Method=feddenoise
[Round 039/100] Acc=74.850 | Pure=93.893 | RoundTime=53.41s | TotalTime=1849.72s | Method=feddenoise
[Round 040/100] Acc=75.060 | Pure=93.990 | RoundTime=51.87s | TotalTime=1901.59s | Method=feddenoise
[Round 041/100] Acc=75.800 | Pure=94.738 | RoundTime=50.55s | TotalTime=1952.14s | Method=feddenoise
[Round 042/100] Acc=75.570 | Pure=94.808 | RoundTime=52.68s | TotalTime=2004.83s | Method=feddenoise
[Round 043/100] Acc=75.940 | Pure=95.304 | RoundTime=51.16s | TotalTime=2055.98s | Method=feddenoise
[Round 044/100] Acc=75.590 | Pure=93.728 | RoundTime=51.17s | TotalTime=2107.15s | Method=feddenoise
[Round 045/100] Acc=75.490 | Pure=90.817 | RoundTime=50.56s | TotalTime=2157.71s | Method=feddenoise
[Round 046/100] Acc=75.970 | Pure=93.291 | RoundTime=54.65s | TotalTime=2212.35s | Method=feddenoise
[Round 047/100] Acc=75.830 | Pure=91.629 | RoundTime=51.76s | TotalTime=2264.11s | Method=feddenoise
[Round 048/100] Acc=75.390 | Pure=89.942 | RoundTime=52.91s | TotalTime=2317.02s | Method=feddenoise
[Round 049/100] Acc=76.000 | Pure=94.921 | RoundTime=53.22s | TotalTime=2370.24s | Method=feddenoise
[Round 050/100] Acc=76.710 | Pure=95.948 | RoundTime=51.70s | TotalTime=2421.94s | Method=feddenoise
[Round 051/100] Acc=75.760 | Pure=91.328 | RoundTime=52.53s | TotalTime=2474.47s | Method=feddenoise
[Round 052/100] Acc=76.090 | Pure=92.745 | RoundTime=50.71s | TotalTime=2525.19s | Method=feddenoise
[Round 053/100] Acc=75.780 | Pure=93.306 | RoundTime=52.49s | TotalTime=2577.68s | Method=feddenoise
[Round 054/100] Acc=76.230 | Pure=94.477 | RoundTime=51.46s | TotalTime=2629.14s | Method=feddenoise
[Round 055/100] Acc=76.100 | Pure=93.562 | RoundTime=51.79s | TotalTime=2680.93s | Method=feddenoise
[Round 056/100] Acc=76.690 | Pure=94.691 | RoundTime=51.92s | TotalTime=2732.84s | Method=feddenoise
[Round 057/100] Acc=76.950 | Pure=97.372 | RoundTime=50.63s | TotalTime=2783.47s | Method=feddenoise
[Round 058/100] Acc=76.700 | Pure=93.893 | RoundTime=50.75s | TotalTime=2834.22s | Method=feddenoise
[Round 059/100] Acc=76.700 | Pure=93.401 | RoundTime=51.27s | TotalTime=2885.49s | Method=feddenoise
[Round 060/100] Acc=76.420 | Pure=92.877 | RoundTime=51.52s | TotalTime=2937.01s | Method=feddenoise
[Round 061/100] Acc=76.480 | Pure=93.441 | RoundTime=52.88s | TotalTime=2989.89s | Method=feddenoise
[Round 062/100] Acc=75.650 | Pure=89.891 | RoundTime=52.22s | TotalTime=3042.10s | Method=feddenoise
[Round 063/100] Acc=76.150 | Pure=90.556 | RoundTime=51.57s | TotalTime=3093.67s | Method=feddenoise
[Round 064/100] Acc=75.550 | Pure=91.243 | RoundTime=53.38s | TotalTime=3147.06s | Method=feddenoise
[Round 065/100] Acc=75.770 | Pure=91.015 | RoundTime=51.34s | TotalTime=3198.40s | Method=feddenoise
[Round 066/100] Acc=75.840 | Pure=90.867 | RoundTime=53.54s | TotalTime=3251.94s | Method=feddenoise
[Round 067/100] Acc=76.330 | Pure=92.710 | RoundTime=50.78s | TotalTime=3302.72s | Method=feddenoise
[Round 068/100] Acc=76.690 | Pure=95.032 | RoundTime=52.35s | TotalTime=3355.07s | Method=feddenoise
[Round 069/100] Acc=75.840 | Pure=91.375 | RoundTime=51.12s | TotalTime=3406.19s | Method=feddenoise
[Round 070/100] Acc=76.390 | Pure=93.162 | RoundTime=50.95s | TotalTime=3457.14s | Method=feddenoise
[Round 071/100] Acc=76.060 | Pure=91.609 | RoundTime=50.93s | TotalTime=3508.07s | Method=feddenoise
[Round 072/100] Acc=75.710 | Pure=87.981 | RoundTime=52.00s | TotalTime=3560.07s | Method=feddenoise
[Round 073/100] Acc=76.550 | Pure=93.868 | RoundTime=51.00s | TotalTime=3611.07s | Method=feddenoise
[Round 074/100] Acc=76.770 | Pure=93.524 | RoundTime=51.63s | TotalTime=3662.70s | Method=feddenoise
[Round 075/100] Acc=76.150 | Pure=91.539 | RoundTime=51.25s | TotalTime=3713.95s | Method=feddenoise
[Round 076/100] Acc=76.770 | Pure=94.503 | RoundTime=52.29s | TotalTime=3766.24s | Method=feddenoise
[Round 077/100] Acc=75.930 | Pure=89.489 | RoundTime=51.35s | TotalTime=3817.58s | Method=feddenoise
[Round 078/100] Acc=76.040 | Pure=90.948 | RoundTime=51.72s | TotalTime=3869.30s | Method=feddenoise
[Round 079/100] Acc=76.470 | Pure=91.874 | RoundTime=51.14s | TotalTime=3920.45s | Method=feddenoise
[Round 080/100] Acc=76.590 | Pure=89.400 | RoundTime=51.53s | TotalTime=3971.98s | Method=feddenoise
[Round 081/100] Acc=76.920 | Pure=93.220 | RoundTime=51.87s | TotalTime=4023.85s | Method=feddenoise
[Round 082/100] Acc=76.980 | Pure=92.030 | RoundTime=51.57s | TotalTime=4075.42s | Method=feddenoise
[Round 083/100] Acc=77.010 | Pure=93.850 | RoundTime=52.51s | TotalTime=4127.93s | Method=feddenoise
[Round 084/100] Acc=76.640 | Pure=90.171 | RoundTime=51.30s | TotalTime=4179.23s | Method=feddenoise
[Round 085/100] Acc=76.710 | Pure=90.664 | RoundTime=51.26s | TotalTime=4230.50s | Method=feddenoise
[Round 086/100] Acc=76.840 | Pure=94.606 | RoundTime=51.36s | TotalTime=4281.86s | Method=feddenoise
[Round 087/100] Acc=76.370 | Pure=89.477 | RoundTime=52.32s | TotalTime=4334.18s | Method=feddenoise
[Round 088/100] Acc=76.850 | Pure=93.264 | RoundTime=50.91s | TotalTime=4385.08s | Method=feddenoise
[Round 089/100] Acc=75.950 | Pure=88.389 | RoundTime=50.85s | TotalTime=4435.93s | Method=feddenoise
[Round 090/100] Acc=76.800 | Pure=94.297 | RoundTime=50.59s | TotalTime=4486.52s | Method=feddenoise
[Round 091/100] Acc=76.600 | Pure=93.472 | RoundTime=50.83s | TotalTime=4537.35s | Method=feddenoise
[Round 092/100] Acc=77.260 | Pure=94.313 | RoundTime=53.43s | TotalTime=4590.79s | Method=feddenoise
[Round 093/100] Acc=77.600 | Pure=95.111 | RoundTime=52.79s | TotalTime=4643.58s | Method=feddenoise
[Round 094/100] Acc=77.430 | Pure=93.370 | RoundTime=51.16s | TotalTime=4694.74s | Method=feddenoise
[Round 095/100] Acc=77.200 | Pure=92.689 | RoundTime=52.29s | TotalTime=4747.03s | Method=feddenoise
[Round 096/100] Acc=77.170 | Pure=93.389 | RoundTime=52.18s | TotalTime=4799.20s | Method=feddenoise
[Round 097/100] Acc=76.040 | Pure=88.954 | RoundTime=51.31s | TotalTime=4850.52s | Method=feddenoise
[Round 098/100] Acc=76.900 | Pure=91.006 | RoundTime=51.18s | TotalTime=4901.70s | Method=feddenoise
[Round 099/100] Acc=76.800 | Pure=91.446 | RoundTime=51.92s | TotalTime=4953.62s | Method=feddenoise
[Round 100/100] Acc=77.110 | Pure=95.115 | RoundTime=39.03s | TotalTime=4992.65s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-08 10:05:53
Total elapsed time: 4992.65s
Final Acc: 77.110
Best Acc : 77.600
Final Pure: 95.115
Best Pure : 97.372
====================================================================================================
