epoch	acc	pure	round_time_sec	total_time_sec
0	10.33	88.613	34.6212	34.6214
1	32.72	87.703	34.3034	68.9252
2	50.08	87.141	35.2417	104.1671
3	54.62	88.159	36.9071	141.0745
4	57.67	86.839	37.4630	178.5378
5	59.4	83.351	34.0123	212.5504
6	61.96	86.884	34.7136	247.2643
7	63.02	85.744	35.6579	282.9225
8	65.02	89.513	35.1874	318.1102
9	65.3	88.02	36.1478	354.2583
10	65.89	91.626	51.7567	406.0154
11	65.99	90.341	51.4652	457.4808
12	67.24	90.809	51.7789	509.2601
13	68.15	92.032	52.2153	561.4756
14	68.64	90.984	53.2671	614.7430
15	68.33	88.764	52.5846	667.3279
16	69.72	90.728	51.3979	718.7261
17	70.16	94.057	52.3130	771.0399
18	70.7	91.979	53.1168	824.1570
19	70.48	90.179	53.1590	877.3162
20	71.51	94.405	51.3444	928.6609
21	71.56	92.944	52.6007	981.2620
22	72.94	94.746	53.3562	1034.6185
23	72.11	90.014	52.6615	1087.2804
24	72.57	92.926	52.2534	1139.5341
25	72.51	94.384	51.8225	1191.3570
26	73.2	94.467	51.9775	1243.3348
27	73.41	93.135	52.4058	1295.7409
28	73.94	93.097	51.4394	1347.1807
29	73.54	94.389	52.6672	1399.8482
30	73.26	89.123	52.1801	1452.0287
31	74.09	93.388	52.6665	1504.6956
32	74.05	93.194	53.1236	1557.8194
33	74.33	92.448	52.5552	1610.3749
34	73.72	91.711	54.5409	1664.9161
35	74.21	91.943	53.1914	1718.1079
36	74.88	94.203	51.7440	1769.8522
37	74.63	92.111	51.6837	1821.5363
38	74.55	88.751	52.0001	1873.5368
39	74.97	90.51	52.2131	1925.7502
40	75.6	94.495	52.9620	1978.7125
41	76.63	94.953	53.0332	2031.7460
42	76.27	94.737	53.0395	2084.7858
43	76.23	95.442	52.4266	2137.2126
44	76.35	92.667	53.6291	2190.8421
45	76.01	90.467	52.7527	2243.5950
46	76.97	94.663	52.8328	2296.4282
47	77.04	94.643	53.0958	2349.5244
48	76.11	93.551	52.7710	2402.2957
49	76.44	89.955	53.1181	2455.4141
50	76.85	94.072	51.7359	2507.1504
51	76.45	91.147	52.9430	2560.0936
52	77.21	93.965	51.8633	2611.9573
53	76.86	93.346	51.5821	2663.5396
54	76.72	91.051	52.0890	2715.6290
55	76.86	92.043	52.6581	2768.2874
56	77.3	92.898	52.0548	2820.3425
57	77.73	95.389	54.0376	2874.3804
58	77.64	95.338	51.8176	2926.1983
59	77.93	94.764	53.2380	2979.4367
60	78.09	95.255	53.4104	3032.8474
61	78.53	95.348	52.6931	3085.5409
62	78.24	96.357	52.4787	3138.0198
63	77.57	94.016	50.9966	3189.0168
64	78.01	94.601	54.0094	3243.0265
65	77.55	91.931	51.4836	3294.5104
66	78.43	96.524	52.1940	3346.7047
67	77.95	95.605	51.7421	3398.4472
68	77.97	93.773	53.5123	3451.9598
69	78.01	94.086	52.3511	3504.3112
70	77.74	91.93	53.3169	3557.6284
71	78.79	96.317	53.2819	3610.9106
72	78.42	95.389	53.3372	3664.2482
73	77.85	92.304	52.1397	3716.3882
74	77.43	92.364	53.1098	3769.4984
75	78.19	93.757	53.2376	3822.7363
76	78.03	94.702	51.7219	3874.4586
77	78.31	92.988	51.9012	3926.3601
78	78.56	93.269	53.9262	3980.2867
79	78.3	93.032	54.7493	4035.0362
80	77.01	88.61	52.3928	4087.4293
81	78.18	93.527	51.7433	4139.1729
82	78.15	92.379	52.8279	4192.0011
83	77.97	93.314	51.6329	4243.6343
84	78.39	93.84	52.2209	4295.8556
85	78.2	94.36	52.9111	4348.7671
86	79.0	95.725	54.1523	4402.9198
87	79.05	95.972	53.1841	4456.1042
88	78.71	94.293	51.5695	4507.6740
89	78.58	92.975	51.2402	4558.9146
90	78.27	94.473	51.8974	4610.8125
91	78.17	91.925	51.4213	4662.2341
92	78.34	92.738	52.8403	4715.0747
93	78.18	92.073	52.5441	4767.6191
94	78.7	95.314	52.0675	4819.6869
95	78.23	92.673	54.1317	4873.8189
96	79.01	94.788	53.2683	4927.0875
97	77.75	91.952	52.6764	4979.7643
98	78.62	95.583	52.6899	5032.4545
99	78.08	92.454	40.4047	5072.8595
