====================================================================================================
Training started at: 2026-03-08 08:42:40
Result directory: results/fl_cifar10/feddenoise
Result txt file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.txt
Result log file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=most_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.410 | Pure=88.951 | RoundTime=34.80s | TotalTime=34.80s | Method=feddenoise
[Round 002/100] Acc=34.080 | Pure=88.130 | RoundTime=33.97s | TotalTime=68.77s | Method=feddenoise
[Round 003/100] Acc=50.580 | Pure=83.276 | RoundTime=33.26s | TotalTime=102.03s | Method=feddenoise
[Round 004/100] Acc=54.400 | Pure=81.388 | RoundTime=34.06s | TotalTime=136.09s | Method=feddenoise
[Round 005/100] Acc=58.230 | Pure=85.201 | RoundTime=34.16s | TotalTime=170.25s | Method=feddenoise
[Round 006/100] Acc=60.000 | Pure=83.653 | RoundTime=34.90s | TotalTime=205.16s | Method=feddenoise
[Round 007/100] Acc=60.930 | Pure=81.039 | RoundTime=33.91s | TotalTime=239.07s | Method=feddenoise
[Round 008/100] Acc=62.260 | Pure=79.193 | RoundTime=34.16s | TotalTime=273.23s | Method=feddenoise
[Round 009/100] Acc=63.970 | Pure=84.490 | RoundTime=34.78s | TotalTime=308.01s | Method=feddenoise
[Round 010/100] Acc=64.460 | Pure=87.226 | RoundTime=34.29s | TotalTime=342.29s | Method=feddenoise
[Round 011/100] Acc=66.570 | Pure=96.279 | RoundTime=51.04s | TotalTime=393.34s | Method=feddenoise
[Round 012/100] Acc=66.750 | Pure=89.350 | RoundTime=50.91s | TotalTime=444.25s | Method=feddenoise
[Round 013/100] Acc=67.470 | Pure=90.543 | RoundTime=51.07s | TotalTime=495.32s | Method=feddenoise
[Round 014/100] Acc=69.040 | Pure=94.259 | RoundTime=50.80s | TotalTime=546.12s | Method=feddenoise
[Round 015/100] Acc=69.540 | Pure=94.592 | RoundTime=51.01s | TotalTime=597.13s | Method=feddenoise
[Round 016/100] Acc=69.670 | Pure=93.701 | RoundTime=51.15s | TotalTime=648.28s | Method=feddenoise
[Round 017/100] Acc=70.450 | Pure=90.075 | RoundTime=50.90s | TotalTime=699.18s | Method=feddenoise
[Round 018/100] Acc=70.340 | Pure=91.783 | RoundTime=51.08s | TotalTime=750.26s | Method=feddenoise
[Round 019/100] Acc=70.320 | Pure=92.721 | RoundTime=52.11s | TotalTime=802.37s | Method=feddenoise
[Round 020/100] Acc=70.330 | Pure=88.463 | RoundTime=51.45s | TotalTime=853.82s | Method=feddenoise
[Round 021/100] Acc=70.850 | Pure=91.348 | RoundTime=51.74s | TotalTime=905.57s | Method=feddenoise
[Round 022/100] Acc=71.190 | Pure=91.433 | RoundTime=51.76s | TotalTime=957.33s | Method=feddenoise
[Round 023/100] Acc=71.780 | Pure=89.245 | RoundTime=51.22s | TotalTime=1008.55s | Method=feddenoise
[Round 024/100] Acc=72.320 | Pure=94.813 | RoundTime=51.08s | TotalTime=1059.62s | Method=feddenoise
[Round 025/100] Acc=72.090 | Pure=92.732 | RoundTime=51.28s | TotalTime=1110.90s | Method=feddenoise
[Round 026/100] Acc=72.630 | Pure=92.196 | RoundTime=51.21s | TotalTime=1162.11s | Method=feddenoise
[Round 027/100] Acc=72.880 | Pure=92.390 | RoundTime=52.78s | TotalTime=1214.89s | Method=feddenoise
[Round 028/100] Acc=73.380 | Pure=95.840 | RoundTime=50.93s | TotalTime=1265.82s | Method=feddenoise
[Round 029/100] Acc=72.910 | Pure=91.143 | RoundTime=51.91s | TotalTime=1317.73s | Method=feddenoise
[Round 030/100] Acc=73.520 | Pure=92.621 | RoundTime=52.28s | TotalTime=1370.01s | Method=feddenoise
[Round 031/100] Acc=73.510 | Pure=91.623 | RoundTime=50.63s | TotalTime=1420.64s | Method=feddenoise
[Round 032/100] Acc=73.880 | Pure=93.878 | RoundTime=50.76s | TotalTime=1471.41s | Method=feddenoise
[Round 033/100] Acc=73.870 | Pure=93.649 | RoundTime=51.22s | TotalTime=1522.62s | Method=feddenoise
[Round 034/100] Acc=74.220 | Pure=93.916 | RoundTime=51.21s | TotalTime=1573.83s | Method=feddenoise
[Round 035/100] Acc=74.230 | Pure=93.048 | RoundTime=50.88s | TotalTime=1624.71s | Method=feddenoise
[Round 036/100] Acc=74.400 | Pure=93.420 | RoundTime=52.00s | TotalTime=1676.72s | Method=feddenoise
[Round 037/100] Acc=74.990 | Pure=94.688 | RoundTime=52.42s | TotalTime=1729.13s | Method=feddenoise
[Round 038/100] Acc=74.100 | Pure=90.212 | RoundTime=50.83s | TotalTime=1779.96s | Method=feddenoise
[Round 039/100] Acc=73.270 | Pure=88.141 | RoundTime=53.18s | TotalTime=1833.14s | Method=feddenoise
[Round 040/100] Acc=74.690 | Pure=93.442 | RoundTime=51.85s | TotalTime=1885.00s | Method=feddenoise
[Round 041/100] Acc=74.980 | Pure=93.176 | RoundTime=50.73s | TotalTime=1935.72s | Method=feddenoise
[Round 042/100] Acc=74.800 | Pure=93.443 | RoundTime=52.12s | TotalTime=1987.84s | Method=feddenoise
[Round 043/100] Acc=75.040 | Pure=93.477 | RoundTime=50.97s | TotalTime=2038.80s | Method=feddenoise
[Round 044/100] Acc=74.760 | Pure=92.922 | RoundTime=50.96s | TotalTime=2089.76s | Method=feddenoise
[Round 045/100] Acc=75.480 | Pure=93.616 | RoundTime=50.86s | TotalTime=2140.62s | Method=feddenoise
[Round 046/100] Acc=74.870 | Pure=92.449 | RoundTime=52.57s | TotalTime=2193.19s | Method=feddenoise
[Round 047/100] Acc=75.410 | Pure=95.261 | RoundTime=52.71s | TotalTime=2245.90s | Method=feddenoise
[Round 048/100] Acc=74.950 | Pure=90.190 | RoundTime=51.61s | TotalTime=2297.51s | Method=feddenoise
[Round 049/100] Acc=74.730 | Pure=92.335 | RoundTime=52.94s | TotalTime=2350.45s | Method=feddenoise
[Round 050/100] Acc=75.270 | Pure=89.575 | RoundTime=50.73s | TotalTime=2401.18s | Method=feddenoise
[Round 051/100] Acc=75.180 | Pure=91.955 | RoundTime=52.90s | TotalTime=2454.08s | Method=feddenoise
[Round 052/100] Acc=75.200 | Pure=90.792 | RoundTime=50.71s | TotalTime=2504.79s | Method=feddenoise
[Round 053/100] Acc=76.210 | Pure=94.947 | RoundTime=51.05s | TotalTime=2555.84s | Method=feddenoise
[Round 054/100] Acc=75.870 | Pure=93.149 | RoundTime=51.16s | TotalTime=2607.00s | Method=feddenoise
[Round 055/100] Acc=76.050 | Pure=92.750 | RoundTime=52.17s | TotalTime=2659.17s | Method=feddenoise
[Round 056/100] Acc=75.670 | Pure=94.108 | RoundTime=52.11s | TotalTime=2711.28s | Method=feddenoise
[Round 057/100] Acc=75.620 | Pure=93.919 | RoundTime=51.92s | TotalTime=2763.20s | Method=feddenoise
[Round 058/100] Acc=75.780 | Pure=92.361 | RoundTime=50.63s | TotalTime=2813.83s | Method=feddenoise
[Round 059/100] Acc=75.750 | Pure=95.704 | RoundTime=50.67s | TotalTime=2864.50s | Method=feddenoise
