epoch	acc	pure	round_time_sec	total_time_sec
0	10.36	84.864	34.8854	34.8855
1	33.99	89.324	34.0330	68.9189
2	51.39	88.158	34.2112	103.1304
3	55.41	83.175	34.3231	137.4539
4	58.88	87.774	34.2265	171.6807
5	61.0	88.396	35.4146	207.0956
6	60.63	83.443	33.9015	240.9974
7	62.17	83.582	34.3042	275.3019
8	64.53	86.579	35.1534	310.4556
9	65.71	89.024	34.2021	344.6580
10	66.12	93.469	51.0776	395.7359
11	67.03	92.936	50.9290	446.6652
12	67.51	91.014	50.9444	497.6099
13	68.01	90.077	50.4912	548.1013
14	68.85	88.665	50.6537	598.7554
15	68.96	88.483	51.4412	650.1971
16	69.61	90.426	50.5173	700.7147
17	70.03	91.397	50.9861	751.7011
18	70.17	91.298	53.1681	804.8695
19	70.9	92.94	51.7436	856.6135
20	70.94	93.661	51.8068	908.4207
21	72.16	95.559	51.3114	959.7324
22	72.1	94.167	51.3988	1011.1315
23	72.23	92.337	50.5585	1061.6903
24	72.16	88.338	50.8053	1112.4959
25	72.66	92.051	51.1219	1163.6183
26	72.31	92.03	52.5949	1216.2135
27	73.62	94.306	50.6830	1266.8968
28	73.76	94.13	51.0281	1317.9252
29	72.89	89.868	51.8379	1369.7634
30	73.28	92.35	50.5618	1420.3255
31	74.49	93.401	50.4670	1470.7928
32	73.02	90.869	51.7392	1522.5323
33	74.48	94.446	50.8857	1573.4182
34	74.15	92.38	50.6025	1624.0210
35	73.7	90.79	51.6024	1675.6239
36	74.76	93.428	51.5263	1727.1504
37	73.76	93.596	50.9119	1778.0626
38	74.45	93.108	51.9640	1830.0269
39	75.26	96.066	51.3329	1881.3600
40	75.16	94.688	50.7464	1932.1067
41	74.68	89.282	51.6368	1983.7437
42	75.12	91.562	51.7145	2035.4585
43	75.59	94.588	50.8583	2086.3171
44	75.59	90.79	50.6381	2136.9555
45	75.2	90.469	53.7974	2190.7532
46	75.87	93.868	51.6353	2242.3888
47	75.17	91.936	50.8997	2293.2890
48	75.35	92.424	51.7981	2345.0874
49	75.66	93.314	51.7340	2396.8217
50	75.82	96.161	52.2981	2449.1202
51	75.72	92.239	50.8120	2499.9324
52	76.17	95.236	50.7517	2550.6844
53	76.53	95.234	51.4341	2602.1188
54	75.42	91.784	52.1249	2654.2440
55	75.62	92.462	51.6828	2705.9272
56	76.66	96.238	51.3251	2757.2526
57	76.12	91.843	51.2784	2808.5313
58	76.62	93.205	50.6464	2859.1780
59	75.94	89.038	51.3575	2910.5358
60	75.78	91.899	51.6876	2962.2237
61	76.59	94.116	51.3379	3013.5620
62	76.96	94.292	51.6530	3065.2154
63	76.58	92.095	52.7481	3117.9637
64	76.94	96.143	51.7307	3169.6948
65	77.1	94.939	53.4790	3223.1742
66	76.47	92.39	50.6472	3273.8217
67	77.21	93.854	51.6128	3325.4347
68	76.62	93.296	51.1220	3376.5570
69	77.24	93.922	51.1949	3427.7522
70	76.96	93.099	50.4133	3478.1658
71	77.03	92.659	51.3303	3529.4964
72	77.26	94.389	51.4598	3580.9565
73	77.33	93.285	50.8437	3631.8005
74	77.46	94.014	51.5894	3683.3901
75	77.45	94.438	51.8941	3735.2845
76	77.26	93.505	51.2598	3786.5446
77	77.63	95.136	51.1862	3837.7312
78	77.42	93.694	51.6463	3889.3778
79	77.46	92.237	50.9361	3940.3144
80	76.75	90.562	51.8942	3992.2089
81	77.4	91.847	50.6741	4042.8832
82	77.83	96.169	52.0404	4094.9239
83	77.26	92.133	51.9279	4146.8521
84	77.39	94.335	51.1229	4197.9753
85	77.91	95.687	51.1301	4249.1056
86	77.28	93.183	51.9339	4301.0399
87	78.08	92.495	51.0818	4352.1220
88	77.38	92.551	51.0853	4403.2075
89	77.32	92.316	51.0157	4454.2236
90	77.75	95.094	51.1233	4505.3472
91	77.55	93.847	50.6938	4556.0412
92	77.43	92.363	52.8808	4608.9224
93	77.46	93.055	51.5502	4660.4728
94	77.77	93.582	50.5005	4710.9736
95	77.23	92.238	50.9336	4761.9075
96	77.42	96.36	51.9536	4813.8615
97	76.56	91.193	51.2835	4865.1452
98	77.49	96.567	51.2066	4916.3521
99	77.69	94.621	50.7227	4967.0751
