====================================================================================================
Training started at: 2026-03-09 05:16:21
Result directory: results/fl_cifar10/feddenoise
Result txt file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=mix_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260309-051621.txt
Result log file : results/fl_cifar10/feddenoise/model=feddenoise_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.3_denoise=mix_noiseType=asymmetric_noiseMax=0.3_avg=weight_seed=0_20260309-051621.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.3
Denoise strategy: mix
Noise type: asymmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.120 | Pure=86.320 | RoundTime=35.33s | TotalTime=35.33s | Method=feddenoise
[Round 002/100] Acc=37.900 | Pure=83.268 | RoundTime=35.29s | TotalTime=70.62s | Method=feddenoise
[Round 003/100] Acc=49.800 | Pure=85.699 | RoundTime=35.33s | TotalTime=105.95s | Method=feddenoise
[Round 004/100] Acc=54.760 | Pure=86.980 | RoundTime=34.10s | TotalTime=140.05s | Method=feddenoise
[Round 005/100] Acc=57.370 | Pure=88.325 | RoundTime=34.61s | TotalTime=174.65s | Method=feddenoise
[Round 006/100] Acc=60.100 | Pure=88.275 | RoundTime=34.30s | TotalTime=208.95s | Method=feddenoise
[Round 007/100] Acc=61.570 | Pure=85.299 | RoundTime=34.91s | TotalTime=243.86s | Method=feddenoise
[Round 008/100] Acc=61.970 | Pure=84.963 | RoundTime=34.67s | TotalTime=278.53s | Method=feddenoise
[Round 009/100] Acc=64.460 | Pure=86.550 | RoundTime=34.83s | TotalTime=313.36s | Method=feddenoise
[Round 010/100] Acc=65.040 | Pure=84.288 | RoundTime=34.51s | TotalTime=347.87s | Method=feddenoise
[Round 011/100] Acc=66.020 | Pure=95.977 | RoundTime=51.32s | TotalTime=399.19s | Method=feddenoise
[Round 012/100] Acc=65.290 | Pure=94.845 | RoundTime=51.13s | TotalTime=450.32s | Method=feddenoise
[Round 013/100] Acc=66.720 | Pure=95.475 | RoundTime=50.86s | TotalTime=501.18s | Method=feddenoise
[Round 014/100] Acc=66.630 | Pure=94.378 | RoundTime=51.21s | TotalTime=552.39s | Method=feddenoise
[Round 015/100] Acc=67.410 | Pure=94.079 | RoundTime=50.70s | TotalTime=603.09s | Method=feddenoise
[Round 016/100] Acc=68.410 | Pure=96.839 | RoundTime=52.31s | TotalTime=655.40s | Method=feddenoise
[Round 017/100] Acc=68.510 | Pure=96.200 | RoundTime=50.90s | TotalTime=706.30s | Method=feddenoise
[Round 018/100] Acc=69.750 | Pure=97.035 | RoundTime=51.70s | TotalTime=758.00s | Method=feddenoise
[Round 019/100] Acc=68.990 | Pure=94.905 | RoundTime=51.04s | TotalTime=809.04s | Method=feddenoise
[Round 020/100] Acc=70.220 | Pure=95.939 | RoundTime=50.90s | TotalTime=859.94s | Method=feddenoise
[Round 021/100] Acc=70.460 | Pure=95.591 | RoundTime=51.69s | TotalTime=911.63s | Method=feddenoise
[Round 022/100] Acc=71.310 | Pure=95.591 | RoundTime=51.92s | TotalTime=963.56s | Method=feddenoise
[Round 023/100] Acc=71.340 | Pure=97.836 | RoundTime=52.02s | TotalTime=1015.57s | Method=feddenoise
[Round 024/100] Acc=72.400 | Pure=96.501 | RoundTime=52.12s | TotalTime=1067.69s | Method=feddenoise
[Round 025/100] Acc=72.570 | Pure=97.450 | RoundTime=53.18s | TotalTime=1120.88s | Method=feddenoise
[Round 026/100] Acc=72.510 | Pure=97.398 | RoundTime=51.12s | TotalTime=1171.99s | Method=feddenoise
[Round 027/100] Acc=72.720 | Pure=97.321 | RoundTime=51.64s | TotalTime=1223.63s | Method=feddenoise
[Round 028/100] Acc=72.990 | Pure=98.315 | RoundTime=51.73s | TotalTime=1275.36s | Method=feddenoise
[Round 029/100] Acc=73.240 | Pure=97.135 | RoundTime=50.91s | TotalTime=1326.27s | Method=feddenoise
[Round 030/100] Acc=73.300 | Pure=97.334 | RoundTime=52.62s | TotalTime=1378.89s | Method=feddenoise
[Round 031/100] Acc=73.890 | Pure=96.727 | RoundTime=50.74s | TotalTime=1429.64s | Method=feddenoise
[Round 032/100] Acc=73.870 | Pure=97.767 | RoundTime=51.03s | TotalTime=1480.67s | Method=feddenoise
[Round 033/100] Acc=74.120 | Pure=98.306 | RoundTime=52.44s | TotalTime=1533.11s | Method=feddenoise
[Round 034/100] Acc=74.640 | Pure=98.826 | RoundTime=52.76s | TotalTime=1585.87s | Method=feddenoise
[Round 035/100] Acc=74.780 | Pure=96.885 | RoundTime=52.85s | TotalTime=1638.72s | Method=feddenoise
[Round 036/100] Acc=75.000 | Pure=98.796 | RoundTime=52.02s | TotalTime=1690.75s | Method=feddenoise
[Round 037/100] Acc=75.010 | Pure=96.854 | RoundTime=51.37s | TotalTime=1742.11s | Method=feddenoise
[Round 038/100] Acc=75.260 | Pure=98.900 | RoundTime=52.18s | TotalTime=1794.30s | Method=feddenoise
[Round 039/100] Acc=75.290 | Pure=98.091 | RoundTime=51.94s | TotalTime=1846.24s | Method=feddenoise
[Round 040/100] Acc=75.000 | Pure=97.706 | RoundTime=52.09s | TotalTime=1898.32s | Method=feddenoise
[Round 041/100] Acc=75.350 | Pure=97.444 | RoundTime=51.16s | TotalTime=1949.49s | Method=feddenoise
[Round 042/100] Acc=75.090 | Pure=97.361 | RoundTime=52.64s | TotalTime=2002.12s | Method=feddenoise
[Round 043/100] Acc=75.570 | Pure=97.614 | RoundTime=51.39s | TotalTime=2053.52s | Method=feddenoise
[Round 044/100] Acc=76.210 | Pure=98.895 | RoundTime=51.94s | TotalTime=2105.46s | Method=feddenoise
[Round 045/100] Acc=75.790 | Pure=96.855 | RoundTime=51.92s | TotalTime=2157.38s | Method=feddenoise
[Round 046/100] Acc=75.710 | Pure=97.681 | RoundTime=51.29s | TotalTime=2208.67s | Method=feddenoise
[Round 047/100] Acc=76.430 | Pure=97.458 | RoundTime=51.77s | TotalTime=2260.43s | Method=feddenoise
[Round 048/100] Acc=75.990 | Pure=97.836 | RoundTime=52.18s | TotalTime=2312.61s | Method=feddenoise
[Round 049/100] Acc=76.200 | Pure=98.010 | RoundTime=50.54s | TotalTime=2363.15s | Method=feddenoise
[Round 050/100] Acc=76.630 | Pure=97.978 | RoundTime=51.89s | TotalTime=2415.04s | Method=feddenoise
[Round 051/100] Acc=76.490 | Pure=97.788 | RoundTime=51.05s | TotalTime=2466.08s | Method=feddenoise
[Round 052/100] Acc=76.790 | Pure=98.046 | RoundTime=52.20s | TotalTime=2518.29s | Method=feddenoise
[Round 053/100] Acc=76.850 | Pure=97.848 | RoundTime=51.68s | TotalTime=2569.97s | Method=feddenoise
[Round 054/100] Acc=77.450 | Pure=99.280 | RoundTime=51.34s | TotalTime=2621.31s | Method=feddenoise
[Round 055/100] Acc=77.180 | Pure=98.424 | RoundTime=52.39s | TotalTime=2673.70s | Method=feddenoise
[Round 056/100] Acc=77.100 | Pure=96.762 | RoundTime=51.06s | TotalTime=2724.76s | Method=feddenoise
[Round 057/100] Acc=77.140 | Pure=98.155 | RoundTime=50.45s | TotalTime=2775.21s | Method=feddenoise
[Round 058/100] Acc=77.520 | Pure=98.518 | RoundTime=50.78s | TotalTime=2825.99s | Method=feddenoise
[Round 059/100] Acc=77.790 | Pure=98.404 | RoundTime=50.27s | TotalTime=2876.25s | Method=feddenoise
[Round 060/100] Acc=77.550 | Pure=98.165 | RoundTime=51.80s | TotalTime=2928.05s | Method=feddenoise
[Round 061/100] Acc=77.370 | Pure=97.008 | RoundTime=50.64s | TotalTime=2978.69s | Method=feddenoise
[Round 062/100] Acc=77.490 | Pure=97.963 | RoundTime=50.68s | TotalTime=3029.37s | Method=feddenoise
[Round 063/100] Acc=78.170 | Pure=98.912 | RoundTime=51.09s | TotalTime=3080.46s | Method=feddenoise
[Round 064/100] Acc=77.510 | Pure=97.107 | RoundTime=51.62s | TotalTime=3132.09s | Method=feddenoise
[Round 065/100] Acc=78.190 | Pure=99.447 | RoundTime=51.61s | TotalTime=3183.69s | Method=feddenoise
[Round 066/100] Acc=77.700 | Pure=97.713 | RoundTime=49.97s | TotalTime=3233.66s | Method=feddenoise
[Round 067/100] Acc=78.360 | Pure=98.790 | RoundTime=51.18s | TotalTime=3284.85s | Method=feddenoise
[Round 068/100] Acc=78.260 | Pure=98.103 | RoundTime=51.22s | TotalTime=3336.07s | Method=feddenoise
[Round 069/100] Acc=78.150 | Pure=98.022 | RoundTime=51.85s | TotalTime=3387.93s | Method=feddenoise
[Round 070/100] Acc=78.060 | Pure=98.001 | RoundTime=51.25s | TotalTime=3439.18s | Method=feddenoise
[Round 071/100] Acc=77.840 | Pure=97.778 | RoundTime=51.29s | TotalTime=3490.46s | Method=feddenoise
[Round 072/100] Acc=78.500 | Pure=98.045 | RoundTime=50.98s | TotalTime=3541.44s | Method=feddenoise
[Round 073/100] Acc=78.220 | Pure=98.352 | RoundTime=51.75s | TotalTime=3593.19s | Method=feddenoise
[Round 074/100] Acc=78.150 | Pure=97.409 | RoundTime=51.60s | TotalTime=3644.79s | Method=feddenoise
[Round 075/100] Acc=78.330 | Pure=97.146 | RoundTime=50.42s | TotalTime=3695.21s | Method=feddenoise
[Round 076/100] Acc=78.470 | Pure=97.680 | RoundTime=50.87s | TotalTime=3746.08s | Method=feddenoise
[Round 077/100] Acc=78.820 | Pure=98.491 | RoundTime=51.29s | TotalTime=3797.37s | Method=feddenoise
[Round 078/100] Acc=78.760 | Pure=97.945 | RoundTime=50.33s | TotalTime=3847.70s | Method=feddenoise
[Round 079/100] Acc=78.280 | Pure=97.600 | RoundTime=50.80s | TotalTime=3898.50s | Method=feddenoise
[Round 080/100] Acc=78.270 | Pure=97.016 | RoundTime=50.89s | TotalTime=3949.40s | Method=feddenoise
[Round 081/100] Acc=77.800 | Pure=96.322 | RoundTime=51.16s | TotalTime=4000.56s | Method=feddenoise
[Round 082/100] Acc=78.740 | Pure=99.070 | RoundTime=52.98s | TotalTime=4053.54s | Method=feddenoise
[Round 083/100] Acc=78.760 | Pure=97.991 | RoundTime=52.46s | TotalTime=4105.99s | Method=feddenoise
[Round 084/100] Acc=78.810 | Pure=98.818 | RoundTime=53.18s | TotalTime=4159.17s | Method=feddenoise
[Round 085/100] Acc=78.950 | Pure=97.435 | RoundTime=51.77s | TotalTime=4210.94s | Method=feddenoise
[Round 086/100] Acc=79.060 | Pure=98.593 | RoundTime=51.36s | TotalTime=4262.30s | Method=feddenoise
[Round 087/100] Acc=78.730 | Pure=96.922 | RoundTime=50.87s | TotalTime=4313.18s | Method=feddenoise
[Round 088/100] Acc=79.090 | Pure=98.675 | RoundTime=51.54s | TotalTime=4364.72s | Method=feddenoise
[Round 089/100] Acc=78.800 | Pure=98.701 | RoundTime=50.48s | TotalTime=4415.20s | Method=feddenoise
[Round 090/100] Acc=79.110 | Pure=98.367 | RoundTime=51.81s | TotalTime=4467.01s | Method=feddenoise
[Round 091/100] Acc=79.010 | Pure=97.257 | RoundTime=52.21s | TotalTime=4519.22s | Method=feddenoise
[Round 092/100] Acc=79.250 | Pure=98.550 | RoundTime=50.85s | TotalTime=4570.07s | Method=feddenoise
[Round 093/100] Acc=79.340 | Pure=99.176 | RoundTime=50.35s | TotalTime=4620.42s | Method=feddenoise
[Round 094/100] Acc=79.180 | Pure=98.013 | RoundTime=50.54s | TotalTime=4670.97s | Method=feddenoise
[Round 095/100] Acc=78.950 | Pure=98.130 | RoundTime=51.27s | TotalTime=4722.24s | Method=feddenoise
[Round 096/100] Acc=79.360 | Pure=98.156 | RoundTime=51.84s | TotalTime=4774.08s | Method=feddenoise
[Round 097/100] Acc=79.440 | Pure=98.419 | RoundTime=50.99s | TotalTime=4825.07s | Method=feddenoise
[Round 098/100] Acc=78.930 | Pure=97.324 | RoundTime=50.59s | TotalTime=4875.66s | Method=feddenoise
[Round 099/100] Acc=79.370 | Pure=97.734 | RoundTime=50.99s | TotalTime=4926.65s | Method=feddenoise
[Round 100/100] Acc=79.440 | Pure=98.149 | RoundTime=48.89s | TotalTime=4975.53s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-09 06:39:17
Total elapsed time: 4975.53s
Final Acc: 79.440
Best Acc : 79.440
Final Pure: 98.149
Best Pure : 99.447
====================================================================================================
