epoch	acc	pure	round_time_sec	total_time_sec
0	10.12	86.32	35.3339	35.3342
1	37.9	83.268	35.2891	70.6237
2	49.8	85.699	35.3265	105.9505
3	54.76	86.98	34.0955	140.0463
4	57.37	88.325	34.6072	174.6539
5	60.1	88.275	34.2983	208.9526
6	61.57	85.299	34.9081	243.8612
7	61.97	84.963	34.6715	278.5330
8	64.46	86.55	34.8273	313.3608
9	65.04	84.288	34.5102	347.8713
10	66.02	95.977	51.3164	399.1880
11	65.29	94.845	51.1333	450.3217
12	66.72	95.475	50.8603	501.1823
13	66.63	94.378	51.2084	552.3912
14	67.41	94.079	50.6978	603.0893
15	68.41	96.839	52.3086	655.3983
16	68.51	96.2	50.9011	706.2997
17	69.75	97.035	51.7006	758.0007
18	68.99	94.905	51.0384	809.0394
19	70.22	95.939	50.8991	859.9388
20	70.46	95.591	51.6935	911.6327
21	71.31	95.591	51.9240	963.5571
22	71.34	97.836	52.0156	1015.5730
23	72.4	96.501	52.1188	1067.6922
24	72.57	97.45	53.1837	1120.8762
25	72.51	97.398	51.1165	1171.9930
26	72.72	97.321	51.6400	1223.6334
27	72.99	98.315	51.7269	1275.3606
28	73.24	97.135	50.9130	1326.2739
29	73.3	97.334	52.6182	1378.8924
30	73.89	96.727	50.7430	1429.6359
31	73.87	97.767	51.0328	1480.6690
32	74.12	98.306	52.4395	1533.1088
33	74.64	98.826	52.7632	1585.8722
34	74.78	96.885	52.8494	1638.7220
35	75.0	98.796	52.0241	1690.7463
36	75.01	96.854	51.3676	1742.1143
37	75.26	98.9	52.1843	1794.2989
38	75.29	98.091	51.9378	1846.2369
39	75.0	97.706	52.0854	1898.3226
40	75.35	97.444	51.1635	1949.4865
41	75.09	97.361	52.6362	2002.1231
42	75.57	97.614	51.3931	2053.5166
43	76.21	98.895	51.9411	2105.4581
44	75.79	96.855	51.9210	2157.3794
45	75.71	97.681	51.2857	2208.6654
46	76.43	97.458	51.7690	2260.4348
47	75.99	97.836	52.1760	2312.6111
48	76.2	98.01	50.5379	2363.1492
49	76.63	97.978	51.8853	2415.0350
50	76.49	97.788	51.0480	2466.0833
51	76.79	98.046	52.2029	2518.2865
52	76.85	97.848	51.6798	2569.9667
53	77.45	99.28	51.3437	2621.3108
54	77.18	98.424	52.3867	2673.6977
55	77.1	96.762	51.0574	2724.7554
56	77.14	98.155	50.4519	2775.2076
57	77.52	98.518	50.7785	2825.9864
58	77.79	98.404	50.2667	2876.2534
59	77.55	98.165	51.7964	2928.0502
60	77.37	97.008	50.6392	2978.6898
61	77.49	97.963	50.6828	3029.3728
62	78.17	98.912	51.0909	3080.4640
63	77.51	97.107	51.6230	3132.0874
64	78.19	99.447	51.6053	3183.6930
65	77.7	97.713	49.9713	3233.6646
66	78.36	98.79	51.1844	3284.8493
67	78.26	98.103	51.2246	3336.0742
68	78.15	98.022	51.8524	3387.9268
69	78.06	98.001	51.2482	3439.1755
70	77.84	97.778	51.2891	3490.4648
71	78.5	98.045	50.9755	3541.4407
72	78.22	98.352	51.7457	3593.1868
73	78.15	97.409	51.6044	3644.7914
74	78.33	97.146	50.4211	3695.2128
75	78.47	97.68	50.8684	3746.0815
76	78.82	98.491	51.2920	3797.3738
77	78.76	97.945	50.3289	3847.7030
78	78.28	97.6	50.8005	3898.5038
79	78.27	97.016	50.8914	3949.3954
80	77.8	96.322	51.1608	4000.5566
81	78.74	99.07	52.9798	4053.5372
82	78.76	97.991	52.4555	4105.9930
83	78.81	98.818	53.1796	4159.1728
84	78.95	97.435	51.7698	4210.9429
85	79.06	98.593	51.3614	4262.3046
86	78.73	96.922	50.8741	4313.1790
87	79.09	98.675	51.5395	4364.7189
88	78.8	98.701	50.4768	4415.1960
89	79.11	98.367	51.8099	4467.0062
90	79.01	97.257	52.2103	4519.2169
91	79.25	98.55	50.8536	4570.0708
92	79.34	99.176	50.3538	4620.4248
93	79.18	98.013	50.5420	4670.9672
94	78.95	98.13	51.2737	4722.2413
95	79.36	98.156	51.8353	4774.0769
96	79.44	98.419	50.9924	4825.0695
97	78.93	97.324	50.5892	4875.6590
98	79.37	97.734	50.9874	4926.6468
99	79.44	98.149	48.8871	4975.5342
