epoch	acc	pure	round_time_sec	total_time_sec
0	11.46	88.551	35.2544	35.2546
1	32.52	85.069	35.3686	70.6236
2	51.68	80.632	35.6320	106.2559
3	54.48	86.456	33.7856	140.0420
4	56.33	78.775	35.7899	175.8322
5	59.63	83.139	34.6913	210.5240
6	61.47	85.854	36.0292	246.5535
7	62.28	84.866	34.3373	280.8911
8	62.97	82.533	34.9808	315.8722
9	64.51	87.071	36.1743	352.0468
10	64.22	94.116	51.8347	403.8819
11	65.68	95.736	51.9105	455.7927
12	66.33	94.321	51.0836	506.8765
13	67.11	96.901	51.2909	558.1678
14	67.72	94.527	51.1112	609.2793
15	68.24	96.186	52.2755	661.5551
16	69.04	95.641	51.6516	713.2070
17	69.5	96.952	52.8906	766.0981
18	70.12	98.279	51.4243	817.5229
19	70.53	96.283	51.1479	868.6711
20	70.51	97.677	51.1803	919.8517
21	71.47	95.115	51.9930	971.8450
22	72.13	97.698	51.5127	1023.3581
23	72.3	96.901	53.2421	1076.6006
24	72.56	96.355	52.8440	1129.4449
25	72.34	96.982	51.1394	1180.5848
26	72.67	96.279	53.0878	1233.6729
27	73.06	98.022	51.7144	1285.3876
28	73.27	97.675	51.4260	1336.8138
29	73.44	96.944	52.5293	1389.3435
30	73.98	97.749	51.8533	1441.1971
31	74.2	97.833	51.4677	1492.6653
32	73.76	96.381	52.4637	1545.1293
33	74.04	96.32	53.3082	1598.4380
34	74.52	97.336	52.4464	1650.8847
35	73.81	96.155	53.6618	1704.5468
36	74.33	96.214	52.2093	1756.7565
37	74.64	97.669	53.9259	1810.6828
38	74.5	96.625	51.6906	1862.3737
39	74.91	96.555	52.4067	1914.7807
40	74.83	97.379	50.7051	1965.4862
41	75.61	96.858	51.8929	2017.3794
42	75.39	98.116	50.9854	2068.3652
43	75.82	97.165	52.9859	2121.3513
44	75.64	98.152	51.4749	2172.8265
45	75.43	98.629	51.2595	2224.0863
46	75.67	97.511	52.6200	2276.7066
47	76.2	99.122	51.0220	2327.7288
48	76.48	97.355	50.7675	2378.4967
49	76.13	97.622	51.7921	2430.2891
50	76.23	97.462	51.4817	2481.7711
51	76.05	97.677	53.9675	2535.7390
52	76.35	98.158	50.3598	2586.0992
53	76.56	97.607	52.6994	2638.7989
54	76.82	98.447	51.9897	2690.7890
55	76.67	99.489	50.7071	2741.4964
56	76.81	97.847	50.7464	2792.2430
57	77.13	98.874	50.9181	2843.1615
58	76.96	97.828	51.6806	2894.8424
59	77.02	98.23	51.4150	2946.2577
60	77.7	98.417	50.8299	2997.0879
61	77.77	97.806	50.6642	3047.7523
62	77.75	97.603	51.9385	3099.6912
63	77.73	97.73	52.1042	3151.7957
64	77.41	98.442	51.4774	3203.2733
65	76.88	97.179	51.1221	3254.3957
66	77.36	98.436	50.8377	3305.2337
67	77.5	97.01	53.3954	3358.6295
68	77.55	99.093	51.4181	3410.0479
69	77.88	99.108	50.5648	3460.6130
70	77.46	97.44	52.1933	3512.8066
71	77.41	97.572	50.6149	3563.4217
72	77.79	97.715	52.5109	3615.9329
73	77.67	97.99	51.0024	3666.9356
74	77.83	97.468	50.6702	3717.6061
75	78.21	98.333	50.6460	3768.2524
76	78.02	98.199	51.3234	3819.5762
77	78.47	98.179	50.8664	3870.4429
78	78.69	98.715	50.6443	3921.0874
79	78.38	97.928	50.9447	3972.0324
80	78.36	99.07	53.3810	4025.4137
81	78.16	97.124	50.8564	4076.2704
82	78.52	97.195	52.9199	4129.1906
83	78.8	98.324	53.6125	4182.8034
84	78.87	97.929	51.8283	4234.6320
85	78.53	97.326	51.0528	4285.6851
86	78.65	98.319	52.4397	4338.1251
87	78.45	97.265	51.0275	4389.1529
88	78.18	98.021	51.8314	4440.9846
89	78.37	98.138	51.1558	4492.1407
90	78.36	97.911	51.7672	4543.9083
91	78.33	97.524	50.6327	4594.5413
92	78.48	98.035	50.5644	4645.1060
93	78.31	97.474	51.4874	4696.5936
94	78.21	97.303	51.3402	4747.9341
95	78.07	97.41	51.4433	4799.3778
96	78.71	98.313	51.2975	4850.6755
97	78.7	97.689	51.4787	4902.1546
98	78.47	98.037	51.1349	4953.2898
99	79.02	98.871	41.2883	4994.5784
