====================================================================================================
Training started at: 2026-03-15 05:39:14
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-053914.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-053914.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.040 | Pure=70.020 | RoundTime=37.05s | TotalTime=37.05s | Method=feddenoise
[Round 002/100] Acc=10.460 | Pure=70.005 | RoundTime=34.91s | TotalTime=71.96s | Method=feddenoise
[Round 003/100] Acc=21.320 | Pure=69.988 | RoundTime=35.61s | TotalTime=107.58s | Method=feddenoise
[Round 004/100] Acc=25.940 | Pure=69.996 | RoundTime=35.16s | TotalTime=142.74s | Method=feddenoise
[Round 005/100] Acc=29.420 | Pure=69.982 | RoundTime=35.34s | TotalTime=178.08s | Method=feddenoise
[Round 006/100] Acc=29.090 | Pure=69.977 | RoundTime=36.70s | TotalTime=214.78s | Method=feddenoise
[Round 007/100] Acc=24.140 | Pure=70.015 | RoundTime=34.88s | TotalTime=249.65s | Method=feddenoise
[Round 008/100] Acc=33.110 | Pure=70.006 | RoundTime=34.73s | TotalTime=284.39s | Method=feddenoise
[Round 009/100] Acc=32.180 | Pure=69.978 | RoundTime=35.11s | TotalTime=319.49s | Method=feddenoise
[Round 010/100] Acc=23.950 | Pure=70.000 | RoundTime=35.84s | TotalTime=355.34s | Method=feddenoise
[Round 011/100] Acc=37.750 | Pure=70.466 | RoundTime=53.03s | TotalTime=408.37s | Method=feddenoise
[Round 012/100] Acc=25.880 | Pure=71.120 | RoundTime=49.66s | TotalTime=458.03s | Method=feddenoise
[Round 013/100] Acc=27.830 | Pure=70.631 | RoundTime=52.91s | TotalTime=510.94s | Method=feddenoise
[Round 014/100] Acc=28.830 | Pure=71.458 | RoundTime=52.49s | TotalTime=563.43s | Method=feddenoise
[Round 015/100] Acc=32.820 | Pure=70.069 | RoundTime=53.11s | TotalTime=616.53s | Method=feddenoise
[Round 016/100] Acc=25.710 | Pure=70.762 | RoundTime=52.10s | TotalTime=668.63s | Method=feddenoise
[Round 017/100] Acc=34.450 | Pure=70.645 | RoundTime=51.38s | TotalTime=720.01s | Method=feddenoise
[Round 018/100] Acc=21.140 | Pure=70.500 | RoundTime=52.20s | TotalTime=772.21s | Method=feddenoise
[Round 019/100] Acc=30.830 | Pure=70.727 | RoundTime=52.87s | TotalTime=825.09s | Method=feddenoise
[Round 020/100] Acc=35.110 | Pure=71.344 | RoundTime=52.76s | TotalTime=877.85s | Method=feddenoise
[Round 021/100] Acc=34.900 | Pure=70.329 | RoundTime=52.12s | TotalTime=929.97s | Method=feddenoise
[Round 022/100] Acc=31.650 | Pure=69.576 | RoundTime=51.35s | TotalTime=981.31s | Method=feddenoise
[Round 023/100] Acc=31.690 | Pure=73.810 | RoundTime=53.15s | TotalTime=1034.47s | Method=feddenoise
[Round 024/100] Acc=38.550 | Pure=71.681 | RoundTime=51.64s | TotalTime=1086.11s | Method=feddenoise
[Round 025/100] Acc=34.020 | Pure=73.092 | RoundTime=52.04s | TotalTime=1138.15s | Method=feddenoise
[Round 026/100] Acc=32.090 | Pure=70.172 | RoundTime=52.48s | TotalTime=1190.63s | Method=feddenoise
[Round 027/100] Acc=31.780 | Pure=70.891 | RoundTime=51.51s | TotalTime=1242.14s | Method=feddenoise
[Round 028/100] Acc=28.650 | Pure=72.047 | RoundTime=51.60s | TotalTime=1293.74s | Method=feddenoise
[Round 029/100] Acc=34.820 | Pure=71.208 | RoundTime=52.57s | TotalTime=1346.31s | Method=feddenoise
[Round 030/100] Acc=35.010 | Pure=70.063 | RoundTime=51.74s | TotalTime=1398.05s | Method=feddenoise
[Round 031/100] Acc=35.250 | Pure=73.117 | RoundTime=51.58s | TotalTime=1449.63s | Method=feddenoise
[Round 032/100] Acc=35.730 | Pure=72.314 | RoundTime=51.91s | TotalTime=1501.54s | Method=feddenoise
[Round 033/100] Acc=31.750 | Pure=70.634 | RoundTime=52.61s | TotalTime=1554.15s | Method=feddenoise
[Round 034/100] Acc=33.580 | Pure=71.883 | RoundTime=51.49s | TotalTime=1605.64s | Method=feddenoise
[Round 035/100] Acc=30.470 | Pure=72.979 | RoundTime=51.25s | TotalTime=1656.89s | Method=feddenoise
[Round 036/100] Acc=28.980 | Pure=70.298 | RoundTime=51.23s | TotalTime=1708.12s | Method=feddenoise
[Round 037/100] Acc=31.890 | Pure=72.884 | RoundTime=51.11s | TotalTime=1759.23s | Method=feddenoise
[Round 038/100] Acc=35.380 | Pure=71.363 | RoundTime=51.11s | TotalTime=1810.34s | Method=feddenoise
[Round 039/100] Acc=33.210 | Pure=71.409 | RoundTime=51.18s | TotalTime=1861.51s | Method=feddenoise
[Round 040/100] Acc=30.640 | Pure=72.872 | RoundTime=51.57s | TotalTime=1913.08s | Method=feddenoise
[Round 041/100] Acc=30.330 | Pure=71.412 | RoundTime=52.38s | TotalTime=1965.46s | Method=feddenoise
[Round 042/100] Acc=36.150 | Pure=72.330 | RoundTime=51.39s | TotalTime=2016.85s | Method=feddenoise
[Round 043/100] Acc=28.810 | Pure=71.674 | RoundTime=52.53s | TotalTime=2069.38s | Method=feddenoise
[Round 044/100] Acc=33.760 | Pure=71.227 | RoundTime=51.22s | TotalTime=2120.60s | Method=feddenoise
[Round 045/100] Acc=32.660 | Pure=71.659 | RoundTime=51.66s | TotalTime=2172.26s | Method=feddenoise
[Round 046/100] Acc=31.460 | Pure=71.374 | RoundTime=51.79s | TotalTime=2224.05s | Method=feddenoise
[Round 047/100] Acc=34.720 | Pure=71.506 | RoundTime=51.27s | TotalTime=2275.32s | Method=feddenoise
[Round 048/100] Acc=31.010 | Pure=71.426 | RoundTime=53.10s | TotalTime=2328.42s | Method=feddenoise
[Round 049/100] Acc=25.510 | Pure=72.255 | RoundTime=50.82s | TotalTime=2379.24s | Method=feddenoise
[Round 050/100] Acc=36.290 | Pure=72.219 | RoundTime=51.72s | TotalTime=2430.96s | Method=feddenoise
[Round 051/100] Acc=31.320 | Pure=71.174 | RoundTime=52.57s | TotalTime=2483.53s | Method=feddenoise
[Round 052/100] Acc=30.790 | Pure=70.133 | RoundTime=51.92s | TotalTime=2535.45s | Method=feddenoise
[Round 053/100] Acc=33.030 | Pure=72.007 | RoundTime=52.03s | TotalTime=2587.49s | Method=feddenoise
[Round 054/100] Acc=29.010 | Pure=69.674 | RoundTime=51.52s | TotalTime=2639.01s | Method=feddenoise
[Round 055/100] Acc=34.240 | Pure=71.900 | RoundTime=52.04s | TotalTime=2691.05s | Method=feddenoise
[Round 056/100] Acc=33.990 | Pure=70.933 | RoundTime=53.07s | TotalTime=2744.11s | Method=feddenoise
[Round 057/100] Acc=32.210 | Pure=70.666 | RoundTime=50.95s | TotalTime=2795.06s | Method=feddenoise
[Round 058/100] Acc=29.360 | Pure=71.507 | RoundTime=52.42s | TotalTime=2847.48s | Method=feddenoise
[Round 059/100] Acc=31.020 | Pure=70.287 | RoundTime=52.16s | TotalTime=2899.64s | Method=feddenoise
[Round 060/100] Acc=35.530 | Pure=71.065 | RoundTime=51.29s | TotalTime=2950.93s | Method=feddenoise
[Round 061/100] Acc=33.630 | Pure=71.723 | RoundTime=52.47s | TotalTime=3003.40s | Method=feddenoise
[Round 062/100] Acc=27.900 | Pure=70.491 | RoundTime=51.84s | TotalTime=3055.23s | Method=feddenoise
