epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	70.021	29.2409	29.2411
1	11.58	70.042	30.5982	59.8396
2	23.74	70.058	31.6397	91.4795
3	31.79	70.106	31.6768	123.1565
4	25.83	69.989	28.2688	151.4255
5	42.26	69.947	30.9823	182.4081
6	39.96	69.878	28.4332	210.8416
7	38.96	70.206	28.1127	238.9545
8	31.52	69.963	28.0977	267.0524
9	42.58	70.249	30.1452	297.1978
10	30.84	83.267	38.9120	336.1100
11	30.74	83.503	37.3571	373.4673
12	43.84	73.895	37.2598	410.7273
13	35.44	80.508	37.1191	447.8466
14	39.66	77.865	36.6652	484.5120
15	36.18	78.621	34.2693	518.7816
16	43.14	77.596	35.7658	554.5476
17	41.07	79.22	36.2708	590.8187
18	39.1	79.608	38.9521	629.7710
19	44.37	80.277	36.3197	666.0909
20	42.97	82.434	35.2430	701.3342
21	47.06	81.202	36.7828	738.1173
22	45.57	80.718	35.9912	774.1087
23	48.51	79.306	35.4186	809.5275
24	49.1	81.123	37.3532	846.8809
25	47.89	79.879	35.4252	882.3063
26	49.15	82.898	36.7982	919.1047
27	49.8	78.395	35.9928	955.0977
28	49.25	82.155	37.0836	992.1814
29	43.53	82.214	34.8375	1027.0191
30	46.84	81.936	34.9737	1061.9931
31	43.81	83.301	35.0754	1097.0687
32	48.76	83.589	37.1134	1134.1823
33	50.8	82.907	34.0031	1168.1856
34	48.94	80.353	37.1694	1205.3552
35	48.44	83.979	34.9601	1240.3155
36	45.16	84.282	37.2756	1277.5914
37	49.37	82.644	36.6130	1314.2046
38	48.85	84.263	35.3040	1349.5088
39	46.93	86.769	38.1036	1387.6126
40	52.23	82.214	38.5911	1426.2040
41	53.7	81.679	38.5973	1464.8016
42	51.13	82.833	35.1040	1499.9058
43	50.63	84.599	38.6096	1538.5156
44	52.39	82.108	36.8768	1575.3927
45	54.57	82.039	36.8825	1612.2753
46	53.49	84.01	35.4908	1647.7663
47	56.58	83.251	35.2346	1683.0012
48	49.57	86.068	34.4544	1717.4559
49	55.53	83.81	35.3468	1752.8029
50	58.91	87.448	35.3954	1788.1987
51	56.65	88.23	34.6519	1822.8508
52	59.7	86.87	40.3629	1863.2138
53	55.66	86.718	41.3424	1904.5565
54	59.31	86.73	37.8431	1942.3999
55	59.98	87.177	36.6549	1979.0550
56	53.35	88.633	35.7221	2014.7774
57	57.98	87.672	35.4334	2050.2110
58	58.56	84.338	36.8309	2087.0422
59	61.02	86.86	35.8053	2122.8477
60	57.53	90.071	34.0494	2156.8973
61	61.97	89.61	35.2054	2192.1029
62	61.06	89.817	33.6821	2225.7853
63	61.9	89.216	39.6096	2265.3951
64	60.79	89.073	35.9977	2301.3931
65	61.8	89.754	32.9021	2334.2955
66	61.41	90.128	32.8097	2367.1054
67	61.35	88.919	34.7816	2401.8872
68	59.83	90.116	35.4401	2437.3274
69	62.14	90.369	35.1688	2472.4965
70	60.46	88.516	36.3314	2508.8281
71	59.28	89.232	36.5051	2545.3335
72	63.84	87.622	35.6447	2580.9784
73	62.35	87.112	37.1767	2618.1554
74	59.11	87.955	34.3941	2652.5497
75	59.41	90.036	38.1029	2690.6528
76	61.54	88.186	36.5680	2727.2210
77	61.94	88.102	34.9934	2762.2145
78	62.19	88.684	35.6597	2797.8744
79	60.11	88.136	35.2013	2833.0760
80	58.64	88.543	34.7694	2867.8457
81	61.26	86.867	38.7779	2906.6237
82	58.61	88.009	35.7670	2942.3910
83	62.03	87.254	38.7148	2981.1060
84	60.48	89.529	36.4595	3017.5658
85	60.91	90.241	36.0673	3053.6334
86	61.93	86.539	35.8129	3089.4465
87	58.33	88.69	36.7783	3126.2250
88	59.82	87.911	36.2862	3162.5114
89	62.06	86.695	36.0152	3198.5268
90	61.13	88.743	34.8033	3233.3305
91	66.23	88.317	34.9974	3268.3282
92	63.59	90.606	34.4791	3302.8074
93	65.82	90.422	34.0470	3336.8546
94	64.9	90.545	35.4492	3372.3039
95	64.41	88.624	37.8572	3410.1613
96	63.51	88.736	36.1063	3446.2678
97	64.65	88.296	35.6758	3481.9438
98	63.07	88.897	35.6590	3517.6030
99	65.46	87.308	34.6162	3552.2195
