====================================================================================================
Training started at: 2026-03-15 00:22:22
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002222.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002222.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: most_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=9.980 | Pure=70.003 | RoundTime=37.07s | TotalTime=37.07s | Method=feddenoise
[Round 002/100] Acc=22.550 | Pure=70.007 | RoundTime=36.12s | TotalTime=73.18s | Method=feddenoise
[Round 003/100] Acc=31.900 | Pure=70.017 | RoundTime=35.39s | TotalTime=108.57s | Method=feddenoise
[Round 004/100] Acc=36.680 | Pure=69.995 | RoundTime=35.29s | TotalTime=143.86s | Method=feddenoise
[Round 005/100] Acc=39.790 | Pure=70.018 | RoundTime=35.83s | TotalTime=179.69s | Method=feddenoise
[Round 006/100] Acc=40.320 | Pure=70.014 | RoundTime=35.29s | TotalTime=214.98s | Method=feddenoise
[Round 007/100] Acc=41.640 | Pure=70.016 | RoundTime=35.88s | TotalTime=250.85s | Method=feddenoise
[Round 008/100] Acc=42.860 | Pure=70.002 | RoundTime=36.54s | TotalTime=287.39s | Method=feddenoise
[Round 009/100] Acc=44.510 | Pure=70.022 | RoundTime=35.53s | TotalTime=322.92s | Method=feddenoise
[Round 010/100] Acc=41.150 | Pure=69.988 | RoundTime=35.68s | TotalTime=358.60s | Method=feddenoise
[Round 011/100] Acc=45.890 | Pure=75.195 | RoundTime=50.75s | TotalTime=409.35s | Method=feddenoise
[Round 012/100] Acc=43.170 | Pure=74.235 | RoundTime=51.22s | TotalTime=460.57s | Method=feddenoise
[Round 013/100] Acc=48.150 | Pure=74.212 | RoundTime=51.92s | TotalTime=512.50s | Method=feddenoise
[Round 014/100] Acc=47.800 | Pure=74.311 | RoundTime=52.16s | TotalTime=564.65s | Method=feddenoise
[Round 015/100] Acc=43.220 | Pure=74.702 | RoundTime=52.00s | TotalTime=616.65s | Method=feddenoise
[Round 016/100] Acc=50.200 | Pure=74.606 | RoundTime=52.18s | TotalTime=668.83s | Method=feddenoise
[Round 017/100] Acc=45.920 | Pure=74.311 | RoundTime=52.12s | TotalTime=720.95s | Method=feddenoise
[Round 018/100] Acc=45.860 | Pure=74.634 | RoundTime=50.97s | TotalTime=771.93s | Method=feddenoise
[Round 019/100] Acc=48.260 | Pure=75.071 | RoundTime=52.29s | TotalTime=824.22s | Method=feddenoise
[Round 020/100] Acc=51.030 | Pure=74.591 | RoundTime=53.50s | TotalTime=877.72s | Method=feddenoise
[Round 021/100] Acc=49.380 | Pure=74.910 | RoundTime=53.06s | TotalTime=930.78s | Method=feddenoise
[Round 022/100] Acc=45.890 | Pure=76.733 | RoundTime=51.45s | TotalTime=982.23s | Method=feddenoise
[Round 023/100] Acc=50.050 | Pure=75.391 | RoundTime=51.23s | TotalTime=1033.46s | Method=feddenoise
[Round 024/100] Acc=51.020 | Pure=75.839 | RoundTime=50.04s | TotalTime=1083.50s | Method=feddenoise
[Round 025/100] Acc=51.600 | Pure=74.195 | RoundTime=52.03s | TotalTime=1135.53s | Method=feddenoise
[Round 026/100] Acc=49.310 | Pure=75.543 | RoundTime=51.76s | TotalTime=1187.29s | Method=feddenoise
[Round 027/100] Acc=52.760 | Pure=75.469 | RoundTime=51.55s | TotalTime=1238.84s | Method=feddenoise
[Round 028/100] Acc=50.120 | Pure=76.139 | RoundTime=51.40s | TotalTime=1290.24s | Method=feddenoise
[Round 029/100] Acc=51.450 | Pure=75.784 | RoundTime=51.49s | TotalTime=1341.73s | Method=feddenoise
[Round 030/100] Acc=53.570 | Pure=74.819 | RoundTime=51.67s | TotalTime=1393.40s | Method=feddenoise
[Round 031/100] Acc=53.780 | Pure=76.983 | RoundTime=52.39s | TotalTime=1445.79s | Method=feddenoise
[Round 032/100] Acc=53.450 | Pure=76.835 | RoundTime=51.39s | TotalTime=1497.19s | Method=feddenoise
[Round 033/100] Acc=52.020 | Pure=76.787 | RoundTime=50.73s | TotalTime=1547.92s | Method=feddenoise
[Round 034/100] Acc=50.250 | Pure=75.869 | RoundTime=52.16s | TotalTime=1600.08s | Method=feddenoise
[Round 035/100] Acc=54.090 | Pure=77.024 | RoundTime=50.82s | TotalTime=1650.90s | Method=feddenoise
[Round 036/100] Acc=51.930 | Pure=76.217 | RoundTime=53.15s | TotalTime=1704.05s | Method=feddenoise
[Round 037/100] Acc=52.070 | Pure=76.759 | RoundTime=52.43s | TotalTime=1756.48s | Method=feddenoise
[Round 038/100] Acc=53.600 | Pure=77.097 | RoundTime=52.45s | TotalTime=1808.93s | Method=feddenoise
[Round 039/100] Acc=55.880 | Pure=76.253 | RoundTime=52.19s | TotalTime=1861.12s | Method=feddenoise
[Round 040/100] Acc=54.400 | Pure=76.601 | RoundTime=51.77s | TotalTime=1912.89s | Method=feddenoise
[Round 041/100] Acc=51.070 | Pure=75.681 | RoundTime=51.47s | TotalTime=1964.35s | Method=feddenoise
[Round 042/100] Acc=51.340 | Pure=75.610 | RoundTime=54.24s | TotalTime=2018.60s | Method=feddenoise
[Round 043/100] Acc=53.210 | Pure=76.131 | RoundTime=52.23s | TotalTime=2070.83s | Method=feddenoise
[Round 044/100] Acc=52.150 | Pure=75.908 | RoundTime=53.04s | TotalTime=2123.87s | Method=feddenoise
[Round 045/100] Acc=54.620 | Pure=75.696 | RoundTime=53.85s | TotalTime=2177.73s | Method=feddenoise
[Round 046/100] Acc=52.880 | Pure=76.967 | RoundTime=51.95s | TotalTime=2229.68s | Method=feddenoise
[Round 047/100] Acc=53.520 | Pure=76.801 | RoundTime=52.57s | TotalTime=2282.25s | Method=feddenoise
[Round 048/100] Acc=53.870 | Pure=76.193 | RoundTime=52.47s | TotalTime=2334.72s | Method=feddenoise
