====================================================================================================
Training started at: 2026-03-15 04:53:16
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-045316.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-045316.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.710 | Pure=69.996 | RoundTime=36.64s | TotalTime=36.64s | Method=feddenoise
[Round 002/100] Acc=17.330 | Pure=70.003 | RoundTime=35.10s | TotalTime=71.74s | Method=feddenoise
[Round 003/100] Acc=33.920 | Pure=69.999 | RoundTime=35.39s | TotalTime=107.13s | Method=feddenoise
[Round 004/100] Acc=35.610 | Pure=69.975 | RoundTime=35.50s | TotalTime=142.63s | Method=feddenoise
[Round 005/100] Acc=37.030 | Pure=69.995 | RoundTime=36.17s | TotalTime=178.80s | Method=feddenoise
[Round 006/100] Acc=39.170 | Pure=69.991 | RoundTime=36.62s | TotalTime=215.42s | Method=feddenoise
[Round 007/100] Acc=41.050 | Pure=69.993 | RoundTime=35.30s | TotalTime=250.72s | Method=feddenoise
[Round 008/100] Acc=41.610 | Pure=69.988 | RoundTime=35.76s | TotalTime=286.48s | Method=feddenoise
[Round 009/100] Acc=42.780 | Pure=70.019 | RoundTime=35.32s | TotalTime=321.81s | Method=feddenoise
[Round 010/100] Acc=44.220 | Pure=69.996 | RoundTime=35.66s | TotalTime=357.47s | Method=feddenoise
[Round 011/100] Acc=44.080 | Pure=72.430 | RoundTime=46.44s | TotalTime=403.91s | Method=feddenoise
[Round 012/100] Acc=44.750 | Pure=73.347 | RoundTime=44.25s | TotalTime=448.16s | Method=feddenoise
[Round 013/100] Acc=49.100 | Pure=71.217 | RoundTime=44.99s | TotalTime=493.15s | Method=feddenoise
[Round 014/100] Acc=41.710 | Pure=73.891 | RoundTime=43.73s | TotalTime=536.88s | Method=feddenoise
[Round 015/100] Acc=48.710 | Pure=73.371 | RoundTime=43.83s | TotalTime=580.71s | Method=feddenoise
[Round 016/100] Acc=49.280 | Pure=73.469 | RoundTime=43.82s | TotalTime=624.53s | Method=feddenoise
[Round 017/100] Acc=40.310 | Pure=73.360 | RoundTime=43.39s | TotalTime=667.92s | Method=feddenoise
[Round 018/100] Acc=51.520 | Pure=73.229 | RoundTime=42.68s | TotalTime=710.60s | Method=feddenoise
[Round 019/100] Acc=52.380 | Pure=72.414 | RoundTime=44.25s | TotalTime=754.85s | Method=feddenoise
[Round 020/100] Acc=49.850 | Pure=72.983 | RoundTime=44.95s | TotalTime=799.79s | Method=feddenoise
[Round 021/100] Acc=53.640 | Pure=74.259 | RoundTime=43.46s | TotalTime=843.25s | Method=feddenoise
[Round 022/100] Acc=50.880 | Pure=75.020 | RoundTime=43.28s | TotalTime=886.53s | Method=feddenoise
[Round 023/100] Acc=49.540 | Pure=73.146 | RoundTime=44.00s | TotalTime=930.53s | Method=feddenoise
[Round 024/100] Acc=50.140 | Pure=73.756 | RoundTime=44.50s | TotalTime=975.03s | Method=feddenoise
[Round 025/100] Acc=50.280 | Pure=75.056 | RoundTime=43.97s | TotalTime=1019.00s | Method=feddenoise
[Round 026/100] Acc=49.600 | Pure=73.055 | RoundTime=44.06s | TotalTime=1063.06s | Method=feddenoise
[Round 027/100] Acc=50.730 | Pure=75.327 | RoundTime=44.53s | TotalTime=1107.59s | Method=feddenoise
[Round 028/100] Acc=50.110 | Pure=73.638 | RoundTime=43.48s | TotalTime=1151.06s | Method=feddenoise
[Round 029/100] Acc=49.140 | Pure=74.767 | RoundTime=43.83s | TotalTime=1194.89s | Method=feddenoise
[Round 030/100] Acc=53.820 | Pure=73.315 | RoundTime=43.86s | TotalTime=1238.75s | Method=feddenoise
[Round 031/100] Acc=49.510 | Pure=74.276 | RoundTime=43.58s | TotalTime=1282.33s | Method=feddenoise
[Round 032/100] Acc=50.930 | Pure=75.086 | RoundTime=44.65s | TotalTime=1326.98s | Method=feddenoise
[Round 033/100] Acc=51.050 | Pure=74.828 | RoundTime=44.07s | TotalTime=1371.05s | Method=feddenoise
[Round 034/100] Acc=53.510 | Pure=74.308 | RoundTime=44.61s | TotalTime=1415.66s | Method=feddenoise
[Round 035/100] Acc=46.430 | Pure=74.332 | RoundTime=44.48s | TotalTime=1460.14s | Method=feddenoise
