====================================================================================================
Training started at: 2026-03-22 03:10:55
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.15
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.15/feddenoise_fl_cifar10_20260322-031055-096898_pid370080.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.5_nm-uni_nr-0.3_nt-symmetric_st-global_dr-0.15/feddenoise_fl_cifar10_20260322-031055-096898_pid370080.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: global
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | Pure=70.020 | RoundTime=29.83s | TotalTime=29.83s | Method=feddenoise
[Round 002/100] Acc=16.920 | Pure=70.010 | RoundTime=29.27s | TotalTime=59.10s | Method=feddenoise
[Round 003/100] Acc=36.280 | Pure=70.009 | RoundTime=30.83s | TotalTime=89.93s | Method=feddenoise
[Round 004/100] Acc=35.030 | Pure=70.005 | RoundTime=31.07s | TotalTime=121.00s | Method=feddenoise
[Round 005/100] Acc=44.900 | Pure=70.005 | RoundTime=31.61s | TotalTime=152.62s | Method=feddenoise
[Round 006/100] Acc=39.460 | Pure=69.972 | RoundTime=35.27s | TotalTime=187.89s | Method=feddenoise
[Round 007/100] Acc=45.770 | Pure=70.002 | RoundTime=33.09s | TotalTime=220.98s | Method=feddenoise
[Round 008/100] Acc=48.550 | Pure=69.994 | RoundTime=30.34s | TotalTime=251.32s | Method=feddenoise
[Round 009/100] Acc=46.600 | Pure=70.010 | RoundTime=29.66s | TotalTime=280.98s | Method=feddenoise
[Round 010/100] Acc=49.240 | Pure=69.994 | RoundTime=30.49s | TotalTime=311.47s | Method=feddenoise
[Round 011/100] Acc=52.950 | Pure=78.151 | RoundTime=35.96s | TotalTime=347.43s | Method=feddenoise
[Round 012/100] Acc=54.260 | Pure=78.447 | RoundTime=36.60s | TotalTime=384.03s | Method=feddenoise
[Round 013/100] Acc=55.210 | Pure=78.940 | RoundTime=35.47s | TotalTime=419.50s | Method=feddenoise
[Round 014/100] Acc=55.690 | Pure=78.353 | RoundTime=37.65s | TotalTime=457.15s | Method=feddenoise
[Round 015/100] Acc=56.400 | Pure=78.846 | RoundTime=36.10s | TotalTime=493.25s | Method=feddenoise
[Round 016/100] Acc=55.730 | Pure=77.951 | RoundTime=36.84s | TotalTime=530.09s | Method=feddenoise
[Round 017/100] Acc=56.400 | Pure=78.748 | RoundTime=36.07s | TotalTime=566.16s | Method=feddenoise
[Round 018/100] Acc=57.230 | Pure=78.968 | RoundTime=35.93s | TotalTime=602.09s | Method=feddenoise
[Round 019/100] Acc=56.120 | Pure=79.006 | RoundTime=37.94s | TotalTime=640.04s | Method=feddenoise
[Round 020/100] Acc=58.170 | Pure=78.144 | RoundTime=35.27s | TotalTime=675.30s | Method=feddenoise
[Round 021/100] Acc=58.940 | Pure=79.479 | RoundTime=35.08s | TotalTime=710.39s | Method=feddenoise
[Round 022/100] Acc=55.310 | Pure=79.717 | RoundTime=37.30s | TotalTime=747.68s | Method=feddenoise
[Round 023/100] Acc=60.080 | Pure=79.260 | RoundTime=35.35s | TotalTime=783.03s | Method=feddenoise
[Round 024/100] Acc=55.590 | Pure=79.346 | RoundTime=35.14s | TotalTime=818.17s | Method=feddenoise
[Round 025/100] Acc=60.810 | Pure=79.380 | RoundTime=37.43s | TotalTime=855.60s | Method=feddenoise
[Round 026/100] Acc=59.600 | Pure=79.504 | RoundTime=35.99s | TotalTime=891.59s | Method=feddenoise
[Round 027/100] Acc=61.090 | Pure=79.426 | RoundTime=36.86s | TotalTime=928.46s | Method=feddenoise
[Round 028/100] Acc=60.360 | Pure=79.514 | RoundTime=35.41s | TotalTime=963.86s | Method=feddenoise
[Round 029/100] Acc=57.950 | Pure=79.634 | RoundTime=35.43s | TotalTime=999.30s | Method=feddenoise
[Round 030/100] Acc=61.150 | Pure=79.523 | RoundTime=35.81s | TotalTime=1035.11s | Method=feddenoise
[Round 031/100] Acc=59.520 | Pure=79.887 | RoundTime=36.27s | TotalTime=1071.37s | Method=feddenoise
[Round 032/100] Acc=57.720 | Pure=80.108 | RoundTime=37.36s | TotalTime=1108.73s | Method=feddenoise
[Round 033/100] Acc=62.030 | Pure=79.903 | RoundTime=35.67s | TotalTime=1144.40s | Method=feddenoise
[Round 034/100] Acc=63.650 | Pure=79.980 | RoundTime=36.53s | TotalTime=1180.94s | Method=feddenoise
[Round 035/100] Acc=56.930 | Pure=79.901 | RoundTime=36.06s | TotalTime=1217.00s | Method=feddenoise
[Round 036/100] Acc=59.650 | Pure=79.573 | RoundTime=36.04s | TotalTime=1253.04s | Method=feddenoise
[Round 037/100] Acc=61.910 | Pure=80.029 | RoundTime=37.18s | TotalTime=1290.22s | Method=feddenoise
[Round 038/100] Acc=63.910 | Pure=79.933 | RoundTime=35.93s | TotalTime=1326.15s | Method=feddenoise
[Round 039/100] Acc=64.480 | Pure=79.860 | RoundTime=36.03s | TotalTime=1362.18s | Method=feddenoise
[Round 040/100] Acc=60.940 | Pure=79.761 | RoundTime=35.38s | TotalTime=1397.56s | Method=feddenoise
[Round 041/100] Acc=63.750 | Pure=79.921 | RoundTime=36.40s | TotalTime=1433.96s | Method=feddenoise
[Round 042/100] Acc=62.510 | Pure=79.680 | RoundTime=35.56s | TotalTime=1469.52s | Method=feddenoise
[Round 043/100] Acc=63.640 | Pure=80.090 | RoundTime=37.82s | TotalTime=1507.34s | Method=feddenoise
[Round 044/100] Acc=60.720 | Pure=79.732 | RoundTime=34.84s | TotalTime=1542.18s | Method=feddenoise
[Round 045/100] Acc=60.770 | Pure=79.713 | RoundTime=35.86s | TotalTime=1578.04s | Method=feddenoise
[Round 046/100] Acc=63.750 | Pure=79.950 | RoundTime=37.78s | TotalTime=1615.82s | Method=feddenoise
[Round 047/100] Acc=64.980 | Pure=79.789 | RoundTime=36.94s | TotalTime=1652.76s | Method=feddenoise
[Round 048/100] Acc=66.390 | Pure=79.784 | RoundTime=35.70s | TotalTime=1688.46s | Method=feddenoise
[Round 049/100] Acc=65.760 | Pure=79.750 | RoundTime=35.84s | TotalTime=1724.30s | Method=feddenoise
[Round 050/100] Acc=62.920 | Pure=79.796 | RoundTime=35.99s | TotalTime=1760.29s | Method=feddenoise
[Round 051/100] Acc=58.770 | Pure=79.689 | RoundTime=36.45s | TotalTime=1796.74s | Method=feddenoise
[Round 052/100] Acc=62.900 | Pure=79.809 | RoundTime=36.61s | TotalTime=1833.34s | Method=feddenoise
[Round 053/100] Acc=61.600 | Pure=79.770 | RoundTime=36.10s | TotalTime=1869.45s | Method=feddenoise
[Round 054/100] Acc=61.490 | Pure=79.869 | RoundTime=38.30s | TotalTime=1907.75s | Method=feddenoise
[Round 055/100] Acc=61.780 | Pure=79.997 | RoundTime=35.12s | TotalTime=1942.87s | Method=feddenoise
[Round 056/100] Acc=64.180 | Pure=80.006 | RoundTime=37.57s | TotalTime=1980.44s | Method=feddenoise
[Round 057/100] Acc=65.780 | Pure=79.849 | RoundTime=35.74s | TotalTime=2016.18s | Method=feddenoise
[Round 058/100] Acc=62.110 | Pure=80.230 | RoundTime=36.53s | TotalTime=2052.70s | Method=feddenoise
[Round 059/100] Acc=62.760 | Pure=80.053 | RoundTime=37.17s | TotalTime=2089.88s | Method=feddenoise
[Round 060/100] Acc=64.360 | Pure=79.896 | RoundTime=35.37s | TotalTime=2125.25s | Method=feddenoise
[Round 061/100] Acc=63.510 | Pure=80.014 | RoundTime=36.82s | TotalTime=2162.06s | Method=feddenoise
[Round 062/100] Acc=64.170 | Pure=80.041 | RoundTime=34.99s | TotalTime=2197.05s | Method=feddenoise
[Round 063/100] Acc=63.790 | Pure=79.540 | RoundTime=37.31s | TotalTime=2234.36s | Method=feddenoise
[Round 064/100] Acc=65.350 | Pure=80.157 | RoundTime=37.55s | TotalTime=2271.91s | Method=feddenoise
[Round 065/100] Acc=66.970 | Pure=79.845 | RoundTime=36.62s | TotalTime=2308.53s | Method=feddenoise
[Round 066/100] Acc=65.800 | Pure=79.863 | RoundTime=35.68s | TotalTime=2344.20s | Method=feddenoise
[Round 067/100] Acc=66.420 | Pure=79.746 | RoundTime=37.40s | TotalTime=2381.60s | Method=feddenoise
[Round 068/100] Acc=64.170 | Pure=79.910 | RoundTime=36.15s | TotalTime=2417.76s | Method=feddenoise
[Round 069/100] Acc=63.600 | Pure=79.622 | RoundTime=37.51s | TotalTime=2455.26s | Method=feddenoise
[Round 070/100] Acc=65.070 | Pure=80.097 | RoundTime=35.88s | TotalTime=2491.14s | Method=feddenoise
[Round 071/100] Acc=60.690 | Pure=79.770 | RoundTime=35.80s | TotalTime=2526.94s | Method=feddenoise
[Round 072/100] Acc=64.960 | Pure=80.170 | RoundTime=38.38s | TotalTime=2565.32s | Method=feddenoise
[Round 073/100] Acc=65.380 | Pure=80.192 | RoundTime=36.03s | TotalTime=2601.34s | Method=feddenoise
[Round 074/100] Acc=63.980 | Pure=79.438 | RoundTime=36.62s | TotalTime=2637.96s | Method=feddenoise
[Round 075/100] Acc=65.350 | Pure=79.085 | RoundTime=36.37s | TotalTime=2674.33s | Method=feddenoise
[Round 076/100] Acc=65.920 | Pure=79.888 | RoundTime=38.80s | TotalTime=2713.13s | Method=feddenoise
[Round 077/100] Acc=63.130 | Pure=79.643 | RoundTime=36.75s | TotalTime=2749.88s | Method=feddenoise
[Round 078/100] Acc=66.790 | Pure=79.897 | RoundTime=36.55s | TotalTime=2786.43s | Method=feddenoise
[Round 079/100] Acc=63.300 | Pure=79.874 | RoundTime=36.44s | TotalTime=2822.88s | Method=feddenoise
[Round 080/100] Acc=67.650 | Pure=79.703 | RoundTime=37.32s | TotalTime=2860.19s | Method=feddenoise
[Round 081/100] Acc=66.660 | Pure=80.062 | RoundTime=36.56s | TotalTime=2896.76s | Method=feddenoise
[Round 082/100] Acc=68.070 | Pure=80.044 | RoundTime=36.58s | TotalTime=2933.33s | Method=feddenoise
[Round 083/100] Acc=64.500 | Pure=79.726 | RoundTime=38.53s | TotalTime=2971.86s | Method=feddenoise
[Round 084/100] Acc=67.770 | Pure=80.095 | RoundTime=38.00s | TotalTime=3009.86s | Method=feddenoise
[Round 085/100] Acc=66.490 | Pure=79.798 | RoundTime=37.75s | TotalTime=3047.61s | Method=feddenoise
[Round 086/100] Acc=67.430 | Pure=79.903 | RoundTime=36.42s | TotalTime=3084.03s | Method=feddenoise
[Round 087/100] Acc=66.570 | Pure=79.806 | RoundTime=36.70s | TotalTime=3120.73s | Method=feddenoise
[Round 088/100] Acc=67.490 | Pure=80.187 | RoundTime=36.71s | TotalTime=3157.44s | Method=feddenoise
[Round 089/100] Acc=67.590 | Pure=79.971 | RoundTime=37.68s | TotalTime=3195.12s | Method=feddenoise
[Round 090/100] Acc=66.580 | Pure=79.867 | RoundTime=37.70s | TotalTime=3232.82s | Method=feddenoise
[Round 091/100] Acc=62.760 | Pure=79.975 | RoundTime=36.24s | TotalTime=3269.06s | Method=feddenoise
[Round 092/100] Acc=67.800 | Pure=79.836 | RoundTime=36.23s | TotalTime=3305.30s | Method=feddenoise
[Round 093/100] Acc=67.970 | Pure=79.862 | RoundTime=37.90s | TotalTime=3343.19s | Method=feddenoise
[Round 094/100] Acc=66.620 | Pure=79.828 | RoundTime=36.49s | TotalTime=3379.68s | Method=feddenoise
[Round 095/100] Acc=66.180 | Pure=79.809 | RoundTime=36.55s | TotalTime=3416.24s | Method=feddenoise
[Round 096/100] Acc=59.570 | Pure=79.879 | RoundTime=37.36s | TotalTime=3453.60s | Method=feddenoise
[Round 097/100] Acc=67.480 | Pure=79.702 | RoundTime=36.66s | TotalTime=3490.26s | Method=feddenoise
[Round 098/100] Acc=66.230 | Pure=79.696 | RoundTime=36.75s | TotalTime=3527.00s | Method=feddenoise
[Round 099/100] Acc=66.470 | Pure=79.874 | RoundTime=35.72s | TotalTime=3562.73s | Method=feddenoise
[Round 100/100] Acc=67.120 | Pure=79.860 | RoundTime=36.68s | TotalTime=3599.40s | Method=feddenoise
====================================================================================================
Training finished at: 2026-03-22 04:10:54
Total elapsed time: 3599.40s
Final Acc: 67.120
Best Acc : 68.070
Final Pure: 79.860
Best Pure : 80.230
====================================================================================================
