epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	69.998	25.2151	25.2153
1	16.75	69.995	25.2547	50.4702
2	30.36	70.035	25.3950	75.8655
3	36.3	69.986	25.6687	101.5345
4	36.98	69.98	24.7050	126.2396
5	44.46	69.996	23.5947	149.8345
6	47.0	69.977	27.6367	177.4715
7	48.04	69.995	33.8338	211.3055
8	46.64	69.992	24.7289	236.0346
9	48.29	70.013	26.2048	262.2396
10	49.72	85.082	30.7829	293.0228
11	54.37	84.917	30.6488	323.6718
12	49.48	85.165	30.1554	353.8273
13	52.43	85.715	29.9491	383.7767
14	56.25	85.762	31.3069	415.0838
15	56.17	85.045	30.9387	446.0226
16	52.46	85.3	31.2302	477.2531
17	55.5	85.493	30.6437	507.8970
18	58.29	86.81	31.7188	539.6160
19	56.0	85.797	31.3193	570.9355
20	59.21	88.139	30.3980	601.3337
21	59.45	88.376	30.8957	632.2295
22	60.54	88.407	29.9773	662.2070
23	62.31	88.482	30.0684	692.2756
24	58.61	88.554	30.7735	723.0492
25	63.78	87.21	29.2212	752.2706
26	62.23	87.975	31.9613	784.2320
27	58.73	87.619	27.8274	812.0597
28	60.54	86.982	33.0218	845.0819
29	64.81	88.297	31.9668	877.0490
30	63.31	89.943	30.1758	907.2250
31	63.08	89.226	28.6633	935.8885
32	66.39	89.844	30.4285	966.3172
33	61.74	89.172	30.1097	996.4271
34	63.95	89.478	29.1714	1025.5987
35	65.92	89.688	32.0193	1057.6183
36	63.3	89.73	30.9209	1088.5393
37	64.68	89.199	31.8543	1120.3940
38	67.16	89.244	31.1430	1151.5372
39	67.24	89.989	32.1237	1183.6612
40	67.64	90.905	31.9082	1215.5696
41	68.34	91.115	30.8702	1246.4402
42	65.55	90.364	29.8370	1276.2774
43	66.22	91.324	30.6638	1306.9414
44	67.88	90.837	30.4093	1337.3509
45	66.43	89.708	31.8058	1369.1569
46	68.31	90.603	29.6790	1398.8361
47	68.37	90.375	29.3995	1428.2357
48	65.61	90.438	30.2750	1458.5109
49	68.52	90.633	29.9545	1488.4657
50	65.48	89.923	32.7991	1521.2650
51	67.39	90.934	30.5558	1551.8210
52	67.87	90.569	33.0643	1584.8854
53	69.48	90.572	31.9653	1616.8509
54	69.38	90.512	32.7687	1649.6198
55	68.42	90.457	29.7390	1679.3590
56	69.74	91.234	30.6108	1709.9700
57	69.93	90.217	30.1198	1740.0900
58	67.61	90.047	31.4027	1771.4929
59	69.1	91.545	29.7090	1801.2021
60	70.43	90.972	29.8199	1831.0222
61	68.98	91.644	31.3360	1862.3584
62	70.49	90.844	33.3733	1895.7319
63	70.8	91.114	31.0948	1926.8269
64	69.04	91.271	30.4343	1957.2614
65	69.42	91.479	31.3449	1988.6065
66	70.06	90.76	31.4352	2020.0419
67	71.5	91.253	31.9328	2051.9749
68	72.1	91.597	30.4238	2082.3989
69	70.42	91.347	30.6888	2113.0880
70	70.68	91.255	31.7724	2144.8605
71	71.03	90.866	29.3325	2174.1933
72	70.64	91.122	31.4417	2205.6352
73	71.97	90.698	30.9817	2236.6171
74	71.9	90.749	31.4537	2268.0711
75	70.61	90.65	29.5827	2297.6540
76	72.98	91.239	30.7519	2328.4062
77	72.98	90.894	32.1512	2360.5576
78	69.82	91.261	29.0276	2389.5854
79	70.48	91.536	31.6503	2421.2359
80	72.79	91.232	29.0297	2450.2658
81	71.26	91.527	32.0595	2482.3255
82	71.98	90.06	28.7314	2511.0571
83	71.29	90.685	32.7662	2543.8235
84	71.84	91.085	32.2370	2576.0607
85	67.92	91.443	31.9726	2608.0335
86	73.83	90.925	30.9876	2639.0212
87	72.88	91.085	30.2252	2669.2466
88	72.81	91.553	31.2648	2700.5116
89	70.77	92.306	31.0724	2731.5841
90	73.63	91.197	31.4991	2763.0834
91	70.08	91.577	30.5194	2793.6030
92	71.52	90.789	31.9875	2825.5907
93	72.87	90.806	32.7857	2858.3766
94	72.85	90.625	32.3128	2890.6896
95	72.3	91.487	29.3774	2920.0673
96	71.92	91.304	32.6461	2952.7136
97	71.64	91.635	28.9489	2981.6627
98	71.79	90.768	22.6021	3004.2651
99	71.62	91.576	22.6032	3026.8685
