====================================================================================================
Training started at: 2026-03-15 00:21:15
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002115.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002115.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | Pure=70.004 | RoundTime=36.98s | TotalTime=36.98s | Method=feddenoise
[Round 002/100] Acc=23.830 | Pure=70.011 | RoundTime=35.85s | TotalTime=72.83s | Method=feddenoise
[Round 003/100] Acc=31.850 | Pure=69.975 | RoundTime=35.36s | TotalTime=108.19s | Method=feddenoise
[Round 004/100] Acc=41.030 | Pure=69.992 | RoundTime=36.34s | TotalTime=144.53s | Method=feddenoise
[Round 005/100] Acc=41.290 | Pure=69.996 | RoundTime=36.15s | TotalTime=180.68s | Method=feddenoise
[Round 006/100] Acc=44.340 | Pure=70.000 | RoundTime=36.31s | TotalTime=216.99s | Method=feddenoise
[Round 007/100] Acc=47.390 | Pure=69.985 | RoundTime=35.78s | TotalTime=252.77s | Method=feddenoise
[Round 008/100] Acc=43.660 | Pure=69.982 | RoundTime=36.14s | TotalTime=288.91s | Method=feddenoise
[Round 009/100] Acc=46.750 | Pure=69.987 | RoundTime=35.86s | TotalTime=324.76s | Method=feddenoise
[Round 010/100] Acc=49.040 | Pure=69.971 | RoundTime=35.88s | TotalTime=360.64s | Method=feddenoise
[Round 011/100] Acc=44.260 | Pure=75.865 | RoundTime=51.77s | TotalTime=412.41s | Method=feddenoise
[Round 012/100] Acc=50.410 | Pure=76.043 | RoundTime=48.58s | TotalTime=460.99s | Method=feddenoise
