====================================================================================================
Training started at: 2026-03-15 00:22:28
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002228.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-002228.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.530 | Pure=69.981 | RoundTime=36.21s | TotalTime=36.21s | Method=feddenoise
[Round 002/100] Acc=25.440 | Pure=70.003 | RoundTime=34.17s | TotalTime=70.37s | Method=feddenoise
[Round 003/100] Acc=40.200 | Pure=69.989 | RoundTime=33.81s | TotalTime=104.19s | Method=feddenoise
[Round 004/100] Acc=35.590 | Pure=70.008 | RoundTime=35.85s | TotalTime=140.04s | Method=feddenoise
[Round 005/100] Acc=43.190 | Pure=69.987 | RoundTime=35.61s | TotalTime=175.65s | Method=feddenoise
[Round 006/100] Acc=47.000 | Pure=70.017 | RoundTime=35.33s | TotalTime=210.98s | Method=feddenoise
[Round 007/100] Acc=41.780 | Pure=69.987 | RoundTime=35.03s | TotalTime=246.01s | Method=feddenoise
[Round 008/100] Acc=48.910 | Pure=70.010 | RoundTime=35.63s | TotalTime=281.64s | Method=feddenoise
[Round 009/100] Acc=47.600 | Pure=70.029 | RoundTime=34.90s | TotalTime=316.54s | Method=feddenoise
[Round 010/100] Acc=49.530 | Pure=69.991 | RoundTime=35.15s | TotalTime=351.69s | Method=feddenoise
[Round 011/100] Acc=49.640 | Pure=76.373 | RoundTime=49.34s | TotalTime=401.03s | Method=feddenoise
[Round 012/100] Acc=48.950 | Pure=76.782 | RoundTime=49.63s | TotalTime=450.66s | Method=feddenoise
[Round 013/100] Acc=49.640 | Pure=76.023 | RoundTime=48.92s | TotalTime=499.58s | Method=feddenoise
[Round 014/100] Acc=50.730 | Pure=76.736 | RoundTime=51.26s | TotalTime=550.84s | Method=feddenoise
[Round 015/100] Acc=53.670 | Pure=75.789 | RoundTime=52.37s | TotalTime=603.21s | Method=feddenoise
[Round 016/100] Acc=51.470 | Pure=76.507 | RoundTime=51.08s | TotalTime=654.29s | Method=feddenoise
[Round 017/100] Acc=55.190 | Pure=75.881 | RoundTime=49.61s | TotalTime=703.90s | Method=feddenoise
[Round 018/100] Acc=54.120 | Pure=76.379 | RoundTime=51.71s | TotalTime=755.61s | Method=feddenoise
[Round 019/100] Acc=54.710 | Pure=76.815 | RoundTime=51.78s | TotalTime=807.39s | Method=feddenoise
[Round 020/100] Acc=52.470 | Pure=77.037 | RoundTime=50.02s | TotalTime=857.41s | Method=feddenoise
[Round 021/100] Acc=53.160 | Pure=76.603 | RoundTime=50.15s | TotalTime=907.56s | Method=feddenoise
[Round 022/100] Acc=54.560 | Pure=76.585 | RoundTime=50.33s | TotalTime=957.89s | Method=feddenoise
[Round 023/100] Acc=56.460 | Pure=76.605 | RoundTime=50.18s | TotalTime=1008.07s | Method=feddenoise
[Round 024/100] Acc=58.420 | Pure=76.817 | RoundTime=51.38s | TotalTime=1059.45s | Method=feddenoise
[Round 025/100] Acc=52.370 | Pure=76.405 | RoundTime=51.38s | TotalTime=1110.83s | Method=feddenoise
[Round 026/100] Acc=54.710 | Pure=76.901 | RoundTime=50.97s | TotalTime=1161.80s | Method=feddenoise
[Round 027/100] Acc=56.660 | Pure=77.298 | RoundTime=51.04s | TotalTime=1212.84s | Method=feddenoise
[Round 028/100] Acc=57.870 | Pure=77.144 | RoundTime=50.64s | TotalTime=1263.48s | Method=feddenoise
[Round 029/100] Acc=56.920 | Pure=76.696 | RoundTime=51.92s | TotalTime=1315.40s | Method=feddenoise
[Round 030/100] Acc=55.130 | Pure=76.530 | RoundTime=51.89s | TotalTime=1367.29s | Method=feddenoise
[Round 031/100] Acc=58.070 | Pure=76.555 | RoundTime=50.60s | TotalTime=1417.88s | Method=feddenoise
[Round 032/100] Acc=57.200 | Pure=76.089 | RoundTime=50.96s | TotalTime=1468.85s | Method=feddenoise
[Round 033/100] Acc=57.020 | Pure=76.944 | RoundTime=51.76s | TotalTime=1520.60s | Method=feddenoise
[Round 034/100] Acc=58.340 | Pure=76.457 | RoundTime=51.57s | TotalTime=1572.18s | Method=feddenoise
[Round 035/100] Acc=56.140 | Pure=76.351 | RoundTime=51.90s | TotalTime=1624.08s | Method=feddenoise
[Round 036/100] Acc=57.460 | Pure=76.568 | RoundTime=50.65s | TotalTime=1674.73s | Method=feddenoise
[Round 037/100] Acc=54.720 | Pure=76.791 | RoundTime=51.07s | TotalTime=1725.80s | Method=feddenoise
[Round 038/100] Acc=57.350 | Pure=76.799 | RoundTime=50.14s | TotalTime=1775.94s | Method=feddenoise
[Round 039/100] Acc=57.820 | Pure=77.024 | RoundTime=50.17s | TotalTime=1826.11s | Method=feddenoise
[Round 040/100] Acc=58.970 | Pure=76.699 | RoundTime=51.99s | TotalTime=1878.10s | Method=feddenoise
[Round 041/100] Acc=56.380 | Pure=76.770 | RoundTime=50.48s | TotalTime=1928.58s | Method=feddenoise
[Round 042/100] Acc=58.970 | Pure=76.699 | RoundTime=49.39s | TotalTime=1977.97s | Method=feddenoise
[Round 043/100] Acc=56.260 | Pure=76.387 | RoundTime=50.88s | TotalTime=2028.85s | Method=feddenoise
[Round 044/100] Acc=57.110 | Pure=76.818 | RoundTime=51.59s | TotalTime=2080.44s | Method=feddenoise
[Round 045/100] Acc=54.430 | Pure=76.866 | RoundTime=50.61s | TotalTime=2131.06s | Method=feddenoise
[Round 046/100] Acc=58.600 | Pure=76.027 | RoundTime=50.37s | TotalTime=2181.43s | Method=feddenoise
[Round 047/100] Acc=56.260 | Pure=76.512 | RoundTime=50.69s | TotalTime=2232.12s | Method=feddenoise
[Round 048/100] Acc=59.040 | Pure=76.539 | RoundTime=50.14s | TotalTime=2282.26s | Method=feddenoise
[Round 049/100] Acc=59.490 | Pure=76.385 | RoundTime=51.54s | TotalTime=2333.80s | Method=feddenoise
[Round 050/100] Acc=59.450 | Pure=76.042 | RoundTime=51.80s | TotalTime=2385.60s | Method=feddenoise
[Round 051/100] Acc=57.190 | Pure=77.657 | RoundTime=50.43s | TotalTime=2436.03s | Method=feddenoise
