====================================================================================================
Training started at: 2026-03-15 12:39:47
Result directory: results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-123947.txt
Result log file : results/fl_cifar10/feddenoise/pm-dir_a-0.8_nm-uni_nr-0.3/feddenoise_fl_cifar10_20260315-123947.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: asymmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.4
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.380 | Pure=70.014 | RoundTime=24.64s | TotalTime=24.64s | Method=feddenoise
[Round 002/100] Acc=21.960 | Pure=70.015 | RoundTime=23.99s | TotalTime=48.63s | Method=feddenoise
[Round 003/100] Acc=34.750 | Pure=70.009 | RoundTime=24.07s | TotalTime=72.70s | Method=feddenoise
[Round 004/100] Acc=35.070 | Pure=69.984 | RoundTime=24.36s | TotalTime=97.06s | Method=feddenoise
[Round 005/100] Acc=35.640 | Pure=69.981 | RoundTime=24.55s | TotalTime=121.60s | Method=feddenoise
[Round 006/100] Acc=45.680 | Pure=70.010 | RoundTime=24.80s | TotalTime=146.40s | Method=feddenoise
[Round 007/100] Acc=45.930 | Pure=70.006 | RoundTime=24.71s | TotalTime=171.11s | Method=feddenoise
[Round 008/100] Acc=43.130 | Pure=70.014 | RoundTime=24.76s | TotalTime=195.87s | Method=feddenoise
[Round 009/100] Acc=42.790 | Pure=70.014 | RoundTime=24.94s | TotalTime=220.81s | Method=feddenoise
[Round 010/100] Acc=45.140 | Pure=70.009 | RoundTime=25.07s | TotalTime=245.87s | Method=feddenoise
[Round 011/100] Acc=45.670 | Pure=75.530 | RoundTime=29.37s | TotalTime=275.24s | Method=feddenoise
[Round 012/100] Acc=46.550 | Pure=76.155 | RoundTime=29.05s | TotalTime=304.29s | Method=feddenoise
