epoch	acc	pure	round_time_sec	total_time_sec
0	10.54	65.014	52.6504	52.6506
1	10.0	64.996	43.8587	96.5096
2	21.61	65.03	53.9818	150.4916
3	26.42	64.978	56.1486	206.6406
4	30.69	65.028	54.4272	261.0682
5	38.51	64.973	54.7894	315.8580
6	37.03	64.994	54.9588	370.8170
7	33.72	64.999	53.5820	424.3993
8	41.37	64.982	53.7819	478.1816
9	42.97	64.978	57.4421	535.6240
10	32.58	80.079	133.2424	668.8667
11	44.26	77.802	150.7071	819.5742
12	46.27	78.558	149.4389	969.0134
13	39.55	80.195	147.7999	1116.8137
14	44.99	81.768	149.5056	1266.3195
15	47.03	78.592	148.1915	1414.5115
16	46.94	79.507	148.6372	1563.1491
17	49.03	78.397	148.9239	1712.0734
18	44.57	82.531	149.7442	1861.8179
19	51.08	79.95	148.6397	2010.4578
20	48.85	84.454	124.2884	2134.7466
21	51.29	86.131	119.7287	2254.4756
22	52.96	84.922	120.9941	2375.4700
23	51.71	84.344	120.6205	2496.0909
24	53.23	85.153	119.3499	2615.4411
25	54.39	84.793	118.6045	2734.0459
26	54.02	83.596	121.2145	2855.2607
27	54.96	83.636	118.8747	2974.1357
28	52.63	84.456	119.4286	3093.5646
29	52.65	85.107	119.0157	3212.5806
30	52.82	85.593	101.4302	3314.0111
31	55.63	84.483	99.6640	3413.6755
32	53.52	83.392	101.2568	3514.9326
33	49.98	86.093	99.5480	3614.4810
34	58.05	83.898	98.2175	3712.6988
35	54.59	84.623	99.5631	3812.2623
36	56.41	84.904	101.3373	3913.5999
37	54.2	86.999	99.3123	4012.9125
38	56.41	85.572	100.0436	4112.9565
39	51.49	84.82	100.0917	4213.0485
40	56.87	83.442	83.1242	4296.1730
41	57.42	83.591	83.4510	4379.6243
42	58.19	84.234	79.7337	4459.3583
43	58.59	83.245	77.1346	4536.4932
44	54.26	83.026	78.0829	4614.5765
45	58.82	84.692	76.5112	4691.0879
46	53.89	83.581	77.9172	4769.0055
47	58.86	81.56	77.2277	4846.2335
48	56.9	84.181	79.5443	4925.7782
49	57.18	82.574	77.8848	5003.6632
50	52.15	83.604	77.7027	5081.3662
51	58.58	82.357	78.2437	5159.6104
52	56.35	83.16	77.1517	5236.7624
53	55.56	83.64	78.0240	5314.7869
54	56.94	81.101	79.2351	5394.0224
55	57.95	82.576	77.1040	5471.1267
56	57.6	82.505	76.9857	5548.1127
57	56.93	84.167	78.7710	5626.8841
58	58.75	82.965	78.6461	5705.5306
59	55.24	82.247	79.2976	5784.8287
60	58.85	83.957	77.9742	5862.8033
61	60.44	83.513	78.2717	5941.0754
62	60.68	82.719	78.2339	6019.3097
63	61.63	83.845	78.2574	6097.5675
64	60.24	82.838	79.4149	6176.9826
65	60.92	85.299	76.0732	6253.0562
66	62.71	82.067	79.7381	6332.7947
67	61.51	83.633	79.1970	6411.9921
68	55.44	85.923	77.7942	6489.7868
69	58.96	82.024	77.9812	6567.7685
70	60.87	79.838	78.9821	6646.7510
71	59.34	82.633	78.8614	6725.6128
72	60.16	82.099	79.7934	6805.4065
73	58.69	83.073	77.1509	6882.5577
74	57.34	82.554	79.1594	6961.7174
75	57.61	83.094	77.1198	7038.8376
76	57.92	83.053	77.8684	7116.7064
77	60.73	81.107	77.5807	7194.2876
78	59.04	81.532	80.4607	7274.7486
79	60.63	80.961	77.1338	7351.8827
80	60.95	84.457	76.8652	7428.7482
81	62.25	83.098	80.4388	7509.1872
82	61.18	84.306	76.6750	7585.8626
83	62.36	84.186	76.1826	7662.0456
84	63.06	83.399	77.3804	7739.4262
85	61.32	84.131	77.7591	7817.1856
86	61.67	84.789	77.2931	7894.4791
87	61.84	83.678	77.6634	7972.1428
88	58.81	84.773	77.6545	8049.7976
89	59.6	83.918	77.8235	8127.6215
90	57.37	83.213	78.3874	8206.0091
91	55.55	86.642	78.4009	8284.4103
92	60.9	81.843	77.1521	8361.5628
93	57.3	83.779	76.9726	8438.5357
94	60.9	82.224	77.4136	8515.9496
95	62.15	80.557	76.8263	8592.7762
96	59.97	81.607	77.4642	8670.2407
97	56.4	83.139	76.7270	8746.9682
98	59.77	81.827	77.3407	8824.3094
99	56.51	82.655	69.9213	8894.2311
