epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	12.67	None	None	None	None	None	None	None	16.8116	16.8181
1	warmup	warmup	17.33	None	None	None	None	None	None	None	16.1210	32.9462
2	warmup	warmup	27.71	None	None	None	None	None	None	None	15.7208	48.6758
3	warmup	warmup	33.67	None	None	None	None	None	None	None	15.4002	64.0899
4	warmup	warmup	35.72	None	None	None	None	None	None	None	18.0369	82.1328
5	warmup	warmup	35.99	None	None	None	None	None	None	None	20.7653	102.9058
6	warmup	warmup	37.87	None	None	None	None	None	None	None	22.3827	125.2948
7	warmup	warmup	40.06	None	None	None	None	None	None	None	65.6127	190.9145
8	stage_1	0	30.53	77.483	77.483	66.414	41.225	54.967	60.0	0.987	24.8036	215.7248
9	stage_1	0	32.23	77.483	77.483	66.414	41.225	54.967	60.0	0.987	22.4197	238.1617
10	stage_1	0	34.22	77.483	77.483	66.414	41.225	54.967	60.0	0.987	22.9455	261.1160
11	stage_1	0	34.92	77.483	77.483	66.414	41.225	54.967	60.0	0.987	28.8143	289.9367
12	stage_1	0	34.3	77.483	77.483	66.414	41.225	54.967	60.0	0.987	27.4041	317.3467
13	stage_1	0	37.97	77.483	77.483	66.414	41.225	54.967	60.0	0.987	26.8496	344.2063
14	stage_1	0	38.07	77.483	77.483	66.414	41.225	54.967	60.0	0.987	27.7107	371.9229
15	stage_1	0	38.49	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.6777	404.6101
16	stage_1	0	38.4	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.1177	436.7343
17	stage_1	0	38.16	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.8991	469.6410
18	stage_1	0	39.29	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.4103	502.0588
19	stage_1	0	41.23	77.483	77.483	66.414	41.225	54.967	60.0	0.987	31.2870	533.3522
20	stage_1	0	41.86	77.483	77.483	66.414	41.225	54.967	60.0	0.987	31.6972	565.0573
21	stage_1	0	42.15	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.5665	597.6304
22	stage_1	0	41.81	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.8101	630.4484
23	stage_1	0	44.37	77.483	77.483	66.414	41.225	54.967	60.0	0.987	32.6011	663.0556
