epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	258.2953	258.2963
1	warmup	warmup	12.92	None	None	None	None	None	None	None	253.6952	511.9938
2	warmup	warmup	21.99	None	None	None	None	None	None	None	253.5897	765.5857
3	warmup	warmup	26.11	None	None	None	None	None	None	None	253.4548	1019.0426
4	warmup	warmup	29.91	None	None	None	None	None	None	None	254.4206	1273.4655
5	warmup	warmup	32.74	None	None	None	None	None	None	None	252.8996	1526.3674
6	warmup	warmup	32.15	None	None	None	None	None	None	None	253.0764	1779.4454
7	warmup	warmup	34.78	None	None	None	None	None	None	None	253.0029	2032.4502
8	warmup	warmup	35.38	None	None	None	None	None	None	None	253.2271	2285.6796
9	warmup	warmup	36.23	None	None	None	None	None	None	None	253.5650	2539.2462
10	warmup	warmup	36.03	None	None	None	None	None	None	None	252.9629	2792.2112
11	warmup	warmup	35.59	None	None	None	None	None	None	None	253.8661	3046.0797
12	warmup	warmup	36.2	None	None	None	None	None	None	None	255.4126	3301.4945
13	warmup	warmup	36.0	None	None	None	None	None	None	None	253.1925	3554.6975
14	warmup	warmup	34.49	None	None	None	None	None	None	None	253.7687	3808.4681
15	warmup	warmup	35.04	None	None	None	None	None	None	None	255.0332	4063.5212
16	warmup	warmup	37.24	None	None	None	None	None	None	None	255.7167	4319.2396
17	warmup	warmup	38.3	None	None	None	None	None	None	None	253.8233	4573.0689
18	warmup	warmup	36.78	None	None	None	None	None	None	None	253.8603	4826.9314
19	warmup	warmup	36.63	None	None	None	None	None	None	None	306.2290	5133.1631
20	stage_1	0	37.95	49.193	49.193	88.548	42.74	8.548	90.0	0.965	232.9404	5366.1066
21	stage_1	0	37.87	49.193	49.193	88.548	42.74	8.548	90.0	0.965	232.7045	5598.8307
22	stage_1	0	39.37	49.193	49.193	88.548	42.74	8.548	90.0	0.965	232.9591	5831.7927
23	stage_1	0	37.9	49.193	49.193	88.548	42.74	8.548	90.0	0.965	233.0506	6064.8453
24	stage_1	0	37.41	49.193	49.193	88.548	42.74	8.548	90.0	0.965	232.5905	6297.4379
25	stage_1	0	38.41	49.193	49.193	88.548	42.74	8.548	90.0	0.965	233.8024	6531.2431
26	stage_1	0	38.06	49.193	49.193	88.548	42.74	8.548	90.0	0.965	233.4696	6764.7149
27	stage_1	0	37.74	49.193	49.193	88.548	42.74	8.548	90.0	0.965	247.9889	7012.7060
28	stage_1	0	37.92	49.193	49.193	88.548	42.74	8.548	90.0	0.965	263.8443	7276.5528
29	stage_1	0	38.07	49.193	49.193	88.548	42.74	8.548	90.0	0.965	272.0059	7548.5608
30	stage_1	0	38.09	49.193	49.193	88.548	42.74	8.548	90.0	0.965	295.5442	7844.1069
31	stage_1	0	38.18	49.193	49.193	88.548	42.74	8.548	90.0	0.965	296.7563	8140.8651
32	stage_1	0	39.4	49.193	49.193	88.548	42.74	8.548	90.0	0.965	294.8894	8435.7566
33	stage_1	0	39.3	49.193	49.193	88.548	42.74	8.548	90.0	0.965	295.2368	8730.9960
