epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	150.2981	150.3043
1	warmup	warmup	13.75	None	None	None	None	None	None	None	151.6946	302.0076
2	warmup	warmup	21.37	None	None	None	None	None	None	None	178.8038	480.8194
3	warmup	warmup	31.29	None	None	None	None	None	None	None	178.2288	659.0560
4	warmup	warmup	34.98	None	None	None	None	None	None	None	174.2434	833.3094
5	warmup	warmup	41.76	None	None	None	None	None	None	None	177.1467	1010.4639
6	warmup	warmup	42.28	None	None	None	None	None	None	None	177.2721	1187.7438
7	warmup	warmup	44.9	None	None	None	None	None	None	None	179.0815	1366.8331
8	warmup	warmup	46.09	None	None	None	None	None	None	None	178.4146	1545.2555
9	warmup	warmup	47.25	None	None	None	None	None	None	None	177.9249	1723.1885
10	warmup	warmup	49.86	None	None	None	None	None	None	None	178.2849	1901.4835
11	warmup	warmup	50.64	None	None	None	None	None	None	None	174.6152	2076.1079
12	warmup	warmup	50.97	None	None	None	None	None	None	None	153.2402	2229.3563
13	warmup	warmup	51.75	None	None	None	None	None	None	None	151.8167	2381.1870
14	warmup	warmup	52.41	None	None	None	None	None	None	None	153.3427	2534.5374
15	warmup	warmup	53.56	None	None	None	None	None	None	None	153.3400	2687.8852
16	warmup	warmup	53.78	None	None	None	None	None	None	None	152.7193	2840.6130
17	warmup	warmup	53.45	None	None	None	None	None	None	None	152.8035	2993.4246
18	warmup	warmup	53.57	None	None	None	None	None	None	None	152.9444	3146.3774
19	warmup	warmup	54.13	None	None	None	None	None	None	None	170.8447	3317.2308
20	stage_1	0	53.22	52.056	52.056	93.7	68.5	13.7	90.0	0.973	149.6772	3466.9167
21	stage_1	0	54.4	52.056	52.056	93.7	68.5	13.7	90.0	0.973	149.5147	3616.4396
22	stage_1	0	54.41	52.056	52.056	93.7	68.5	13.7	90.0	0.973	147.0453	3763.4933
23	stage_1	0	53.18	52.056	52.056	93.7	68.5	13.7	90.0	0.973	149.4731	3912.9741
