epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	94.1335	94.1400
1	warmup	warmup	10.68	None	None	None	None	None	None	None	94.5986	188.7492
2	warmup	warmup	23.81	None	None	None	None	None	None	None	94.3652	283.1245
3	warmup	warmup	33.47	None	None	None	None	None	None	None	94.8485	377.9820
4	warmup	warmup	34.85	None	None	None	None	None	None	None	95.7799	473.7695
5	warmup	warmup	40.51	None	None	None	None	None	None	None	94.6020	568.3793
6	warmup	warmup	39.94	None	None	None	None	None	None	None	94.4817	662.8685
7	warmup	warmup	42.86	None	None	None	None	None	None	None	95.6728	758.5517
8	warmup	warmup	44.17	None	None	None	None	None	None	None	94.1763	852.7383
9	warmup	warmup	45.58	None	None	None	None	None	None	None	93.4176	946.1635
10	warmup	warmup	48.61	None	None	None	None	None	None	None	93.7329	1039.9065
11	warmup	warmup	48.78	None	None	None	None	None	None	None	94.2389	1134.1557
12	warmup	warmup	49.68	None	None	None	None	None	None	None	94.1474	1228.3106
13	warmup	warmup	50.51	None	None	None	None	None	None	None	93.7767	1322.0952
14	warmup	warmup	52.39	None	None	None	None	None	None	None	92.2285	1414.3344
15	warmup	warmup	53.48	None	None	None	None	None	None	None	94.0040	1508.3501
16	warmup	warmup	53.01	None	None	None	None	None	None	None	92.7237	1601.0818
17	warmup	warmup	53.19	None	None	None	None	None	None	None	91.9068	1692.9985
18	warmup	warmup	53.26	None	None	None	None	None	None	None	94.6253	1787.6389
19	warmup	warmup	54.54	None	None	None	None	None	None	None	144.1970	1931.8461
20	stage_1	0	51.24	75.43	75.43	60.344	66.953	80.344	40.0	0.978	65.5830	1997.4401
21	stage_1	0	53.22	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.8663	2062.3170
22	stage_1	0	54.82	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.9304	2127.2577
23	stage_1	0	56.83	75.43	75.43	60.344	66.953	80.344	40.0	0.978	65.0011	2192.2694
24	stage_1	0	56.73	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.1832	2256.4605
25	stage_1	0	57.06	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.0764	2320.5473
26	stage_1	0	57.68	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.0329	2384.5907
27	stage_1	0	57.47	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.6392	2449.2403
28	stage_1	0	58.57	75.43	75.43	60.344	66.953	80.344	40.0	0.978	63.5020	2512.7537
29	stage_1	0	57.27	75.43	75.43	60.344	66.953	80.344	40.0	0.978	63.3819	2576.1458
30	stage_1	0	58.01	75.43	75.43	60.344	66.953	80.344	40.0	0.978	66.1363	2642.2928
31	stage_1	0	57.6	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.7382	2707.0391
32	stage_1	0	57.75	75.43	75.43	60.344	66.953	80.344	40.0	0.978	63.7925	2770.8396
33	stage_1	0	57.33	75.43	75.43	60.344	66.953	80.344	40.0	0.978	63.9208	2834.7689
34	stage_1	0	57.12	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.7231	2899.5003
35	stage_1	0	56.55	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.5499	2964.0583
36	stage_1	0	57.86	75.43	75.43	60.344	66.953	80.344	40.0	0.978	63.9663	3028.0325
37	stage_1	0	57.51	75.43	75.43	60.344	66.953	80.344	40.0	0.978	64.1213	3092.1619
38	stage_1	0	57.23	75.43	75.43	60.344	66.953	80.344	40.0	0.978	112.0361	3204.2062
39	stage_2	1	57.12	82.64	82.64	66.112	71.76	86.112	40.0	0.975	66.3075	3270.5228
40	stage_2	1	57.83	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.1825	3334.7142
41	stage_2	1	57.72	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.3057	3399.0283
42	stage_2	1	57.85	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.7151	3463.7515
43	stage_2	1	57.72	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.1890	3527.9486
44	stage_2	1	58.04	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.1091	3592.0662
45	stage_2	1	57.94	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.2333	3657.3080
46	stage_2	1	58.32	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.6516	3722.9673
47	stage_2	1	58.35	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.2917	3787.2673
48	stage_2	1	57.63	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.2351	3852.5109
49	stage_2	1	58.68	82.64	82.64	66.112	71.76	86.112	40.0	0.975	64.0827	3916.6030
50	stage_2	1	58.14	82.64	82.64	66.112	71.76	86.112	40.0	0.975	63.8260	3980.4378
51	stage_2	1	58.09	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.1783	4045.6246
52	stage_2	1	57.93	82.64	82.64	66.112	71.76	86.112	40.0	0.975	63.8026	4109.4354
53	stage_2	1	57.83	82.64	82.64	66.112	71.76	86.112	40.0	0.975	66.1420	4175.5859
54	stage_2	1	58.42	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.4216	4241.0159
55	stage_2	1	57.8	82.64	82.64	66.112	71.76	86.112	40.0	0.975	65.0813	4306.1057
56	stage_2	1	57.64	82.64	82.64	66.112	71.76	86.112	40.0	0.975	63.2167	4369.3312
57	stage_2	1	57.74	82.64	82.64	66.112	71.76	86.112	40.0	0.975	107.3135	4476.6532
58	stage_3	2	57.87	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.2404	4540.9021
59	stage_3	2	58.46	82.255	82.255	65.804	71.503	85.804	40.0	0.978	65.3148	4606.2251
60	stage_3	2	58.17	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.6962	4670.9300
61	stage_3	2	57.79	82.255	82.255	65.804	71.503	85.804	40.0	0.978	65.9591	4736.8977
62	stage_3	2	58.39	82.255	82.255	65.804	71.503	85.804	40.0	0.978	65.0115	4801.9176
63	stage_3	2	58.09	82.255	82.255	65.804	71.503	85.804	40.0	0.978	66.8283	4868.7543
64	stage_3	2	58.31	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.1243	4932.8873
65	stage_3	2	57.83	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.3245	4997.2205
66	stage_3	2	57.98	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.6702	5061.8993
67	stage_3	2	58.17	82.255	82.255	65.804	71.503	85.804	40.0	0.978	63.5704	5125.4789
68	stage_3	2	58.01	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.9292	5190.4167
69	stage_3	2	58.24	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.2498	5254.6750
70	stage_3	2	57.86	82.255	82.255	65.804	71.503	85.804	40.0	0.978	65.9290	5320.6126
71	stage_3	2	58.59	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.7291	5385.3509
72	stage_3	2	58.43	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.9154	5450.2749
73	stage_3	2	58.09	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.2182	5514.5020
74	stage_3	2	57.63	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.6201	5579.1303
75	stage_3	2	58.12	82.255	82.255	65.804	71.503	85.804	40.0	0.978	64.3413	5643.4801
76	stage_3	2	58.11	82.255	82.255	65.804	71.503	85.804	40.0	0.978	108.2751	5751.7636
77	stage_4	3	58.05	81.7	81.7	65.36	71.133	85.36	40.0	0.982	65.9703	5817.7429
78	stage_4	3	57.9	81.7	81.7	65.36	71.133	85.36	40.0	0.982	64.4343	5882.1857
79	stage_4	3	58.17	81.7	81.7	65.36	71.133	85.36	40.0	0.982	65.4064	5947.6008
80	stage_4	3	58.96	81.7	81.7	65.36	71.133	85.36	40.0	0.982	64.0830	6011.6940
81	stage_4	3	57.95	81.7	81.7	65.36	71.133	85.36	40.0	0.982	65.7029	6077.4068
82	stage_4	3	58.08	81.7	81.7	65.36	71.133	85.36	40.0	0.982	65.5123	6142.9290
83	stage_4	3	57.99	81.7	81.7	65.36	71.133	85.36	40.0	0.982	63.7586	6206.6971
84	stage_4	3	58.56	81.7	81.7	65.36	71.133	85.36	40.0	0.982	63.6143	6270.3199
85	stage_4	3	58.49	81.7	81.7	65.36	71.133	85.36	40.0	0.982	63.9911	6334.3208
86	stage_4	3	57.79	81.7	81.7	65.36	71.133	85.36	40.0	0.982	62.9888	6397.3194
