epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	126.0046	126.0119
1	warmup	warmup	15.59	None	None	None	None	None	None	None	124.7259	250.7468
2	warmup	warmup	22.36	None	None	None	None	None	None	None	127.4273	378.1819
3	warmup	warmup	32.72	None	None	None	None	None	None	None	125.2359	503.4257
4	warmup	warmup	35.72	None	None	None	None	None	None	None	125.0502	628.4849
5	warmup	warmup	40.07	None	None	None	None	None	None	None	126.5953	755.0877
6	warmup	warmup	40.47	None	None	None	None	None	None	None	125.7264	880.8244
7	warmup	warmup	43.22	None	None	None	None	None	None	None	127.1570	1007.9891
8	warmup	warmup	44.08	None	None	None	None	None	None	None	127.0782	1135.0750
9	warmup	warmup	45.3	None	None	None	None	None	None	None	124.6200	1259.7026
10	warmup	warmup	48.09	None	None	None	None	None	None	None	124.5969	1384.3069
11	warmup	warmup	48.14	None	None	None	None	None	None	None	125.6246	1509.9391
12	warmup	warmup	49.58	None	None	None	None	None	None	None	125.3239	1635.2706
13	warmup	warmup	50.95	None	None	None	None	None	None	None	126.9576	1762.2357
14	warmup	warmup	51.58	None	None	None	None	None	None	None	124.4701	1886.7135
15	warmup	warmup	53.11	None	None	None	None	None	None	None	125.3371	2012.0581
16	warmup	warmup	52.43	None	None	None	None	None	None	None	125.4364	2137.5024
17	warmup	warmup	52.58	None	None	None	None	None	None	None	127.1290	2264.6417
18	warmup	warmup	51.77	None	None	None	None	None	None	None	127.6862	2392.3357
19	warmup	warmup	53.25	None	None	None	None	None	None	None	155.0792	2547.4225
20	stage_1	0	49.47	63.444	63.444	57.1	61.0	67.1	45.0	0.976	68.7826	2616.2164
21	stage_1	0	53.08	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.3219	2682.5464
22	stage_1	0	54.26	63.444	63.444	57.1	61.0	67.1	45.0	0.976	65.5161	2748.0708
23	stage_1	0	54.67	63.444	63.444	57.1	61.0	67.1	45.0	0.976	68.0324	2816.1113
24	stage_1	0	54.87	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.6067	2882.7276
25	stage_1	0	55.52	63.444	63.444	57.1	61.0	67.1	45.0	0.976	67.7390	2950.4762
26	stage_1	0	55.23	63.444	63.444	57.1	61.0	67.1	45.0	0.976	68.9371	3019.4230
27	stage_1	0	54.99	63.444	63.444	57.1	61.0	67.1	45.0	0.976	65.9141	3085.3453
28	stage_1	0	55.73	63.444	63.444	57.1	61.0	67.1	45.0	0.976	69.7578	3155.1111
29	stage_1	0	54.66	63.444	63.444	57.1	61.0	67.1	45.0	0.976	67.4701	3222.5909
30	stage_1	0	54.9	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.7170	3289.3175
31	stage_1	0	55.12	63.444	63.444	57.1	61.0	67.1	45.0	0.976	67.9136	3357.2405
32	stage_1	0	54.09	63.444	63.444	57.1	61.0	67.1	45.0	0.976	67.7318	3424.9818
33	stage_1	0	55.0	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.6241	3491.6155
34	stage_1	0	55.13	63.444	63.444	57.1	61.0	67.1	45.0	0.976	67.6838	3559.3089
35	stage_1	0	53.99	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.7542	3626.0715
36	stage_1	0	54.55	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.2996	3692.3793
37	stage_1	0	54.19	63.444	63.444	57.1	61.0	67.1	45.0	0.976	66.9847	3759.3737
38	stage_1	0	54.02	63.444	63.444	57.1	61.0	67.1	45.0	0.976	87.1088	3846.4919
39	stage_2	1	55.45	73.342	73.342	66.008	69.098	76.008	45.0	0.974	66.6276	3913.1284
40	stage_2	1	55.95	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.9494	3981.0858
41	stage_2	1	55.57	73.342	73.342	66.008	69.098	76.008	45.0	0.974	69.0797	4050.1737
42	stage_2	1	56.22	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.6665	4117.8484
43	stage_2	1	55.84	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.3972	4186.2539
44	stage_2	1	55.33	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.2061	4253.4683
45	stage_2	1	55.61	73.342	73.342	66.008	69.098	76.008	45.0	0.974	69.2760	4322.7531
46	stage_2	1	54.64	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.9333	4390.6947
47	stage_2	1	54.98	73.342	73.342	66.008	69.098	76.008	45.0	0.974	69.2780	4459.9813
48	stage_2	1	54.76	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.4762	4528.4659
49	stage_2	1	55.32	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.4575	4596.9315
50	stage_2	1	54.99	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.6719	4665.6125
51	stage_2	1	54.95	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.7087	4733.3298
52	stage_2	1	54.85	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.0209	4801.3593
53	stage_2	1	55.41	73.342	73.342	66.008	69.098	76.008	45.0	0.974	66.6126	4867.9804
54	stage_2	1	54.71	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.3812	4935.3702
55	stage_2	1	54.48	73.342	73.342	66.008	69.098	76.008	45.0	0.974	67.4328	5002.8118
56	stage_2	1	54.56	73.342	73.342	66.008	69.098	76.008	45.0	0.974	68.1484	5070.9687
57	stage_2	1	53.67	73.342	73.342	66.008	69.098	76.008	45.0	0.974	83.2983	5154.2754
58	stage_3	2	51.72	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.3764	5222.6624
59	stage_3	2	51.25	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.1162	5290.7902
60	stage_3	2	51.86	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.4336	5359.2326
61	stage_3	2	50.9	70.436	70.436	63.392	66.72	73.392	45.0	0.977	69.2592	5428.5005
62	stage_3	2	51.52	70.436	70.436	63.392	66.72	73.392	45.0	0.977	67.3214	5495.8305
63	stage_3	2	51.23	70.436	70.436	63.392	66.72	73.392	45.0	0.977	66.4801	5562.3189
64	stage_3	2	50.75	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.3255	5630.6528
65	stage_3	2	49.92	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.0730	5698.7343
66	stage_3	2	50.99	70.436	70.436	63.392	66.72	73.392	45.0	0.977	67.5185	5766.2614
67	stage_3	2	50.72	70.436	70.436	63.392	66.72	73.392	45.0	0.977	66.4902	5832.7601
68	stage_3	2	50.48	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.5731	5901.3420
69	stage_3	2	50.27	70.436	70.436	63.392	66.72	73.392	45.0	0.977	66.8884	5968.2390
70	stage_3	2	50.29	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.1969	6036.4444
71	stage_3	2	49.91	70.436	70.436	63.392	66.72	73.392	45.0	0.977	67.5635	6104.0164
72	stage_3	2	49.65	70.436	70.436	63.392	66.72	73.392	45.0	0.977	68.1253	6172.1501
73	stage_3	2	49.79	70.436	70.436	63.392	66.72	73.392	45.0	0.977	69.1133	6241.2718
74	stage_3	2	49.66	70.436	70.436	63.392	66.72	73.392	45.0	0.977	67.0162	6308.2979
75	stage_3	2	49.84	70.436	70.436	63.392	66.72	73.392	45.0	0.977	64.5351	6372.8413
76	stage_3	2	49.61	70.436	70.436	63.392	66.72	73.392	45.0	0.977	82.3374	6455.1876
77	stage_4	3	50.64	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.7779	6522.9739
78	stage_4	3	50.98	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.3356	6591.3179
79	stage_4	3	50.72	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.6248	6658.9511
80	stage_4	3	50.59	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.8720	6726.8314
81	stage_4	3	50.35	71.618	71.618	64.456	67.687	74.456	45.0	0.983	66.8350	6793.6750
82	stage_4	3	50.75	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.2987	6860.9823
83	stage_4	3	50.68	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.6934	6928.6842
84	stage_4	3	50.64	71.618	71.618	64.456	67.687	74.456	45.0	0.983	70.0724	6998.7667
85	stage_4	3	50.76	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.6764	7067.4514
86	stage_4	3	50.7	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.0734	7134.5331
87	stage_4	3	50.17	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.2824	7202.8242
88	stage_4	3	50.6	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.3422	7271.1747
89	stage_4	3	50.59	71.618	71.618	64.456	67.687	74.456	45.0	0.983	67.2059	7338.3890
90	stage_4	3	50.45	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.0913	7406.4887
91	stage_4	3	50.6	71.618	71.618	64.456	67.687	74.456	45.0	0.983	68.1197	7474.6168
92	stage_4	3	50.2	71.618	71.618	64.456	67.687	74.456	45.0	0.983	66.7698	7541.3955
93	stage_4	3	50.44	71.618	71.618	64.456	67.687	74.456	45.0	0.983	65.5056	7606.9095
94	stage_4	3	50.5	71.618	71.618	64.456	67.687	74.456	45.0	0.983	62.2155	7669.1345
95	stage_4	3	50.7	71.618	71.618	64.456	67.687	74.456	45.0	0.983	61.7230	7730.8671
