epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	36.0425	36.0517
1	warmup	warmup	20.4	None	None	None	None	None	None	None	34.9634	71.0264
2	warmup	warmup	26.95	None	None	None	None	None	None	None	31.6493	102.6824
3	warmup	warmup	32.47	None	None	None	None	None	None	None	26.6525	129.3416
4	warmup	warmup	37.71	None	None	None	None	None	None	None	32.3810	161.7313
5	warmup	warmup	40.26	None	None	None	None	None	None	None	30.0557	191.7952
6	warmup	warmup	42.48	None	None	None	None	None	None	None	34.6716	226.4735
7	warmup	warmup	44.17	None	None	None	None	None	None	None	34.7377	261.2178
8	warmup	warmup	46.77	None	None	None	None	None	None	None	34.0974	295.3223
9	warmup	warmup	47.7	None	None	None	None	None	None	None	63.0645	358.3934
10	stage_1	0	40.24	82.294	82.294	82.294	58.687	58.687	70.0	0.989	22.8881	381.2897
11	stage_1	0	43.54	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.3546	408.6512
12	stage_1	0	44.54	82.294	82.294	82.294	58.687	58.687	70.0	0.989	26.9125	435.5707
13	stage_1	0	43.81	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.6091	463.1867
14	stage_1	0	46.22	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.7337	487.9285
15	stage_1	0	47.99	82.294	82.294	82.294	58.687	58.687	70.0	0.989	21.4274	509.3650
16	stage_1	0	48.0	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.1872	533.5650
17	stage_1	0	49.26	82.294	82.294	82.294	58.687	58.687	70.0	0.989	23.5736	557.1462
18	stage_1	0	50.63	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.8706	582.0241
19	stage_1	0	50.26	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.2655	609.2969
20	stage_1	0	51.97	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.6545	636.9601
21	stage_1	0	51.95	82.294	82.294	82.294	58.687	58.687	70.0	0.989	28.4079	665.3755
22	stage_1	0	53.96	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.0539	689.4369
23	stage_1	0	53.74	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.4703	709.9162
24	stage_1	0	54.91	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.8603	734.7840
25	stage_1	0	55.46	82.294	82.294	82.294	58.687	58.687	70.0	0.989	22.2860	757.0773
26	stage_1	0	54.41	82.294	82.294	82.294	58.687	58.687	70.0	0.989	26.2863	783.3707
27	stage_1	0	55.12	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.1905	810.5691
28	stage_1	0	57.39	82.294	82.294	82.294	58.687	58.687	70.0	0.989	26.9062	837.4843
29	stage_1	0	57.36	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.7010	865.1929
30	stage_1	0	56.8	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.7064	889.9067
31	stage_1	0	56.99	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5782	910.4951
32	stage_1	0	58.64	82.294	82.294	82.294	58.687	58.687	70.0	0.989	25.1427	935.6464
33	stage_1	0	59.21	82.294	82.294	82.294	58.687	58.687	70.0	0.989	23.7151	959.3699
34	stage_1	0	59.62	82.294	82.294	82.294	58.687	58.687	70.0	0.989	25.1414	984.5189
35	stage_1	0	60.81	82.294	82.294	82.294	58.687	58.687	70.0	0.989	29.0359	1013.5688
36	stage_1	0	60.86	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.9784	1041.5543
37	stage_1	0	60.29	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.9921	1069.5535
38	stage_1	0	60.17	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5881	1090.1492
39	stage_1	0	61.29	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5289	1110.6858
40	stage_1	0	60.7	82.294	82.294	82.294	58.687	58.687	70.0	0.989	22.0406	1132.7341
41	stage_1	0	61.63	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.6339	1153.3769
42	stage_1	0	61.24	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5120	1173.8963
43	stage_1	0	62.03	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.2698	1194.1734
44	stage_1	0	62.74	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5721	1214.7542
45	stage_1	0	63.8	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.6941	1235.4560
46	stage_1	0	63.42	82.294	82.294	82.294	58.687	58.687	70.0	0.989	20.5143	1255.9778
47	stage_1	0	62.27	82.294	82.294	82.294	58.687	58.687	70.0	0.989	24.7555	1280.7407
48	stage_1	0	63.25	82.294	82.294	82.294	58.687	58.687	70.0	0.989	26.3142	1307.0679
49	stage_1	0	64.39	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.7374	1335.3454
50	stage_1	0	64.14	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.8726	1363.3154
51	stage_1	0	64.08	82.294	82.294	82.294	58.687	58.687	70.0	0.989	27.6089	1390.9317
52	stage_1	0	64.77	82.294	82.294	82.294	58.687	58.687	70.0	0.989	22.4632	1413.4047
53	stage_1	0	63.89	82.294	82.294	82.294	58.687	58.687	70.0	0.989	21.0289	1434.4419
54	stage_1	0	64.7	82.294	82.294	82.294	58.687	58.687	70.0	0.989	26.4471	1460.8980
55	stage_1	0	64.84	82.294	82.294	82.294	58.687	58.687	70.0	0.989	23.2893	1484.1968
56	stage_1	0	65.86	82.294	82.294	82.294	58.687	58.687	70.0	0.989	28.0521	1512.2570
57	stage_1	0	66.29	82.294	82.294	82.294	58.687	58.687	70.0	0.989	23.4996	1535.7644
58	stage_1	0	66.19	82.294	82.294	82.294	58.687	58.687	70.0	0.989	25.6816	1561.4546
59	stage_1	0	66.47	82.294	82.294	82.294	58.687	58.687	70.0	0.989	55.4001	1616.8627
60	stage_2	1	68.44	88.123	88.123	88.123	72.287	72.287	70.0	0.983	29.2517	1646.1227
61	stage_2	1	67.06	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.7210	1673.8517
62	stage_2	1	68.83	88.123	88.123	88.123	72.287	72.287	70.0	0.983	23.8518	1697.7126
63	stage_2	1	69.21	88.123	88.123	88.123	72.287	72.287	70.0	0.983	20.2998	1718.0218
64	stage_2	1	70.28	88.123	88.123	88.123	72.287	72.287	70.0	0.983	23.6375	1741.6681
65	stage_2	1	70.71	88.123	88.123	88.123	72.287	72.287	70.0	0.983	22.3577	1764.0350
66	stage_2	1	69.82	88.123	88.123	88.123	72.287	72.287	70.0	0.983	29.4781	1793.5214
67	stage_2	1	70.22	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.5568	1821.0872
68	stage_2	1	71.13	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8210	1848.9162
69	stage_2	1	71.13	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8850	1876.8092
70	stage_2	1	70.98	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.3192	1905.1363
71	stage_2	1	70.26	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.6589	1933.8029
72	stage_2	1	71.73	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.2350	1960.0464
73	stage_2	1	71.22	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4438	1987.4980
74	stage_2	1	71.82	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.8308	2014.3383
75	stage_2	1	72.29	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8175	2042.1635
76	stage_2	1	71.66	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.7872	2070.9586
77	stage_2	1	72.71	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8105	2098.7782
78	stage_2	1	73.35	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.2323	2127.0184
79	stage_2	1	72.55	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.3528	2155.3808
80	stage_2	1	72.55	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.3968	2183.7857
81	stage_2	1	73.65	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4831	2211.2769
82	stage_2	1	73.4	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.0707	2239.3556
83	stage_2	1	72.91	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.3407	2266.7042
84	stage_2	1	74.07	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.7158	2294.4298
85	stage_2	1	73.38	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8125	2322.2506
86	stage_2	1	74.19	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4986	2349.7581
87	stage_2	1	74.2	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.5534	2378.3194
88	stage_2	1	74.32	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.7563	2406.0836
89	stage_2	1	74.89	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.1213	2433.2139
90	stage_2	1	74.37	88.123	88.123	88.123	72.287	72.287	70.0	0.983	22.6642	2455.8869
91	stage_2	1	74.35	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.8560	2483.7508
92	stage_2	1	74.07	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4729	2511.2314
93	stage_2	1	75.2	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4909	2538.7302
94	stage_2	1	74.29	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4403	2566.1795
95	stage_2	1	74.75	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.8746	2593.0619
96	stage_2	1	74.9	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.7225	2619.7926
97	stage_2	1	75.15	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.2229	2646.0236
98	stage_2	1	74.75	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.4898	2673.5212
99	stage_2	1	74.6	88.123	88.123	88.123	72.287	72.287	70.0	0.983	26.0980	2699.6331
100	stage_2	1	75.17	88.123	88.123	88.123	72.287	72.287	70.0	0.983	25.9713	2725.6136
101	stage_2	1	75.8	88.123	88.123	88.123	72.287	72.287	70.0	0.983	23.9324	2749.5543
102	stage_2	1	76.01	88.123	88.123	88.123	72.287	72.287	70.0	0.983	22.0892	2771.6526
103	stage_2	1	76.18	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.1947	2799.8565
104	stage_2	1	75.18	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.6965	2827.5616
105	stage_2	1	76.14	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.9752	2855.5490
106	stage_2	1	76.11	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.2742	2883.8309
107	stage_2	1	76.19	88.123	88.123	88.123	72.287	72.287	70.0	0.983	27.9607	2911.8011
108	stage_2	1	76.39	88.123	88.123	88.123	72.287	72.287	70.0	0.983	28.8034	2940.6137
109	stage_2	1	75.5	88.123	88.123	88.123	72.287	72.287	70.0	0.983	52.3892	2993.0159
110	stage_3	2	76.4	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.1290	3020.1563
111	stage_3	2	77.0	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.9797	3048.1448
112	stage_3	2	77.46	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5729	3075.7257
113	stage_3	2	77.46	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.0109	3103.7445
114	stage_3	2	77.47	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.0341	3131.7864
115	stage_3	2	76.89	91.003	91.003	91.003	79.007	79.007	70.0	0.981	29.0154	3160.8097
116	stage_3	2	77.96	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.6219	3188.4391
117	stage_3	2	77.6	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8669	3216.3137
118	stage_3	2	78.24	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.3707	3243.6970
119	stage_3	2	78.2	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.7077	3271.4125
120	stage_3	2	77.84	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.1018	3299.5219
121	stage_3	2	78.51	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.9439	3327.4752
122	stage_3	2	78.2	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.0212	3355.5057
123	stage_3	2	78.72	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.4320	3382.9454
124	stage_3	2	78.67	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.6590	3410.6161
125	stage_3	2	78.21	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8930	3438.5169
126	stage_3	2	78.18	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.7583	3466.2831
127	stage_3	2	78.65	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.4788	3493.7696
128	stage_3	2	78.8	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.1709	3521.9483
129	stage_3	2	78.8	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8218	3549.7780
130	stage_3	2	78.51	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8579	3577.6438
131	stage_3	2	79.02	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.2879	3605.9399
132	stage_3	2	78.67	91.003	91.003	91.003	79.007	79.007	70.0	0.981	25.1979	3631.1471
133	stage_3	2	79.49	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.4387	3658.5934
134	stage_3	2	79.36	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5627	3686.1641
135	stage_3	2	79.3	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.7940	3713.9684
136	stage_3	2	78.66	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.3717	3741.3491
137	stage_3	2	79.02	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.9981	3769.3550
138	stage_3	2	79.3	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.1742	3797.5376
139	stage_3	2	79.05	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.6171	3825.1623
140	stage_3	2	78.89	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5534	3852.7233
141	stage_3	2	79.11	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8113	3880.5434
142	stage_3	2	79.07	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5497	3908.1006
143	stage_3	2	79.31	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5423	3935.6514
144	stage_3	2	78.88	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.7622	3963.4213
145	stage_3	2	79.42	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5743	3991.0050
146	stage_3	2	79.41	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.5974	4018.6122
147	stage_3	2	79.7	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.6377	4046.2621
148	stage_3	2	79.47	91.003	91.003	91.003	79.007	79.007	70.0	0.981	21.7275	4067.9978
149	stage_3	2	79.73	91.003	91.003	91.003	79.007	79.007	70.0	0.981	26.7701	4094.7760
150	stage_3	2	79.85	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.4456	4123.2301
151	stage_3	2	79.74	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.7320	4150.9699
152	stage_3	2	79.65	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.2930	4178.2711
153	stage_3	2	79.48	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.8258	4206.1049
154	stage_3	2	79.41	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.0640	4234.1774
155	stage_3	2	79.45	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.4436	4261.6290
156	stage_3	2	80.01	91.003	91.003	91.003	79.007	79.007	70.0	0.981	28.0840	4289.7220
157	stage_3	2	79.94	91.003	91.003	91.003	79.007	79.007	70.0	0.981	27.4362	4317.1669
158	stage_3	2	79.87	91.003	91.003	91.003	79.007	79.007	70.0	0.981	25.2130	4342.3880
159	stage_3	2	79.98	91.003	91.003	91.003	79.007	79.007	70.0	0.981	41.9869	4384.3842
160	stage_4	3	80.73	89.691	89.691	89.691	75.947	75.947	70.0	0.981	28.6902	4413.0825
161	stage_4	3	81.38	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.4327	4440.5232
162	stage_4	3	81.31	89.691	89.691	89.691	75.947	75.947	70.0	0.981	28.1989	4468.7301
163	stage_4	3	81.99	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.8594	4496.5978
164	stage_4	3	81.64	89.691	89.691	89.691	75.947	75.947	70.0	0.981	28.0022	4524.6080
165	stage_4	3	81.83	89.691	89.691	89.691	75.947	75.947	70.0	0.981	28.8946	4553.5103
166	stage_4	3	81.0	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.3487	4580.8664
167	stage_4	3	81.67	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.8704	4608.7460
168	stage_4	3	81.41	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.7833	4636.5370
169	stage_4	3	81.65	89.691	89.691	89.691	75.947	75.947	70.0	0.981	28.3177	4664.8631
170	stage_4	3	82.01	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.9235	4692.7960
171	stage_4	3	81.67	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.4942	4720.2978
172	stage_4	3	81.25	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.6336	4747.9394
173	stage_4	3	81.48	89.691	89.691	89.691	75.947	75.947	70.0	0.981	27.5268	4775.4739
174	stage_4	3	81.61	89.691	89.691	89.691	75.947	75.947	70.0	0.981	24.0272	4799.5091
