epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	13.81	None	None	None	None	None	None	None	42.0567	42.0637
1	warmup	warmup	17.33	None	None	None	None	None	None	None	39.9745	82.0505
2	warmup	warmup	27.56	None	None	None	None	None	None	None	39.6670	121.7243
3	warmup	warmup	35.37	None	None	None	None	None	None	None	40.0170	161.7496
4	warmup	warmup	38.57	None	None	None	None	None	None	None	40.7079	202.4673
5	warmup	warmup	40.73	None	None	None	None	None	None	None	39.6681	242.1440
6	warmup	warmup	42.89	None	None	None	None	None	None	None	40.2757	282.4264
7	warmup	warmup	45.11	None	None	None	None	None	None	None	154.0154	436.4532
8	stage_1	0	36.85	85.56	85.56	73.337	53.34	71.12	60.0	0.986	27.5004	463.9623
9	stage_1	0	42.56	85.56	85.56	73.337	53.34	71.12	60.0	0.986	33.1612	497.1304
10	stage_1	0	44.17	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.7861	528.9248
11	stage_1	0	45.05	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.9260	560.8577
12	stage_1	0	45.09	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.4692	592.3352
13	stage_1	0	46.54	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.3342	623.6783
14	stage_1	0	48.84	85.56	85.56	73.337	53.34	71.12	60.0	0.986	33.3744	657.0611
15	stage_1	0	49.29	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.6100	688.6810
16	stage_1	0	49.67	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.3131	721.0031
17	stage_1	0	49.86	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.3592	753.3693
18	stage_1	0	50.66	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.0126	785.3911
19	stage_1	0	50.7	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.8451	818.2432
20	stage_1	0	51.62	85.56	85.56	73.337	53.34	71.12	60.0	0.986	33.4529	851.7050
21	stage_1	0	51.23	85.56	85.56	73.337	53.34	71.12	60.0	0.986	33.8498	885.5621
22	stage_1	0	51.13	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.1001	917.6720
23	stage_1	0	50.89	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.5037	949.1830
24	stage_1	0	53.01	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.4503	980.6420
25	stage_1	0	54.63	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.1300	1012.7791
26	stage_1	0	54.32	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.3113	1044.0992
27	stage_1	0	55.31	85.56	85.56	73.337	53.34	71.12	60.0	0.986	31.9649	1076.0715
28	stage_1	0	54.47	85.56	85.56	73.337	53.34	71.12	60.0	0.986	32.2205	1108.3009
29	stage_1	0	54.98	85.56	85.56	73.337	53.34	71.12	60.0	0.986	142.8870	1251.1969
30	stage_2	1	55.53	89.95	89.95	77.1	59.925	79.9	60.0	0.98	30.8532	1282.0590
31	stage_2	1	56.2	89.95	89.95	77.1	59.925	79.9	60.0	0.98	30.4932	1312.5594
32	stage_2	1	56.86	89.95	89.95	77.1	59.925	79.9	60.0	0.98	34.7083	1347.2785
33	stage_2	1	57.28	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.2745	1379.5605
34	stage_2	1	57.54	89.95	89.95	77.1	59.925	79.9	60.0	0.98	33.2696	1412.8442
35	stage_2	1	58.43	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.5346	1445.3889
36	stage_2	1	58.8	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.4131	1477.8110
37	stage_2	1	57.89	89.95	89.95	77.1	59.925	79.9	60.0	0.98	31.5918	1509.4101
38	stage_2	1	59.4	89.95	89.95	77.1	59.925	79.9	60.0	0.98	33.5783	1542.9969
39	stage_2	1	59.05	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.0655	1575.0698
40	stage_2	1	59.58	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.3479	1607.4272
41	stage_2	1	61.23	89.95	89.95	77.1	59.925	79.9	60.0	0.98	31.8363	1639.2708
42	stage_2	1	59.43	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.6458	1671.9253
43	stage_2	1	60.98	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.2433	1704.1758
44	stage_2	1	61.57	89.95	89.95	77.1	59.925	79.9	60.0	0.98	31.5634	1735.7478
45	stage_2	1	61.21	89.95	89.95	77.1	59.925	79.9	60.0	0.98	33.4585	1769.2136
46	stage_2	1	61.45	89.95	89.95	77.1	59.925	79.9	60.0	0.98	31.6427	1800.8653
47	stage_2	1	61.41	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.4354	1833.3083
48	stage_2	1	62.26	89.95	89.95	77.1	59.925	79.9	60.0	0.98	32.8166	1866.1339
