epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	48.9502	48.9571
1	warmup	warmup	19.11	None	None	None	None	None	None	None	48.5767	97.7711
2	warmup	warmup	28.99	None	None	None	None	None	None	None	51.3968	149.1742
3	warmup	warmup	32.98	None	None	None	None	None	None	None	48.4439	197.6248
4	warmup	warmup	37.21	None	None	None	None	None	None	None	48.9128	246.5458
5	warmup	warmup	37.72	None	None	None	None	None	None	None	48.9238	295.4775
6	warmup	warmup	41.2	None	None	None	None	None	None	None	49.2071	344.6906
7	warmup	warmup	42.15	None	None	None	None	None	None	None	110.9158	455.6140
8	stage_1	0	34.83	80.187	80.187	68.731	45.28	60.373	60.0	0.979	37.2690	492.8895
9	stage_1	0	39.28	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.7976	529.6937
10	stage_1	0	40.88	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.6582	566.3582
11	stage_1	0	41.68	80.187	80.187	68.731	45.28	60.373	60.0	0.979	37.2178	603.5837
12	stage_1	0	42.49	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.6753	640.2653
13	stage_1	0	43.45	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.8768	677.3253
14	stage_1	0	45.29	80.187	80.187	68.731	45.28	60.373	60.0	0.979	38.1531	715.4852
15	stage_1	0	45.84	80.187	80.187	68.731	45.28	60.373	60.0	0.979	37.1211	752.6135
16	stage_1	0	45.37	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.7679	789.3878
17	stage_1	0	46.02	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.8563	826.2535
18	stage_1	0	47.77	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.9346	863.1960
19	stage_1	0	47.76	80.187	80.187	68.731	45.28	60.373	60.0	0.979	36.6214	899.8253
20	stage_1	0	48.04	80.187	80.187	68.731	45.28	60.373	60.0	0.979	34.4067	934.2466
21	stage_1	0	48.75	80.187	80.187	68.731	45.28	60.373	60.0	0.979	35.3200	969.5910
