epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	27.8285	27.8353
1	warmup	warmup	19.37	None	None	None	None	None	None	None	26.1482	53.9919
2	warmup	warmup	29.09	None	None	None	None	None	None	None	26.1320	80.1307
3	warmup	warmup	35.1	None	None	None	None	None	None	None	26.4952	106.6326
4	warmup	warmup	39.0	None	None	None	None	None	None	None	26.3376	132.9775
5	warmup	warmup	39.84	None	None	None	None	None	None	None	26.2960	159.2798
6	warmup	warmup	42.28	None	None	None	None	None	None	None	26.3117	185.5978
7	warmup	warmup	43.94	None	None	None	None	None	None	None	98.9847	284.5890
8	stage_1	0	36.55	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.2258	323.8211
9	stage_1	0	40.62	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.4607	363.2884
10	stage_1	0	40.73	80.133	80.133	68.686	45.2	60.267	60.0	0.985	40.3538	403.6488
11	stage_1	0	42.76	80.133	80.133	68.686	45.2	60.267	60.0	0.985	40.9954	444.6505
12	stage_1	0	42.33	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.5867	484.2447
13	stage_1	0	44.03	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.8404	524.0916
14	stage_1	0	45.43	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.8823	563.9809
15	stage_1	0	45.34	80.133	80.133	68.686	45.2	60.267	60.0	0.985	39.6841	603.6787
16	stage_1	0	46.64	80.133	80.133	68.686	45.2	60.267	60.0	0.985	35.5454	639.2308
17	stage_1	0	45.71	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.3586	675.5961
18	stage_1	0	46.78	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.4790	712.0812
19	stage_1	0	46.08	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.7502	748.8384
20	stage_1	0	49.15	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.9899	785.8351
21	stage_1	0	47.12	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.6166	822.4588
22	stage_1	0	48.45	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.6759	859.2545
23	stage_1	0	49.68	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.8328	896.0941
24	stage_1	0	49.05	80.133	80.133	68.686	45.2	60.267	60.0	0.985	37.5648	933.6656
25	stage_1	0	50.97	80.133	80.133	68.686	45.2	60.267	60.0	0.985	37.2170	970.8893
26	stage_1	0	50.91	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.5919	1007.4891
27	stage_1	0	51.41	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.7147	1044.2105
28	stage_1	0	51.0	80.133	80.133	68.686	45.2	60.267	60.0	0.985	36.7545	1080.9733
