epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	warmup	warmup	10.0	None	None	None	None	None	None	None	254.0695	254.0784
1	warmup	warmup	13.85	None	None	None	None	None	None	None	253.9834	508.0698
2	warmup	warmup	20.62	None	None	None	None	None	None	None	255.0842	763.1610
3	warmup	warmup	28.65	None	None	None	None	None	None	None	255.5011	1018.6686
4	warmup	warmup	28.76	None	None	None	None	None	None	None	253.2038	1271.8804
5	warmup	warmup	36.58	None	None	None	None	None	None	None	253.5915	1525.4800
6	warmup	warmup	34.64	None	None	None	None	None	None	None	252.4781	1777.9664
7	warmup	warmup	35.77	None	None	None	None	None	None	None	254.6756	2032.6553
8	warmup	warmup	37.66	None	None	None	None	None	None	None	252.8699	2285.5333
9	warmup	warmup	34.63	None	None	None	None	None	None	None	253.0024	2538.5438
10	warmup	warmup	38.12	None	None	None	None	None	None	None	254.4336	2792.9855
11	warmup	warmup	37.88	None	None	None	None	None	None	None	255.6052	3048.5989
12	warmup	warmup	35.22	None	None	None	None	None	None	None	254.1826	3302.7895
13	warmup	warmup	39.92	None	None	None	None	None	None	None	255.3307	3558.1280
14	warmup	warmup	44.87	None	None	None	None	None	None	None	253.4211	3811.5574
15	warmup	warmup	44.83	None	None	None	None	None	None	None	252.8420	4064.4073
16	warmup	warmup	45.06	None	None	None	None	None	None	None	254.3544	4318.7733
17	warmup	warmup	45.51	None	None	None	None	None	None	None	254.6932	4573.4748
18	warmup	warmup	45.09	None	None	None	None	None	None	None	254.6662	4828.1493
19	warmup	warmup	44.65	None	None	None	None	None	None	None	323.7144	5151.8790
20	stage_1	0	45.66	49.647	49.647	89.364	46.82	9.364	90.0	0.976	243.8079	5395.6956
21	stage_1	0	42.65	49.647	49.647	89.364	46.82	9.364	90.0	0.976	244.6848	5640.3893
22	stage_1	0	41.03	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.1158	5885.5137
23	stage_1	0	44.03	49.647	49.647	89.364	46.82	9.364	90.0	0.976	243.3291	6128.8513
24	stage_1	0	43.24	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.5634	6374.4232
25	stage_1	0	40.91	49.647	49.647	89.364	46.82	9.364	90.0	0.976	242.7469	6617.1791
26	stage_1	0	41.73	49.647	49.647	89.364	46.82	9.364	90.0	0.976	243.1667	6860.3546
27	stage_1	0	43.05	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.0224	7105.3856
28	stage_1	0	43.34	49.647	49.647	89.364	46.82	9.364	90.0	0.976	243.5206	7348.9148
29	stage_1	0	43.94	49.647	49.647	89.364	46.82	9.364	90.0	0.976	243.4165	7592.3402
30	stage_1	0	42.85	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.7891	7838.1378
31	stage_1	0	43.28	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.0281	8083.1745
32	stage_1	0	44.22	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.7789	8328.9646
33	stage_1	0	42.11	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.0315	8574.0048
34	stage_1	0	42.56	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.2608	8819.2742
35	stage_1	0	45.63	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.0784	9064.3607
36	stage_1	0	42.12	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.7577	9310.1268
37	stage_1	0	43.1	49.647	49.647	89.364	46.82	9.364	90.0	0.976	245.1261	9555.2615
38	stage_1	0	41.2	49.647	49.647	89.364	46.82	9.364	90.0	0.976	301.9465	9857.2179
39	stage_2	1	41.73	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.1766	10056.4046
40	stage_2	1	42.91	49.929	49.929	69.9	49.833	29.9	70.0	0.977	200.6698	10257.0833
41	stage_2	1	42.58	49.929	49.929	69.9	49.833	29.9	70.0	0.977	198.4701	10455.5620
42	stage_2	1	42.81	49.929	49.929	69.9	49.833	29.9	70.0	0.977	200.0847	10655.6551
43	stage_2	1	42.5	49.929	49.929	69.9	49.833	29.9	70.0	0.977	198.3788	10854.0423
44	stage_2	1	42.14	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.8540	11053.9053
45	stage_2	1	39.32	49.929	49.929	69.9	49.833	29.9	70.0	0.977	200.0729	11253.9866
46	stage_2	1	40.83	49.929	49.929	69.9	49.833	29.9	70.0	0.977	200.6702	11454.6651
47	stage_2	1	40.67	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.6779	11654.3515
48	stage_2	1	41.39	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.2616	11853.6215
49	stage_2	1	41.14	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.0367	12052.6721
50	stage_2	1	41.17	49.929	49.929	69.9	49.833	29.9	70.0	0.977	198.5799	12251.2610
51	stage_2	1	39.37	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.7059	12450.9760
52	stage_2	1	43.09	49.929	49.929	69.9	49.833	29.9	70.0	0.977	198.2280	12649.2126
53	stage_2	1	42.18	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.1687	12848.3900
54	stage_2	1	42.08	49.929	49.929	69.9	49.833	29.9	70.0	0.977	199.0438	13047.4426
55	stage_2	1	40.57	49.929	49.929	69.9	49.833	29.9	70.0	0.977	200.9154	13248.3668
56	stage_2	1	41.58	49.929	49.929	69.9	49.833	29.9	70.0	0.977	198.7829	13447.1570
57	stage_2	1	41.29	49.929	49.929	69.9	49.833	29.9	70.0	0.977	238.6574	13685.8233
