========================================================================================================================
Training started at: 2026-04-08 04:07:58
Result directory: results/fl_cifar10/feddenoise_v3/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_wr-8_sr-22_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.4_drs-None
Result txt file : results/fl_cifar10/feddenoise_v3/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_wr-8_sr-22_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.4_drs-None/feddenoise_v3_fl_cifar10_20260408-040758-846904_pid1231288.txt
Result log file : results/fl_cifar10/feddenoise_v3/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_wr-8_sr-22_ts-4,3,2,1_tss-all_tsim-backbone_cosine_wm-backbone_only_dr-0.4_drs-None/feddenoise_v3_fl_cifar10_20260408-040758-846904_pid1231288.log
------------------------------------------------------------------------------------------------------------------------
Model: feddenoise_v3
Dataset: fl_cifar10
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 96
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
Warmup round: 8
Stage round: 22
Teacher schedule: 4,3,2,1
Teacher select strategy: all
Teacher similarity: backbone_cosine
Teacher score mode: teacher_mean
Warmup mode: backbone_only
Drop rate: 0.4
Drop rate schedule: None
Exclude self teacher: True
========================================================================================================================
[Round 001/096] Phase=warmup | Stage=warmup | Acc=11.190 | RoundTime=40.78s | TotalTime=40.78s | Method=feddenoise_v3
[Round 002/096] Phase=warmup | Stage=warmup | Acc=18.110 | RoundTime=41.96s | TotalTime=82.75s | Method=feddenoise_v3
[Round 003/096] Phase=warmup | Stage=warmup | Acc=31.170 | RoundTime=41.14s | TotalTime=123.90s | Method=feddenoise_v3
[Round 004/096] Phase=warmup | Stage=warmup | Acc=38.680 | RoundTime=39.68s | TotalTime=163.59s | Method=feddenoise_v3
[Round 005/096] Phase=warmup | Stage=warmup | Acc=41.210 | RoundTime=38.15s | TotalTime=201.74s | Method=feddenoise_v3
[Round 006/096] Phase=warmup | Stage=warmup | Acc=43.830 | RoundTime=39.44s | TotalTime=241.19s | Method=feddenoise_v3
[Round 007/096] Phase=warmup | Stage=warmup | Acc=46.130 | RoundTime=39.57s | TotalTime=280.77s | Method=feddenoise_v3
[Round 008/096] Phase=warmup | Stage=warmup | Acc=47.260 | RoundTime=153.04s | TotalTime=433.82s | Method=feddenoise_v3
[Round 009/096] Phase=stage_1 | Stage=0 | Acc=43.690 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.14s | TotalTime=465.96s | Method=feddenoise_v3
[Round 010/096] Phase=stage_1 | Stage=0 | Acc=47.200 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=31.91s | TotalTime=497.88s | Method=feddenoise_v3
[Round 011/096] Phase=stage_1 | Stage=0 | Acc=49.520 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.04s | TotalTime=529.93s | Method=feddenoise_v3
[Round 012/096] Phase=stage_1 | Stage=0 | Acc=50.250 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=31.35s | TotalTime=561.29s | Method=feddenoise_v3
[Round 013/096] Phase=stage_1 | Stage=0 | Acc=50.200 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.46s | TotalTime=593.76s | Method=feddenoise_v3
[Round 014/096] Phase=stage_1 | Stage=0 | Acc=51.930 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=33.30s | TotalTime=627.06s | Method=feddenoise_v3
[Round 015/096] Phase=stage_1 | Stage=0 | Acc=52.950 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=33.64s | TotalTime=660.71s | Method=feddenoise_v3
[Round 016/096] Phase=stage_1 | Stage=0 | Acc=54.530 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=33.25s | TotalTime=693.97s | Method=feddenoise_v3
[Round 017/096] Phase=stage_1 | Stage=0 | Acc=55.310 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.00s | TotalTime=725.98s | Method=feddenoise_v3
[Round 018/096] Phase=stage_1 | Stage=0 | Acc=54.980 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.39s | TotalTime=758.38s | Method=feddenoise_v3
[Round 019/096] Phase=stage_1 | Stage=0 | Acc=56.420 | StagePure=87.987 | CPrec=87.987 | CRec=75.417 | NPrec=56.980 | NRec=75.973 | Keep=60.000 | TSim=0.988 | RoundTime=32.02s | TotalTime=790.41s | Method=feddenoise_v3
