====================================================================================================
Training started at: 2026-03-12 11:03:31
Result directory: results/fl_cifar10/fedgloss
Result txt file : results/fl_cifar10/fedgloss/model=fedgloss_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-110331.txt
Result log file : results/fl_cifar10/fedgloss/model=fedgloss_dataset=fl_cifar10_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.01_alpha=0.5_drop=0.15_denoise=least_sim_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260312-110331.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=12.170 | RoundTime=27.86s | TotalTime=27.86s | Method=fedgloss
[Round 002/100] Acc=16.770 | RoundTime=27.07s | TotalTime=54.93s | Method=fedgloss
[Round 003/100] Acc=28.100 | RoundTime=27.21s | TotalTime=82.15s | Method=fedgloss
[Round 004/100] Acc=32.640 | RoundTime=27.83s | TotalTime=109.98s | Method=fedgloss
[Round 005/100] Acc=27.430 | RoundTime=27.08s | TotalTime=137.06s | Method=fedgloss
[Round 006/100] Acc=36.510 | RoundTime=27.63s | TotalTime=164.69s | Method=fedgloss
[Round 007/100] Acc=38.840 | RoundTime=27.36s | TotalTime=192.04s | Method=fedgloss
[Round 008/100] Acc=37.890 | RoundTime=27.63s | TotalTime=219.68s | Method=fedgloss
[Round 009/100] Acc=38.520 | RoundTime=27.69s | TotalTime=247.37s | Method=fedgloss
[Round 010/100] Acc=37.480 | RoundTime=27.91s | TotalTime=275.28s | Method=fedgloss
[Round 011/100] Acc=42.270 | RoundTime=28.64s | TotalTime=303.92s | Method=fedgloss
[Round 012/100] Acc=38.110 | RoundTime=28.07s | TotalTime=331.99s | Method=fedgloss
[Round 013/100] Acc=40.190 | RoundTime=28.11s | TotalTime=360.10s | Method=fedgloss
[Round 014/100] Acc=41.980 | RoundTime=28.38s | TotalTime=388.48s | Method=fedgloss
[Round 015/100] Acc=42.520 | RoundTime=27.67s | TotalTime=416.15s | Method=fedgloss
[Round 016/100] Acc=40.340 | RoundTime=29.17s | TotalTime=445.32s | Method=fedgloss
[Round 017/100] Acc=42.400 | RoundTime=32.92s | TotalTime=478.24s | Method=fedgloss
[Round 018/100] Acc=43.850 | RoundTime=32.18s | TotalTime=510.42s | Method=fedgloss
[Round 019/100] Acc=44.250 | RoundTime=32.76s | TotalTime=543.18s | Method=fedgloss
[Round 020/100] Acc=41.960 | RoundTime=33.20s | TotalTime=576.38s | Method=fedgloss
[Round 021/100] Acc=40.720 | RoundTime=33.40s | TotalTime=609.78s | Method=fedgloss
[Round 022/100] Acc=46.070 | RoundTime=32.79s | TotalTime=642.58s | Method=fedgloss
[Round 023/100] Acc=41.450 | RoundTime=33.18s | TotalTime=675.76s | Method=fedgloss
[Round 024/100] Acc=46.530 | RoundTime=33.36s | TotalTime=709.12s | Method=fedgloss
[Round 025/100] Acc=38.050 | RoundTime=33.34s | TotalTime=742.46s | Method=fedgloss
[Round 026/100] Acc=44.630 | RoundTime=32.02s | TotalTime=774.48s | Method=fedgloss
[Round 027/100] Acc=37.670 | RoundTime=33.09s | TotalTime=807.57s | Method=fedgloss
[Round 028/100] Acc=45.420 | RoundTime=34.14s | TotalTime=841.71s | Method=fedgloss
[Round 029/100] Acc=42.110 | RoundTime=33.50s | TotalTime=875.21s | Method=fedgloss
[Round 030/100] Acc=44.040 | RoundTime=34.08s | TotalTime=909.29s | Method=fedgloss
[Round 031/100] Acc=42.090 | RoundTime=35.07s | TotalTime=944.36s | Method=fedgloss
[Round 032/100] Acc=40.850 | RoundTime=33.34s | TotalTime=977.70s | Method=fedgloss
[Round 033/100] Acc=43.830 | RoundTime=33.79s | TotalTime=1011.49s | Method=fedgloss
[Round 034/100] Acc=41.960 | RoundTime=34.00s | TotalTime=1045.49s | Method=fedgloss
[Round 035/100] Acc=42.500 | RoundTime=34.57s | TotalTime=1080.06s | Method=fedgloss
[Round 036/100] Acc=41.960 | RoundTime=32.48s | TotalTime=1112.54s | Method=fedgloss
[Round 037/100] Acc=41.510 | RoundTime=33.00s | TotalTime=1145.55s | Method=fedgloss
[Round 038/100] Acc=40.830 | RoundTime=34.36s | TotalTime=1179.91s | Method=fedgloss
[Round 039/100] Acc=39.720 | RoundTime=34.15s | TotalTime=1214.06s | Method=fedgloss
[Round 040/100] Acc=39.630 | RoundTime=33.35s | TotalTime=1247.41s | Method=fedgloss
[Round 041/100] Acc=42.480 | RoundTime=34.98s | TotalTime=1282.39s | Method=fedgloss
[Round 042/100] Acc=42.990 | RoundTime=33.44s | TotalTime=1315.83s | Method=fedgloss
[Round 043/100] Acc=41.300 | RoundTime=32.86s | TotalTime=1348.69s | Method=fedgloss
[Round 044/100] Acc=40.570 | RoundTime=33.48s | TotalTime=1382.17s | Method=fedgloss
[Round 045/100] Acc=43.120 | RoundTime=33.42s | TotalTime=1415.59s | Method=fedgloss
[Round 046/100] Acc=35.710 | RoundTime=35.93s | TotalTime=1451.52s | Method=fedgloss
[Round 047/100] Acc=41.760 | RoundTime=34.67s | TotalTime=1486.19s | Method=fedgloss
[Round 048/100] Acc=40.660 | RoundTime=32.86s | TotalTime=1519.05s | Method=fedgloss
[Round 049/100] Acc=44.440 | RoundTime=32.60s | TotalTime=1551.65s | Method=fedgloss
[Round 050/100] Acc=41.030 | RoundTime=32.32s | TotalTime=1583.97s | Method=fedgloss
[Round 051/100] Acc=41.290 | RoundTime=31.98s | TotalTime=1615.96s | Method=fedgloss
[Round 052/100] Acc=44.970 | RoundTime=32.70s | TotalTime=1648.66s | Method=fedgloss
[Round 053/100] Acc=39.910 | RoundTime=31.73s | TotalTime=1680.38s | Method=fedgloss
[Round 054/100] Acc=40.300 | RoundTime=31.89s | TotalTime=1712.28s | Method=fedgloss
[Round 055/100] Acc=44.130 | RoundTime=31.72s | TotalTime=1743.99s | Method=fedgloss
[Round 056/100] Acc=43.930 | RoundTime=32.29s | TotalTime=1776.29s | Method=fedgloss
[Round 057/100] Acc=44.480 | RoundTime=32.88s | TotalTime=1809.17s | Method=fedgloss
[Round 058/100] Acc=40.220 | RoundTime=33.22s | TotalTime=1842.39s | Method=fedgloss
[Round 059/100] Acc=43.650 | RoundTime=33.56s | TotalTime=1875.95s | Method=fedgloss
[Round 060/100] Acc=41.580 | RoundTime=31.36s | TotalTime=1907.32s | Method=fedgloss
[Round 061/100] Acc=42.020 | RoundTime=32.89s | TotalTime=1940.21s | Method=fedgloss
[Round 062/100] Acc=38.360 | RoundTime=31.49s | TotalTime=1971.70s | Method=fedgloss
[Round 063/100] Acc=42.560 | RoundTime=32.28s | TotalTime=2003.98s | Method=fedgloss
[Round 064/100] Acc=45.240 | RoundTime=32.10s | TotalTime=2036.08s | Method=fedgloss
[Round 065/100] Acc=39.400 | RoundTime=31.62s | TotalTime=2067.69s | Method=fedgloss
[Round 066/100] Acc=40.770 | RoundTime=33.14s | TotalTime=2100.83s | Method=fedgloss
[Round 067/100] Acc=44.290 | RoundTime=32.30s | TotalTime=2133.13s | Method=fedgloss
[Round 068/100] Acc=43.580 | RoundTime=32.98s | TotalTime=2166.11s | Method=fedgloss
[Round 069/100] Acc=42.670 | RoundTime=33.29s | TotalTime=2199.41s | Method=fedgloss
[Round 070/100] Acc=43.830 | RoundTime=30.65s | TotalTime=2230.06s | Method=fedgloss
[Round 071/100] Acc=41.580 | RoundTime=31.79s | TotalTime=2261.85s | Method=fedgloss
[Round 072/100] Acc=42.780 | RoundTime=33.08s | TotalTime=2294.93s | Method=fedgloss
[Round 073/100] Acc=42.650 | RoundTime=32.61s | TotalTime=2327.54s | Method=fedgloss
[Round 074/100] Acc=43.350 | RoundTime=31.28s | TotalTime=2358.82s | Method=fedgloss
[Round 075/100] Acc=43.430 | RoundTime=31.44s | TotalTime=2390.26s | Method=fedgloss
[Round 076/100] Acc=43.500 | RoundTime=31.56s | TotalTime=2421.82s | Method=fedgloss
[Round 077/100] Acc=43.400 | RoundTime=33.11s | TotalTime=2454.93s | Method=fedgloss
[Round 078/100] Acc=46.010 | RoundTime=32.88s | TotalTime=2487.81s | Method=fedgloss
[Round 079/100] Acc=43.340 | RoundTime=32.23s | TotalTime=2520.04s | Method=fedgloss
[Round 080/100] Acc=44.750 | RoundTime=32.64s | TotalTime=2552.68s | Method=fedgloss
[Round 081/100] Acc=44.980 | RoundTime=31.76s | TotalTime=2584.44s | Method=fedgloss
[Round 082/100] Acc=41.910 | RoundTime=33.53s | TotalTime=2617.97s | Method=fedgloss
[Round 083/100] Acc=44.010 | RoundTime=31.91s | TotalTime=2649.88s | Method=fedgloss
[Round 084/100] Acc=44.140 | RoundTime=31.43s | TotalTime=2681.32s | Method=fedgloss
