====================================================================================================
Training started at: 2026-03-14 08:38:49
Result directory: results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3/fedgloss_fl_cifar10_20260314-083849.txt
Result log file : results/fl_cifar10/fedgloss/pm-dir_a-0.1_nm-uni_nr-0.3/fedgloss_fl_cifar10_20260314-083849.log
----------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 1.0
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=100.02s | TotalTime=100.02s | Method=fedgloss
[Round 002/100] Acc=11.360 | RoundTime=81.94s | TotalTime=181.96s | Method=fedgloss
[Round 003/100] Acc=10.100 | RoundTime=52.27s | TotalTime=234.23s | Method=fedgloss
[Round 004/100] Acc=11.310 | RoundTime=50.78s | TotalTime=285.02s | Method=fedgloss
[Round 005/100] Acc=10.000 | RoundTime=50.66s | TotalTime=335.68s | Method=fedgloss
[Round 006/100] Acc=10.920 | RoundTime=50.55s | TotalTime=386.23s | Method=fedgloss
[Round 007/100] Acc=12.230 | RoundTime=50.60s | TotalTime=436.82s | Method=fedgloss
[Round 008/100] Acc=12.950 | RoundTime=50.60s | TotalTime=487.43s | Method=fedgloss
[Round 009/100] Acc=10.010 | RoundTime=51.43s | TotalTime=538.86s | Method=fedgloss
[Round 010/100] Acc=10.000 | RoundTime=51.10s | TotalTime=589.96s | Method=fedgloss
[Round 011/100] Acc=15.040 | RoundTime=51.76s | TotalTime=641.72s | Method=fedgloss
[Round 012/100] Acc=10.010 | RoundTime=51.37s | TotalTime=693.08s | Method=fedgloss
