epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	10.01	None	None	None	None	None	None	None	151.7265	151.7334
1	standard	warmup	20.6	None	None	None	None	None	None	None	161.3027	313.0460
2	standard	warmup	30.12	None	None	None	None	None	None	None	163.0273	476.0823
3	standard	warmup	41.47	None	None	None	None	None	None	None	161.7532	637.8433
4	standard	warmup	44.32	None	None	None	None	None	None	None	161.8662	799.7172
5	standard	warmup	47.48	None	None	None	None	None	None	None	163.4445	963.1693
6	standard	warmup	49.6	None	None	None	None	None	None	None	161.4111	1124.5884
7	standard	warmup	52.58	None	None	None	None	None	None	None	160.3202	1284.9176
8	standard	warmup	53.68	None	None	None	None	None	None	None	161.7549	1446.6821
9	standard	warmup	55.56	None	None	None	None	None	None	None	161.7381	1608.4296
10	standard	warmup	56.98	None	None	None	None	None	None	None	161.0824	1769.5196
11	standard	warmup	57.89	None	None	None	None	None	None	None	162.1981	1931.7253
12	standard	warmup	58.84	None	None	None	None	None	None	None	161.7057	2093.4389
13	standard	warmup	60.01	None	None	None	None	None	None	None	162.7491	2256.1961
14	standard	warmup	61.51	None	None	None	None	None	None	None	162.7534	2418.9576
15	standard	warmup	62.06	None	None	None	None	None	None	None	161.7389	2580.7055
16	standard	warmup	63.08	None	None	None	None	None	None	None	161.4136	2742.1256
17	standard	warmup	63.4	None	None	None	None	None	None	None	160.7660	2902.8978
18	standard	warmup	64.04	None	None	None	None	None	None	None	160.0665	3062.9710
19	standard	warmup	64.64	None	None	None	None	None	None	None	163.4837	3226.4628
20	standard	warmup	64.56	None	None	None	None	None	None	None	161.4721	3387.9418
21	standard	warmup	65.04	None	None	None	None	None	None	None	161.6384	3549.5867
