epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	9.87	None	None	None	None	None	None	None	200.3015	200.3102
1	standard	warmup	17.89	None	None	None	None	None	None	None	204.5640	404.8824
2	standard	warmup	29.46	None	None	None	None	None	None	None	200.9916	605.8807
3	standard	warmup	37.06	None	None	None	None	None	None	None	202.0006	807.8878
4	standard	warmup	36.95	None	None	None	None	None	None	None	220.3972	1028.2920
5	standard	warmup	34.33	None	None	None	None	None	None	None	401.7541	1430.0531
6	standard	warmup	38.26	None	None	None	None	None	None	None	397.7071	1827.7672
7	standard	warmup	36.25	None	None	None	None	None	None	None	401.0316	2228.8072
8	standard	warmup	34.92	None	None	None	None	None	None	None	401.6825	2630.4979
9	standard	warmup	34.92	None	None	None	None	None	None	None	401.1670	3031.6733
10	standard	warmup	39.68	None	None	None	None	None	None	None	402.9074	3434.5906
11	standard	warmup	40.13	None	None	None	None	None	None	None	400.6733	3835.2722
12	standard	warmup	40.26	None	None	None	None	None	None	None	399.8276	4235.1080
13	standard	warmup	36.72	None	None	None	None	None	None	None	399.4462	4634.5625
14	standard	warmup	39.68	None	None	None	None	None	None	None	402.5595	5037.1300
15	standard	warmup	43.01	None	None	None	None	None	None	None	400.3243	5437.4628
16	standard	warmup	42.03	None	None	None	None	None	None	None	399.9451	5837.4161
17	standard	warmup	43.33	None	None	None	None	None	None	None	390.8726	6228.2969
18	standard	warmup	42.24	None	None	None	None	None	None	None	392.0440	6620.3491
19	standard	warmup	45.99	None	None	None	None	None	None	None	392.4157	7012.7731
20	standard	warmup	44.93	None	None	None	None	None	None	None	391.8946	7404.6762
21	standard	warmup	45.04	None	None	None	None	None	None	None	393.2869	7797.9714
22	standard	warmup	42.88	None	None	None	None	None	None	None	391.6975	8189.6770
23	standard	warmup	46.29	None	None	None	None	None	None	None	392.7841	8582.4693
24	standard	warmup	44.36	None	None	None	None	None	None	None	392.3845	8974.8628
25	standard	warmup	44.56	None	None	None	None	None	None	None	390.2140	9365.0856
26	standard	warmup	40.64	None	None	None	None	None	None	None	393.6199	9758.7142
27	standard	warmup	45.12	None	None	None	None	None	None	None	391.8923	10150.6149
28	standard	warmup	42.9	None	None	None	None	None	None	None	391.4341	10542.0574
29	standard	warmup	41.5	None	None	None	None	None	None	None	381.6103	10923.6764
30	standard	warmup	44.15	None	None	None	None	None	None	None	384.6690	11308.3541
31	standard	warmup	44.36	None	None	None	None	None	None	None	385.3634	11693.7261
32	standard	warmup	41.52	None	None	None	None	None	None	None	385.2006	12078.9369
33	standard	warmup	43.29	None	None	None	None	None	None	None	382.9742	12461.9212
34	standard	warmup	45.07	None	None	None	None	None	None	None	385.2592	12847.1889
35	standard	warmup	44.62	None	None	None	None	None	None	None	386.6940	13233.8930
36	standard	warmup	46.73	None	None	None	None	None	None	None	385.7945	13619.6961
37	standard	warmup	45.78	None	None	None	None	None	None	None	385.9451	14005.6513
38	standard	warmup	46.66	None	None	None	None	None	None	None	384.3338	14389.9951
39	standard	warmup	44.24	None	None	None	None	None	None	None	373.6131	14763.6167
