====================================================================================================
Training started at: 2026-03-13 12:27:41
Result directory: results/fl_cifar10/fedprox
Result txt file : results/fl_cifar10/fedprox/model=fedprox_dataset=fl_cifar10_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-122741.txt
Result log file : results/fl_cifar10/fedprox/model=fedprox_dataset=fl_cifar10_structure=homogeneity_bs=64_lr=0.01_dirAlpha=0.8_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_mu=0.01_20260313-122741.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=11.740 | RoundTime=44.35s | TotalTime=44.35s | Method=fedprox
[Round 002/100] Acc=23.450 | RoundTime=43.48s | TotalTime=87.82s | Method=fedprox
[Round 003/100] Acc=36.030 | RoundTime=43.47s | TotalTime=131.30s | Method=fedprox
[Round 004/100] Acc=44.860 | RoundTime=43.42s | TotalTime=174.71s | Method=fedprox
[Round 005/100] Acc=41.450 | RoundTime=44.21s | TotalTime=218.93s | Method=fedprox
[Round 006/100] Acc=46.390 | RoundTime=45.41s | TotalTime=264.33s | Method=fedprox
[Round 007/100] Acc=46.180 | RoundTime=45.17s | TotalTime=309.50s | Method=fedprox
[Round 008/100] Acc=48.110 | RoundTime=45.16s | TotalTime=354.66s | Method=fedprox
[Round 009/100] Acc=46.540 | RoundTime=45.47s | TotalTime=400.14s | Method=fedprox
[Round 010/100] Acc=44.850 | RoundTime=46.02s | TotalTime=446.15s | Method=fedprox
[Round 011/100] Acc=49.270 | RoundTime=46.36s | TotalTime=492.51s | Method=fedprox
[Round 012/100] Acc=47.980 | RoundTime=46.96s | TotalTime=539.48s | Method=fedprox
[Round 013/100] Acc=47.320 | RoundTime=46.11s | TotalTime=585.59s | Method=fedprox
[Round 014/100] Acc=43.930 | RoundTime=46.27s | TotalTime=631.87s | Method=fedprox
[Round 015/100] Acc=49.880 | RoundTime=46.59s | TotalTime=678.46s | Method=fedprox
[Round 016/100] Acc=49.100 | RoundTime=47.03s | TotalTime=725.49s | Method=fedprox
[Round 017/100] Acc=47.940 | RoundTime=46.96s | TotalTime=772.45s | Method=fedprox
[Round 018/100] Acc=50.950 | RoundTime=46.24s | TotalTime=818.69s | Method=fedprox
[Round 019/100] Acc=47.180 | RoundTime=46.29s | TotalTime=864.98s | Method=fedprox
[Round 020/100] Acc=50.780 | RoundTime=46.52s | TotalTime=911.50s | Method=fedprox
[Round 021/100] Acc=50.060 | RoundTime=47.89s | TotalTime=959.39s | Method=fedprox
[Round 022/100] Acc=49.020 | RoundTime=46.24s | TotalTime=1005.63s | Method=fedprox
[Round 023/100] Acc=49.930 | RoundTime=46.75s | TotalTime=1052.38s | Method=fedprox
[Round 024/100] Acc=47.840 | RoundTime=47.04s | TotalTime=1099.42s | Method=fedprox
[Round 025/100] Acc=51.200 | RoundTime=46.96s | TotalTime=1146.37s | Method=fedprox
[Round 026/100] Acc=53.540 | RoundTime=47.10s | TotalTime=1193.48s | Method=fedprox
[Round 027/100] Acc=48.720 | RoundTime=46.76s | TotalTime=1240.23s | Method=fedprox
[Round 028/100] Acc=53.940 | RoundTime=47.18s | TotalTime=1287.41s | Method=fedprox
[Round 029/100] Acc=52.400 | RoundTime=47.07s | TotalTime=1334.48s | Method=fedprox
[Round 030/100] Acc=51.310 | RoundTime=46.76s | TotalTime=1381.23s | Method=fedprox
[Round 031/100] Acc=50.170 | RoundTime=47.17s | TotalTime=1428.40s | Method=fedprox
[Round 032/100] Acc=50.250 | RoundTime=46.65s | TotalTime=1475.04s | Method=fedprox
[Round 033/100] Acc=48.050 | RoundTime=47.26s | TotalTime=1522.30s | Method=fedprox
[Round 034/100] Acc=48.930 | RoundTime=46.39s | TotalTime=1568.69s | Method=fedprox
[Round 035/100] Acc=49.860 | RoundTime=45.92s | TotalTime=1614.61s | Method=fedprox
[Round 036/100] Acc=50.550 | RoundTime=46.55s | TotalTime=1661.16s | Method=fedprox
[Round 037/100] Acc=51.310 | RoundTime=46.23s | TotalTime=1707.39s | Method=fedprox
[Round 038/100] Acc=53.960 | RoundTime=46.46s | TotalTime=1753.85s | Method=fedprox
[Round 039/100] Acc=49.740 | RoundTime=46.75s | TotalTime=1800.60s | Method=fedprox
[Round 040/100] Acc=52.450 | RoundTime=45.83s | TotalTime=1846.43s | Method=fedprox
[Round 041/100] Acc=49.710 | RoundTime=46.81s | TotalTime=1893.23s | Method=fedprox
[Round 042/100] Acc=52.580 | RoundTime=46.25s | TotalTime=1939.48s | Method=fedprox
[Round 043/100] Acc=52.100 | RoundTime=46.73s | TotalTime=1986.21s | Method=fedprox
[Round 044/100] Acc=52.290 | RoundTime=46.00s | TotalTime=2032.21s | Method=fedprox
[Round 045/100] Acc=55.030 | RoundTime=46.07s | TotalTime=2078.28s | Method=fedprox
[Round 046/100] Acc=52.050 | RoundTime=46.44s | TotalTime=2124.72s | Method=fedprox
[Round 047/100] Acc=49.670 | RoundTime=46.53s | TotalTime=2171.25s | Method=fedprox
[Round 048/100] Acc=51.090 | RoundTime=46.78s | TotalTime=2218.03s | Method=fedprox
[Round 049/100] Acc=49.910 | RoundTime=46.37s | TotalTime=2264.39s | Method=fedprox
[Round 050/100] Acc=48.940 | RoundTime=46.12s | TotalTime=2310.51s | Method=fedprox
[Round 051/100] Acc=54.410 | RoundTime=45.99s | TotalTime=2356.51s | Method=fedprox
[Round 052/100] Acc=52.260 | RoundTime=47.24s | TotalTime=2403.75s | Method=fedprox
[Round 053/100] Acc=54.190 | RoundTime=46.49s | TotalTime=2450.24s | Method=fedprox
[Round 054/100] Acc=51.720 | RoundTime=45.95s | TotalTime=2496.19s | Method=fedprox
[Round 055/100] Acc=51.420 | RoundTime=46.32s | TotalTime=2542.51s | Method=fedprox
[Round 056/100] Acc=51.110 | RoundTime=46.38s | TotalTime=2588.90s | Method=fedprox
[Round 057/100] Acc=51.840 | RoundTime=46.66s | TotalTime=2635.56s | Method=fedprox
[Round 058/100] Acc=54.130 | RoundTime=46.25s | TotalTime=2681.81s | Method=fedprox
[Round 059/100] Acc=53.010 | RoundTime=45.80s | TotalTime=2727.61s | Method=fedprox
[Round 060/100] Acc=52.210 | RoundTime=46.58s | TotalTime=2774.19s | Method=fedprox
[Round 061/100] Acc=50.580 | RoundTime=45.95s | TotalTime=2820.14s | Method=fedprox
[Round 062/100] Acc=53.320 | RoundTime=45.04s | TotalTime=2865.19s | Method=fedprox
[Round 063/100] Acc=48.860 | RoundTime=45.56s | TotalTime=2910.75s | Method=fedprox
[Round 064/100] Acc=50.890 | RoundTime=45.40s | TotalTime=2956.15s | Method=fedprox
[Round 065/100] Acc=49.080 | RoundTime=45.41s | TotalTime=3001.56s | Method=fedprox
[Round 066/100] Acc=51.850 | RoundTime=45.98s | TotalTime=3047.54s | Method=fedprox
[Round 067/100] Acc=50.920 | RoundTime=45.19s | TotalTime=3092.73s | Method=fedprox
[Round 068/100] Acc=51.820 | RoundTime=45.32s | TotalTime=3138.05s | Method=fedprox
[Round 069/100] Acc=48.750 | RoundTime=45.67s | TotalTime=3183.72s | Method=fedprox
[Round 070/100] Acc=52.840 | RoundTime=45.27s | TotalTime=3228.99s | Method=fedprox
[Round 071/100] Acc=53.530 | RoundTime=45.67s | TotalTime=3274.66s | Method=fedprox
[Round 072/100] Acc=51.740 | RoundTime=45.86s | TotalTime=3320.52s | Method=fedprox
[Round 073/100] Acc=53.370 | RoundTime=45.28s | TotalTime=3365.79s | Method=fedprox
[Round 074/100] Acc=51.750 | RoundTime=46.02s | TotalTime=3411.82s | Method=fedprox
[Round 075/100] Acc=52.760 | RoundTime=45.44s | TotalTime=3457.26s | Method=fedprox
[Round 076/100] Acc=52.200 | RoundTime=46.61s | TotalTime=3503.87s | Method=fedprox
[Round 077/100] Acc=51.880 | RoundTime=45.97s | TotalTime=3549.84s | Method=fedprox
[Round 078/100] Acc=48.300 | RoundTime=45.44s | TotalTime=3595.28s | Method=fedprox
[Round 079/100] Acc=53.270 | RoundTime=46.00s | TotalTime=3641.28s | Method=fedprox
[Round 080/100] Acc=54.070 | RoundTime=45.88s | TotalTime=3687.17s | Method=fedprox
[Round 081/100] Acc=50.320 | RoundTime=46.13s | TotalTime=3733.30s | Method=fedprox
