epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	None	30.5178	30.5180
1	15.01	None	28.9445	59.4628
2	30.3	None	29.3863	88.8495
3	34.71	None	29.1015	117.9513
4	37.27	None	29.6660	147.6175
5	32.78	None	29.6271	177.2449
6	35.63	None	29.6637	206.9090
7	38.4	None	29.8532	236.7625
8	39.48	None	29.8929	266.6557
9	41.4	None	29.7317	296.3878
10	38.94	None	29.8367	326.2247
11	32.39	None	29.9196	356.1446
12	36.93	None	30.0865	386.2314
13	37.89	None	30.0617	416.2936
14	38.76	None	29.8851	446.1789
15	40.33	None	30.5810	476.7603
16	40.07	None	30.0348	506.7953
17	41.73	None	30.1332	536.9288
18	40.9	None	30.0642	566.9932
19	37.04	None	30.1036	597.0971
20	39.86	None	29.9133	627.0107
21	37.06	None	30.3628	657.3738
22	44.22	None	30.2879	687.6621
23	38.14	None	30.3780	718.0403
24	40.9	None	30.1152	748.1558
25	40.87	None	30.1648	778.3209
26	42.96	None	30.3393	808.6606
27	41.89	None	30.2659	838.9268
28	44.9	None	30.2622	869.1893
29	41.26	None	30.3087	899.4983
30	46.98	None	30.2133	929.7119
31	43.62	None	30.3744	960.0866
32	40.46	None	30.7931	990.8801
33	39.37	None	30.3774	1021.2577
34	43.89	None	30.7413	1051.9993
35	45.41	None	30.7972	1082.7970
36	43.15	None	30.9801	1113.7773
37	43.88	None	30.6185	1144.3961
38	38.6	None	30.8576	1175.2540
39	41.5	None	30.7824	1206.0367
40	42.77	None	30.9054	1236.9424
41	43.5	None	30.8886	1267.8312
42	39.93	None	30.8495	1298.6812
43	42.16	None	30.7289	1329.4103
44	41.11	None	30.8904	1360.3011
45	46.67	None	30.8939	1391.1953
46	43.76	None	30.5188	1421.7143
47	41.41	None	30.4193	1452.1340
48	38.57	None	30.9068	1483.0411
49	45.59	None	30.8116	1513.8531
50	44.26	None	30.7135	1544.5669
51	38.65	None	30.7089	1575.2761
52	41.76	None	30.8108	1606.0872
53	46.47	None	30.8410	1636.9285
54	40.34	None	30.6983	1667.6272
55	39.02	None	30.7935	1698.4209
56	43.08	None	30.9034	1729.3246
57	42.53	None	30.7830	1760.1079
58	40.0	None	30.8316	1790.9398
59	40.61	None	30.4921	1821.4322
60	40.35	None	30.8328	1852.2652
61	45.66	None	30.9166	1883.1821
62	44.07	None	31.0648	1914.2472
63	39.9	None	30.6452	1944.8927
64	41.85	None	30.6775	1975.5705
65	43.38	None	30.7407	2006.3138
66	43.37	None	30.8940	2037.2081
67	42.58	None	30.7454	2067.9538
68	43.23	None	30.6838	2098.6379
69	43.03	None	30.8518	2129.4900
70	44.13	None	31.1827	2160.6731
71	42.65	None	30.9843	2191.6577
72	43.19	None	30.8830	2222.5410
73	41.54	None	30.8087	2253.3500
74	41.27	None	30.5936	2283.9441
75	44.16	None	30.2494	2314.1937
76	39.97	None	29.9952	2344.1894
77	43.08	None	30.1985	2374.3882
78	41.8	None	30.0005	2404.3890
79	42.4	None	29.7831	2434.1725
80	44.61	None	30.0027	2464.1754
81	41.87	None	29.8911	2494.0668
82	45.15	None	29.9448	2524.0119
83	41.95	None	30.5420	2554.5543
84	41.37	None	30.4921	2585.0467
85	41.12	None	30.9332	2615.9802
86	40.48	None	31.3538	2647.3343
87	44.91	None	33.0289	2680.3635
88	44.29	None	38.5551	2718.9189
89	43.56	None	37.9849	2756.9042
90	44.57	None	37.6810	2794.5855
91	41.9	None	39.3094	2833.8953
92	45.59	None	39.9721	2873.8677
93	42.78	None	37.8836	2911.7517
94	41.06	None	37.8001	2949.5521
95	43.0	None	38.4450	2987.9974
96	44.66	None	38.2999	3026.2976
97	44.41	None	38.2275	3064.5256
98	42.04	None	38.6054	3103.1315
99	45.97	None	38.2818	3141.4135
