====================================================================================================
Training started at: 2026-03-14 07:18:25
Result directory: results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-071825.txt
Result log file : results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-071825.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.000 | RoundTime=48.88s | TotalTime=48.88s | Method=fedprox
[Round 002/100] Acc=16.280 | RoundTime=47.79s | TotalTime=96.67s | Method=fedprox
[Round 003/100] Acc=21.560 | RoundTime=47.93s | TotalTime=144.60s | Method=fedprox
[Round 004/100] Acc=27.750 | RoundTime=48.70s | TotalTime=193.30s | Method=fedprox
[Round 005/100] Acc=25.180 | RoundTime=49.01s | TotalTime=242.31s | Method=fedprox
[Round 006/100] Acc=21.790 | RoundTime=49.56s | TotalTime=291.87s | Method=fedprox
[Round 007/100] Acc=30.640 | RoundTime=49.08s | TotalTime=340.94s | Method=fedprox
[Round 008/100] Acc=28.780 | RoundTime=48.43s | TotalTime=389.37s | Method=fedprox
[Round 009/100] Acc=25.560 | RoundTime=48.99s | TotalTime=438.36s | Method=fedprox
[Round 010/100] Acc=28.340 | RoundTime=49.07s | TotalTime=487.43s | Method=fedprox
[Round 011/100] Acc=32.920 | RoundTime=48.98s | TotalTime=536.41s | Method=fedprox
[Round 012/100] Acc=31.540 | RoundTime=48.98s | TotalTime=585.39s | Method=fedprox
[Round 013/100] Acc=28.210 | RoundTime=49.77s | TotalTime=635.17s | Method=fedprox
[Round 014/100] Acc=22.410 | RoundTime=48.98s | TotalTime=684.15s | Method=fedprox
[Round 015/100] Acc=29.120 | RoundTime=48.85s | TotalTime=733.00s | Method=fedprox
[Round 016/100] Acc=31.730 | RoundTime=49.25s | TotalTime=782.24s | Method=fedprox
[Round 017/100] Acc=26.990 | RoundTime=49.36s | TotalTime=831.60s | Method=fedprox
[Round 018/100] Acc=29.450 | RoundTime=48.65s | TotalTime=880.25s | Method=fedprox
[Round 019/100] Acc=31.150 | RoundTime=48.63s | TotalTime=928.89s | Method=fedprox
[Round 020/100] Acc=30.270 | RoundTime=49.01s | TotalTime=977.90s | Method=fedprox
[Round 021/100] Acc=28.420 | RoundTime=49.06s | TotalTime=1026.96s | Method=fedprox
[Round 022/100] Acc=32.420 | RoundTime=49.23s | TotalTime=1076.19s | Method=fedprox
[Round 023/100] Acc=30.090 | RoundTime=48.58s | TotalTime=1124.77s | Method=fedprox
[Round 024/100] Acc=32.600 | RoundTime=48.99s | TotalTime=1173.76s | Method=fedprox
[Round 025/100] Acc=27.050 | RoundTime=49.28s | TotalTime=1223.04s | Method=fedprox
[Round 026/100] Acc=29.080 | RoundTime=48.66s | TotalTime=1271.70s | Method=fedprox
[Round 027/100] Acc=30.750 | RoundTime=49.30s | TotalTime=1321.00s | Method=fedprox
[Round 028/100] Acc=25.120 | RoundTime=49.12s | TotalTime=1370.12s | Method=fedprox
[Round 029/100] Acc=30.910 | RoundTime=48.64s | TotalTime=1418.76s | Method=fedprox
[Round 030/100] Acc=29.440 | RoundTime=49.22s | TotalTime=1467.98s | Method=fedprox
[Round 031/100] Acc=30.530 | RoundTime=48.84s | TotalTime=1516.82s | Method=fedprox
[Round 032/100] Acc=30.380 | RoundTime=49.04s | TotalTime=1565.86s | Method=fedprox
[Round 033/100] Acc=32.080 | RoundTime=49.07s | TotalTime=1614.93s | Method=fedprox
[Round 034/100] Acc=35.210 | RoundTime=49.14s | TotalTime=1664.08s | Method=fedprox
[Round 035/100] Acc=35.520 | RoundTime=48.74s | TotalTime=1712.81s | Method=fedprox
[Round 036/100] Acc=30.970 | RoundTime=48.63s | TotalTime=1761.44s | Method=fedprox
[Round 037/100] Acc=27.430 | RoundTime=49.03s | TotalTime=1810.47s | Method=fedprox
[Round 038/100] Acc=31.040 | RoundTime=49.53s | TotalTime=1860.00s | Method=fedprox
[Round 039/100] Acc=31.050 | RoundTime=49.15s | TotalTime=1909.15s | Method=fedprox
[Round 040/100] Acc=31.780 | RoundTime=49.16s | TotalTime=1958.31s | Method=fedprox
[Round 041/100] Acc=32.120 | RoundTime=49.43s | TotalTime=2007.74s | Method=fedprox
[Round 042/100] Acc=36.370 | RoundTime=48.61s | TotalTime=2056.35s | Method=fedprox
[Round 043/100] Acc=32.340 | RoundTime=48.84s | TotalTime=2105.20s | Method=fedprox
[Round 044/100] Acc=33.920 | RoundTime=49.21s | TotalTime=2154.41s | Method=fedprox
[Round 045/100] Acc=35.860 | RoundTime=48.78s | TotalTime=2203.19s | Method=fedprox
[Round 046/100] Acc=29.130 | RoundTime=49.14s | TotalTime=2252.33s | Method=fedprox
[Round 047/100] Acc=25.080 | RoundTime=48.82s | TotalTime=2301.15s | Method=fedprox
[Round 048/100] Acc=33.270 | RoundTime=48.52s | TotalTime=2349.67s | Method=fedprox
[Round 049/100] Acc=31.010 | RoundTime=48.48s | TotalTime=2398.14s | Method=fedprox
[Round 050/100] Acc=34.390 | RoundTime=48.52s | TotalTime=2446.67s | Method=fedprox
[Round 051/100] Acc=33.190 | RoundTime=48.74s | TotalTime=2495.41s | Method=fedprox
[Round 052/100] Acc=26.800 | RoundTime=49.14s | TotalTime=2544.55s | Method=fedprox
[Round 053/100] Acc=32.700 | RoundTime=48.76s | TotalTime=2593.31s | Method=fedprox
[Round 054/100] Acc=31.580 | RoundTime=49.27s | TotalTime=2642.58s | Method=fedprox
[Round 055/100] Acc=34.390 | RoundTime=48.88s | TotalTime=2691.47s | Method=fedprox
[Round 056/100] Acc=32.850 | RoundTime=48.85s | TotalTime=2740.32s | Method=fedprox
[Round 057/100] Acc=32.290 | RoundTime=48.86s | TotalTime=2789.18s | Method=fedprox
[Round 058/100] Acc=32.530 | RoundTime=48.92s | TotalTime=2838.10s | Method=fedprox
[Round 059/100] Acc=32.240 | RoundTime=48.59s | TotalTime=2886.69s | Method=fedprox
[Round 060/100] Acc=34.440 | RoundTime=49.90s | TotalTime=2936.59s | Method=fedprox
[Round 061/100] Acc=30.560 | RoundTime=49.36s | TotalTime=2985.95s | Method=fedprox
[Round 062/100] Acc=37.400 | RoundTime=48.61s | TotalTime=3034.57s | Method=fedprox
[Round 063/100] Acc=35.940 | RoundTime=49.05s | TotalTime=3083.61s | Method=fedprox
[Round 064/100] Acc=34.610 | RoundTime=50.63s | TotalTime=3134.24s | Method=fedprox
[Round 065/100] Acc=28.310 | RoundTime=49.04s | TotalTime=3183.28s | Method=fedprox
[Round 066/100] Acc=26.500 | RoundTime=48.90s | TotalTime=3232.19s | Method=fedprox
[Round 067/100] Acc=31.740 | RoundTime=48.84s | TotalTime=3281.03s | Method=fedprox
[Round 068/100] Acc=31.000 | RoundTime=49.11s | TotalTime=3330.14s | Method=fedprox
[Round 069/100] Acc=27.410 | RoundTime=49.01s | TotalTime=3379.14s | Method=fedprox
[Round 070/100] Acc=32.370 | RoundTime=49.01s | TotalTime=3428.16s | Method=fedprox
[Round 071/100] Acc=33.890 | RoundTime=48.65s | TotalTime=3476.81s | Method=fedprox
[Round 072/100] Acc=29.050 | RoundTime=49.38s | TotalTime=3526.19s | Method=fedprox
