====================================================================================================
Training started at: 2026-03-14 09:23:50
Result directory: results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3
Result txt file : results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-092350.txt
Result log file : results/fl_cifar10/fedprox/pm-dir_a-0.1_nm-uni_nr-0.3/fedprox_fl_cifar10_20260314-092350.log
----------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar10
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=10.080 | RoundTime=97.52s | TotalTime=97.52s | Method=fedprox
[Round 002/100] Acc=14.330 | RoundTime=95.82s | TotalTime=193.34s | Method=fedprox
[Round 003/100] Acc=18.870 | RoundTime=94.79s | TotalTime=288.13s | Method=fedprox
[Round 004/100] Acc=24.310 | RoundTime=95.23s | TotalTime=383.36s | Method=fedprox
[Round 005/100] Acc=29.990 | RoundTime=95.33s | TotalTime=478.69s | Method=fedprox
[Round 006/100] Acc=29.350 | RoundTime=95.26s | TotalTime=573.95s | Method=fedprox
[Round 007/100] Acc=21.180 | RoundTime=94.26s | TotalTime=668.21s | Method=fedprox
[Round 008/100] Acc=29.010 | RoundTime=94.98s | TotalTime=763.19s | Method=fedprox
[Round 009/100] Acc=29.460 | RoundTime=95.75s | TotalTime=858.94s | Method=fedprox
[Round 010/100] Acc=29.960 | RoundTime=95.52s | TotalTime=954.47s | Method=fedprox
[Round 011/100] Acc=28.430 | RoundTime=94.54s | TotalTime=1049.01s | Method=fedprox
[Round 012/100] Acc=28.250 | RoundTime=94.66s | TotalTime=1143.67s | Method=fedprox
[Round 013/100] Acc=25.850 | RoundTime=95.14s | TotalTime=1238.81s | Method=fedprox
[Round 014/100] Acc=32.010 | RoundTime=94.41s | TotalTime=1333.22s | Method=fedprox
[Round 015/100] Acc=29.950 | RoundTime=96.85s | TotalTime=1430.07s | Method=fedprox
[Round 016/100] Acc=30.840 | RoundTime=95.31s | TotalTime=1525.38s | Method=fedprox
[Round 017/100] Acc=26.750 | RoundTime=94.86s | TotalTime=1620.25s | Method=fedprox
[Round 018/100] Acc=26.660 | RoundTime=94.70s | TotalTime=1714.95s | Method=fedprox
[Round 019/100] Acc=26.730 | RoundTime=94.54s | TotalTime=1809.49s | Method=fedprox
[Round 020/100] Acc=27.840 | RoundTime=94.91s | TotalTime=1904.40s | Method=fedprox
[Round 021/100] Acc=31.430 | RoundTime=94.94s | TotalTime=1999.34s | Method=fedprox
[Round 022/100] Acc=25.410 | RoundTime=95.05s | TotalTime=2094.38s | Method=fedprox
[Round 023/100] Acc=31.100 | RoundTime=94.91s | TotalTime=2189.30s | Method=fedprox
[Round 024/100] Acc=28.960 | RoundTime=94.34s | TotalTime=2283.64s | Method=fedprox
[Round 025/100] Acc=29.790 | RoundTime=95.18s | TotalTime=2378.82s | Method=fedprox
[Round 026/100] Acc=30.580 | RoundTime=94.98s | TotalTime=2473.80s | Method=fedprox
[Round 027/100] Acc=28.060 | RoundTime=95.79s | TotalTime=2569.59s | Method=fedprox
[Round 028/100] Acc=32.490 | RoundTime=94.61s | TotalTime=2664.20s | Method=fedprox
[Round 029/100] Acc=35.760 | RoundTime=95.14s | TotalTime=2759.34s | Method=fedprox
[Round 030/100] Acc=29.520 | RoundTime=95.25s | TotalTime=2854.59s | Method=fedprox
[Round 031/100] Acc=31.710 | RoundTime=95.10s | TotalTime=2949.69s | Method=fedprox
[Round 032/100] Acc=27.960 | RoundTime=95.02s | TotalTime=3044.72s | Method=fedprox
[Round 033/100] Acc=34.790 | RoundTime=94.48s | TotalTime=3139.20s | Method=fedprox
[Round 034/100] Acc=27.430 | RoundTime=94.35s | TotalTime=3233.55s | Method=fedprox
[Round 035/100] Acc=34.220 | RoundTime=95.40s | TotalTime=3328.95s | Method=fedprox
[Round 036/100] Acc=29.820 | RoundTime=95.50s | TotalTime=3424.45s | Method=fedprox
[Round 037/100] Acc=30.310 | RoundTime=94.98s | TotalTime=3519.44s | Method=fedprox
[Round 038/100] Acc=29.780 | RoundTime=95.41s | TotalTime=3614.84s | Method=fedprox
[Round 039/100] Acc=29.290 | RoundTime=94.98s | TotalTime=3709.82s | Method=fedprox
[Round 040/100] Acc=33.560 | RoundTime=95.39s | TotalTime=3805.22s | Method=fedprox
[Round 041/100] Acc=29.860 | RoundTime=95.28s | TotalTime=3900.50s | Method=fedprox
[Round 042/100] Acc=27.250 | RoundTime=95.52s | TotalTime=3996.02s | Method=fedprox
[Round 043/100] Acc=33.640 | RoundTime=95.28s | TotalTime=4091.30s | Method=fedprox
[Round 044/100] Acc=27.590 | RoundTime=95.02s | TotalTime=4186.32s | Method=fedprox
[Round 045/100] Acc=30.240 | RoundTime=95.37s | TotalTime=4281.69s | Method=fedprox
[Round 046/100] Acc=27.780 | RoundTime=96.20s | TotalTime=4377.89s | Method=fedprox
[Round 047/100] Acc=34.680 | RoundTime=94.58s | TotalTime=4472.47s | Method=fedprox
[Round 048/100] Acc=28.990 | RoundTime=88.25s | TotalTime=4560.72s | Method=fedprox
[Round 049/100] Acc=29.230 | RoundTime=79.06s | TotalTime=4639.77s | Method=fedprox
[Round 050/100] Acc=29.460 | RoundTime=79.69s | TotalTime=4719.47s | Method=fedprox
[Round 051/100] Acc=27.270 | RoundTime=79.37s | TotalTime=4798.83s | Method=fedprox
[Round 052/100] Acc=25.700 | RoundTime=79.78s | TotalTime=4878.62s | Method=fedprox
[Round 053/100] Acc=30.290 | RoundTime=82.75s | TotalTime=4961.37s | Method=fedprox
[Round 054/100] Acc=31.870 | RoundTime=80.19s | TotalTime=5041.55s | Method=fedprox
[Round 055/100] Acc=27.470 | RoundTime=79.12s | TotalTime=5120.67s | Method=fedprox
[Round 056/100] Acc=28.670 | RoundTime=79.24s | TotalTime=5199.91s | Method=fedprox
[Round 057/100] Acc=37.170 | RoundTime=78.92s | TotalTime=5278.83s | Method=fedprox
[Round 058/100] Acc=30.260 | RoundTime=79.70s | TotalTime=5358.54s | Method=fedprox
[Round 059/100] Acc=29.250 | RoundTime=79.57s | TotalTime=5438.11s | Method=fedprox
[Round 060/100] Acc=32.670 | RoundTime=78.93s | TotalTime=5517.04s | Method=fedprox
[Round 061/100] Acc=29.620 | RoundTime=79.79s | TotalTime=5596.83s | Method=fedprox
[Round 062/100] Acc=33.140 | RoundTime=79.73s | TotalTime=5676.57s | Method=fedprox
[Round 063/100] Acc=30.290 | RoundTime=79.46s | TotalTime=5756.03s | Method=fedprox
[Round 064/100] Acc=34.700 | RoundTime=78.48s | TotalTime=5834.51s | Method=fedprox
[Round 065/100] Acc=33.190 | RoundTime=78.96s | TotalTime=5913.47s | Method=fedprox
[Round 066/100] Acc=31.250 | RoundTime=80.24s | TotalTime=5993.71s | Method=fedprox
[Round 067/100] Acc=32.290 | RoundTime=79.93s | TotalTime=6073.64s | Method=fedprox
[Round 068/100] Acc=33.530 | RoundTime=79.91s | TotalTime=6153.55s | Method=fedprox
[Round 069/100] Acc=28.360 | RoundTime=79.88s | TotalTime=6233.42s | Method=fedprox
[Round 070/100] Acc=32.770 | RoundTime=77.52s | TotalTime=6310.94s | Method=fedprox
[Round 071/100] Acc=34.300 | RoundTime=71.80s | TotalTime=6382.75s | Method=fedprox
[Round 072/100] Acc=35.780 | RoundTime=71.38s | TotalTime=6454.13s | Method=fedprox
[Round 073/100] Acc=32.720 | RoundTime=60.21s | TotalTime=6514.34s | Method=fedprox
[Round 074/100] Acc=34.150 | RoundTime=82.05s | TotalTime=6596.39s | Method=fedprox
[Round 075/100] Acc=27.590 | RoundTime=78.99s | TotalTime=6675.38s | Method=fedprox
[Round 076/100] Acc=34.750 | RoundTime=80.87s | TotalTime=6756.25s | Method=fedprox
[Round 077/100] Acc=30.490 | RoundTime=80.45s | TotalTime=6836.70s | Method=fedprox
[Round 078/100] Acc=33.700 | RoundTime=78.60s | TotalTime=6915.30s | Method=fedprox
[Round 079/100] Acc=33.390 | RoundTime=81.23s | TotalTime=6996.53s | Method=fedprox
[Round 080/100] Acc=34.030 | RoundTime=80.06s | TotalTime=7076.59s | Method=fedprox
[Round 081/100] Acc=36.370 | RoundTime=78.97s | TotalTime=7155.56s | Method=fedprox
[Round 082/100] Acc=30.600 | RoundTime=80.99s | TotalTime=7236.55s | Method=fedprox
[Round 083/100] Acc=33.450 | RoundTime=79.37s | TotalTime=7315.92s | Method=fedprox
[Round 084/100] Acc=30.440 | RoundTime=78.18s | TotalTime=7394.10s | Method=fedprox
[Round 085/100] Acc=31.200 | RoundTime=81.03s | TotalTime=7475.13s | Method=fedprox
[Round 086/100] Acc=35.820 | RoundTime=79.88s | TotalTime=7555.01s | Method=fedprox
[Round 087/100] Acc=29.860 | RoundTime=78.88s | TotalTime=7633.89s | Method=fedprox
[Round 088/100] Acc=34.680 | RoundTime=80.68s | TotalTime=7714.56s | Method=fedprox
[Round 089/100] Acc=29.550 | RoundTime=79.31s | TotalTime=7793.88s | Method=fedprox
[Round 090/100] Acc=31.210 | RoundTime=80.56s | TotalTime=7874.44s | Method=fedprox
[Round 091/100] Acc=29.260 | RoundTime=79.41s | TotalTime=7953.84s | Method=fedprox
[Round 092/100] Acc=32.790 | RoundTime=78.32s | TotalTime=8032.16s | Method=fedprox
[Round 093/100] Acc=34.280 | RoundTime=81.36s | TotalTime=8113.53s | Method=fedprox
[Round 094/100] Acc=33.330 | RoundTime=77.98s | TotalTime=8191.50s | Method=fedprox
[Round 095/100] Acc=34.970 | RoundTime=78.99s | TotalTime=8270.49s | Method=fedprox
[Round 096/100] Acc=35.210 | RoundTime=80.11s | TotalTime=8350.60s | Method=fedprox
[Round 097/100] Acc=26.600 | RoundTime=70.83s | TotalTime=8421.42s | Method=fedprox
[Round 098/100] Acc=37.980 | RoundTime=62.87s | TotalTime=8484.29s | Method=fedprox
[Round 099/100] Acc=31.180 | RoundTime=58.66s | TotalTime=8542.95s | Method=fedprox
[Round 100/100] Acc=33.410 | RoundTime=52.42s | TotalTime=8595.36s | Method=fedprox
====================================================================================================
Training finished at: 2026-03-14 11:47:06
Total elapsed time: 8595.36s
Final Acc: 33.410
Best Acc : 37.980
====================================================================================================
