epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	10.0	None	None	None	None	None	None	None	190.6179	190.6238
1	standard	warmup	12.15	None	None	None	None	None	None	None	190.1598	380.7914
2	standard	warmup	23.9	None	None	None	None	None	None	None	187.3179	568.1159
3	standard	warmup	34.15	None	None	None	None	None	None	None	189.3865	757.5116
4	standard	warmup	36.02	None	None	None	None	None	None	None	186.6804	944.2136
5	standard	warmup	40.29	None	None	None	None	None	None	None	189.3375	1133.5605
6	standard	warmup	41.0	None	None	None	None	None	None	None	192.4545	1326.0702
7	standard	warmup	42.98	None	None	None	None	None	None	None	185.0704	1511.1510
8	standard	warmup	43.89	None	None	None	None	None	None	None	190.1266	1701.2866
9	standard	warmup	45.55	None	None	None	None	None	None	None	189.2844	1890.5815
10	standard	warmup	48.44	None	None	None	None	None	None	None	187.5412	2078.1323
11	standard	warmup	48.31	None	None	None	None	None	None	None	190.1966	2268.3385
12	standard	warmup	49.25	None	None	None	None	None	None	None	189.6955	2458.0443
13	standard	warmup	50.46	None	None	None	None	None	None	None	188.3735	2646.4276
14	standard	warmup	51.37	None	None	None	None	None	None	None	187.7144	2834.1515
15	standard	warmup	51.76	None	None	None	None	None	None	None	190.1945	3024.3555
16	standard	warmup	51.8	None	None	None	None	None	None	None	189.5015	3213.8764
17	standard	warmup	51.17	None	None	None	None	None	None	None	189.4658	3403.3525
18	standard	warmup	51.09	None	None	None	None	None	None	None	188.8108	3592.1726
19	standard	warmup	53.77	None	None	None	None	None	None	None	187.0322	3779.2137
20	standard	warmup	52.85	None	None	None	None	None	None	None	187.7830	3967.1001
21	standard	warmup	52.7	None	None	None	None	None	None	None	189.7243	4156.8339
22	standard	warmup	53.88	None	None	None	None	None	None	None	189.0336	4345.8802
23	standard	warmup	53.44	None	None	None	None	None	None	None	186.5514	4532.4409
24	standard	warmup	52.39	None	None	None	None	None	None	None	182.4925	4714.9461
25	standard	warmup	53.39	None	None	None	None	None	None	None	190.0580	4905.0139
26	standard	warmup	52.71	None	None	None	None	None	None	None	190.1327	5095.1563
27	standard	warmup	52.27	None	None	None	None	None	None	None	188.5029	5283.6688
28	standard	warmup	50.89	None	None	None	None	None	None	None	186.6279	5470.3061
29	standard	warmup	51.78	None	None	None	None	None	None	None	189.8813	5660.1977
30	standard	warmup	52.23	None	None	None	None	None	None	None	189.4231	5849.6310
31	standard	warmup	52.22	None	None	None	None	None	None	None	189.2578	6038.8990
32	standard	warmup	52.25	None	None	None	None	None	None	None	187.2813	6226.1897
33	standard	warmup	51.83	None	None	None	None	None	None	None	189.4021	6415.6016
34	standard	warmup	51.37	None	None	None	None	None	None	None	189.3776	6604.9887
35	standard	warmup	51.52	None	None	None	None	None	None	None	188.2550	6793.2565
36	standard	warmup	51.87	None	None	None	None	None	None	None	189.5583	6982.8866
