epoch	acc	pure	round_time_sec	total_time_sec
0	10.0	None	95.8982	95.8984
1	15.56	None	95.0629	190.9616
2	30.64	None	94.6656	285.6276
3	32.66	None	94.7240	380.3520
4	32.43	None	94.9376	475.2901
5	36.59	None	94.6467	569.9371
6	33.24	None	94.7828	664.7203
7	38.19	None	94.9528	759.6735
8	37.13	None	96.0312	855.7051
9	40.1	None	95.7292	951.4347
10	42.97	None	94.9569	1046.3919
11	40.84	None	95.2801	1141.6723
12	41.79	None	94.9293	1236.6020
13	42.47	None	94.9564	1331.5588
14	41.26	None	95.2995	1426.8586
15	38.52	None	94.9917	1521.8506
16	40.68	None	94.4234	1616.2743
17	36.24	None	94.6208	1710.8954
18	42.62	None	94.6422	1805.5396
19	38.48	None	95.1699	1900.7099
20	40.02	None	94.1551	1994.8655
21	41.28	None	94.6826	2089.5486
22	36.33	None	94.9083	2184.4573
23	41.45	None	94.5254	2278.9830
24	44.12	None	94.9952	2373.9785
25	42.21	None	95.5168	2469.4957
26	43.92	None	94.6060	2564.1021
27	37.72	None	94.1291	2658.2316
28	37.56	None	94.2654	2752.4973
29	45.9	None	95.2183	2847.7159
30	43.68	None	95.1884	2942.9046
31	41.44	None	94.8394	3037.7443
32	41.51	None	94.3533	3132.0979
33	42.44	None	94.6512	3226.7496
34	41.78	None	95.1272	3321.8772
35	44.31	None	94.7645	3416.6420
36	43.85	None	95.6597	3512.3021
37	44.98	None	94.9555	3607.2579
38	41.69	None	95.0329	3702.2926
39	45.26	None	94.9833	3797.2768
40	41.59	None	94.2752	3891.5525
41	42.57	None	94.4192	3985.9720
42	43.6	None	95.0817	4081.0541
43	41.63	None	94.5459	4175.6003
44	44.28	None	95.6134	4271.2140
45	40.46	None	95.2437	4366.4580
46	41.67	None	94.8197	4461.2780
47	38.64	None	89.8265	4551.1049
48	45.78	None	78.3570	4629.4622
49	43.89	None	79.9704	4709.4329
50	41.99	None	80.4227	4789.8560
51	43.01	None	78.7989	4868.6556
52	43.41	None	79.1482	4947.8040
53	44.26	None	83.3413	5031.1457
54	44.53	None	78.9125	5110.0586
55	39.18	None	79.4263	5189.4851
56	42.42	None	78.9754	5268.4623
57	44.34	None	78.3918	5346.8544
58	43.93	None	79.0738	5425.9284
59	42.87	None	79.6512	5505.5799
60	40.6	None	78.7695	5584.3498
61	42.72	None	80.0586	5664.4087
62	44.29	None	77.7364	5742.1454
63	39.54	None	79.9203	5822.0671
64	43.6	None	78.9811	5901.0486
65	45.43	None	79.6016	5980.6504
66	39.09	None	78.7138	6059.3646
67	43.97	None	78.9591	6138.3240
68	43.99	None	78.7393	6217.0638
69	39.75	None	77.5821	6294.6463
70	43.75	None	71.8571	6366.5037
71	42.56	None	71.5274	6438.0314
72	42.11	None	61.7189	6499.7507
73	38.21	None	76.0540	6575.8050
74	43.91	None	78.9360	6654.7413
75	43.05	None	81.4584	6736.2000
76	38.09	None	78.8320	6815.0323
77	38.47	None	79.2377	6894.2703
78	42.08	None	80.3447	6974.6153
79	42.3	None	78.8417	7053.4573
80	42.59	None	79.2956	7132.7532
81	42.08	None	80.5142	7213.2678
82	43.7	None	78.9710	7292.2407
83	41.94	None	80.2951	7372.5361
84	44.22	None	78.8087	7451.3451
85	41.99	None	79.5335	7530.8789
86	43.73	None	80.3216	7611.2009
87	44.64	None	78.3432	7689.5444
88	43.29	None	79.3944	7768.9391
89	38.22	None	80.5754	7849.5148
90	41.14	None	78.7191	7928.2342
91	42.2	None	79.6423	8007.8768
92	44.12	None	80.2597	8088.1368
93	45.29	None	78.8747	8167.0118
94	46.04	None	80.7122	8247.7242
95	43.73	None	78.9941	8326.7186
96	39.89	None	72.7693	8399.4882
97	44.59	None	68.2859	8467.7743
98	44.15	None	58.0860	8525.8606
99	45.79	None	55.7880	8581.6489
