epoch	acc	pure	round_time_sec	total_time_sec
0	10.87	None	42.8547	42.8548
1	16.32	None	26.3662	69.2212
2	26.61	None	25.9930	95.2144
3	35.03	None	25.7808	120.9953
4	33.46	None	26.1715	147.1670
5	36.86	None	38.2739	185.4411
6	41.44	None	25.1298	210.5711
7	42.15	None	25.4118	235.9831
8	38.61	None	25.1986	261.1819
9	42.56	None	25.8212	287.0033
10	48.87	None	25.6060	312.6094
11	46.48	None	25.5412	338.1508
12	47.45	None	24.8250	362.9760
13	47.71	None	26.1432	389.1193
14	48.28	None	25.0483	414.1679
15	51.3	None	26.0187	440.1867
16	46.31	None	26.5360	466.7229
17	49.21	None	25.8502	492.5733
18	47.08	None	26.7815	519.3550
19	49.12	None	26.1909	545.5460
20	50.27	None	26.1164	571.6627
21	48.07	None	24.9386	596.6015
22	50.35	None	23.2843	619.8859
23	38.94	None	22.0618	641.9479
24	49.27	None	21.7758	663.7238
25	46.83	None	22.2273	685.9514
26	47.05	None	22.7175	708.6691
27	47.58	None	22.5932	731.2624
28	48.32	None	22.4211	753.6837
29	50.83	None	22.0821	775.7659
30	48.68	None	22.0557	797.8219
31	48.98	None	22.0154	819.8375
32	49.19	None	22.0397	841.8773
33	47.64	None	22.4272	864.3047
34	55.07	None	22.6925	886.9973
35	51.53	None	22.7491	909.7467
36	45.67	None	22.3045	932.0513
37	49.93	None	22.0832	954.1347
38	47.96	None	22.2269	976.3618
39	52.64	None	23.3184	999.6804
40	44.18	None	22.5301	1022.2107
41	48.4	None	22.4616	1044.6724
42	46.96	None	23.1317	1067.8042
43	46.22	None	23.1843	1090.9887
44	47.62	None	22.8426	1113.8315
45	48.51	None	22.5361	1136.3680
46	52.26	None	21.6617	1158.0298
47	51.3	None	22.2041	1180.2341
48	47.23	None	22.0466	1202.2809
49	50.51	None	22.2442	1224.5252
50	49.87	None	22.2374	1246.7628
51	49.26	None	21.9084	1268.6714
52	45.79	None	23.0124	1291.6839
53	43.26	None	22.2704	1313.9545
54	53.88	None	21.7546	1335.7093
55	51.43	None	22.3726	1358.0821
56	46.77	None	22.9604	1381.0427
57	54.58	None	22.4457	1403.4886
58	51.79	None	22.2553	1425.7440
59	49.59	None	22.7564	1448.5007
60	47.55	None	22.8222	1471.3231
61	52.88	None	22.3043	1493.6276
62	52.11	None	21.8383	1515.4660
63	53.99	None	21.2422	1536.7084
64	48.81	None	21.9800	1558.6886
65	53.16	None	21.7581	1580.4469
66	48.2	None	21.7928	1602.2398
67	49.16	None	21.5129	1623.7529
68	51.02	None	21.7491	1645.5022
69	50.45	None	21.6892	1667.1916
70	51.85	None	22.2010	1689.3929
71	47.47	None	21.8906	1711.2836
72	55.49	None	21.7246	1733.0084
73	51.25	None	21.7813	1754.7899
74	52.08	None	21.7810	1776.5711
75	53.16	None	22.0369	1798.6082
76	53.02	None	22.0837	1820.6921
77	52.58	None	22.1137	1842.8060
78	50.14	None	21.9148	1864.7210
79	53.64	None	22.7447	1887.4660
80	51.95	None	22.9868	1910.4529
81	48.38	None	22.1935	1932.6466
82	55.88	None	22.0302	1954.6770
83	57.89	None	21.6083	1976.2855
84	55.19	None	21.5884	1997.8741
85	51.92	None	23.2516	2021.1259
86	53.46	None	21.9704	2043.0964
87	51.08	None	22.0291	2065.1257
88	51.26	None	22.3627	2087.4886
89	52.25	None	22.0823	2109.5711
90	54.22	None	22.3027	2131.8740
91	51.32	None	22.9420	2154.8162
92	49.46	None	21.8947	2176.7111
93	49.84	None	22.2888	2199.0000
94	51.54	None	22.8981	2221.8983
95	56.03	None	22.6686	2244.5671
96	50.42	None	21.5920	2266.1593
97	56.34	None	21.6444	2287.8039
98	55.13	None	22.1825	2309.9865
99	53.59	None	21.7220	2331.7087
