epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	10.0	None	None	None	None	None	None	None	169.2917	169.2985
1	standard	warmup	19.64	None	None	None	None	None	None	None	158.8676	328.1748
2	standard	warmup	34.79	None	None	None	None	None	None	None	160.4163	488.6014
3	standard	warmup	40.54	None	None	None	None	None	None	None	158.0463	646.6580
4	standard	warmup	44.5	None	None	None	None	None	None	None	159.8790	806.5430
5	standard	warmup	47.13	None	None	None	None	None	None	None	158.5851	965.1344
6	standard	warmup	51.83	None	None	None	None	None	None	None	158.4215	1123.5621
7	standard	warmup	52.62	None	None	None	None	None	None	None	158.4898	1282.0583
8	standard	warmup	53.66	None	None	None	None	None	None	None	157.9521	1440.0195
9	standard	warmup	55.9	None	None	None	None	None	None	None	159.9175	1599.9433
10	standard	warmup	58.41	None	None	None	None	None	None	None	157.2110	1757.1609
11	standard	warmup	60.27	None	None	None	None	None	None	None	158.5784	1915.7458
12	standard	warmup	61.12	None	None	None	None	None	None	None	160.1166	2075.8689
13	standard	warmup	63.24	None	None	None	None	None	None	None	160.1884	2236.0689
14	standard	warmup	63.91	None	None	None	None	None	None	None	158.9444	2395.0229
15	standard	warmup	64.73	None	None	None	None	None	None	None	159.3723	2554.4042
16	standard	warmup	64.85	None	None	None	None	None	None	None	160.1994	2714.6143
17	standard	warmup	66.23	None	None	None	None	None	None	None	159.8577	2874.4813
18	standard	warmup	66.75	None	None	None	None	None	None	None	158.1840	3032.6743
19	standard	warmup	66.68	None	None	None	None	None	None	None	159.5622	3192.2469
20	standard	warmup	66.7	None	None	None	None	None	None	None	160.2331	3352.4887
21	standard	warmup	67.26	None	None	None	None	None	None	None	158.6012	3511.0986
22	standard	warmup	68.38	None	None	None	None	None	None	None	159.1482	3670.2556
23	standard	warmup	68.25	None	None	None	None	None	None	None	159.2482	3829.5126
24	standard	warmup	69.07	None	None	None	None	None	None	None	158.1158	3987.6391
25	standard	warmup	69.25	None	None	None	None	None	None	None	150.2086	4137.8574
26	standard	warmup	69.64	None	None	None	None	None	None	None	159.7057	4297.5726
27	standard	warmup	68.54	None	None	None	None	None	None	None	158.2687	4455.8506
28	standard	warmup	69.65	None	None	None	None	None	None	None	158.7563	4614.6173
29	standard	warmup	68.86	None	None	None	None	None	None	None	158.1869	4772.8136
30	standard	warmup	68.39	None	None	None	None	None	None	None	159.4855	4932.3086
31	standard	warmup	69.04	None	None	None	None	None	None	None	158.4233	5090.7414
32	standard	warmup	69.06	None	None	None	None	None	None	None	157.5923	5248.3432
33	standard	warmup	68.74	None	None	None	None	None	None	None	157.5719	5405.9244
34	standard	warmup	68.35	None	None	None	None	None	None	None	159.7784	5565.7123
35	standard	warmup	67.8	None	None	None	None	None	None	None	159.1810	5724.9027
36	standard	warmup	67.94	None	None	None	None	None	None	None	159.8426	5884.7546
37	standard	warmup	67.12	None	None	None	None	None	None	None	157.4495	6042.2136
38	standard	warmup	66.39	None	None	None	None	None	None	None	158.7366	6200.9609
