epoch	acc	pure	round_time_sec	total_time_sec
0	12.32	None	65.6078	65.6081
1	25.31	None	42.9451	108.5535
2	36.53	None	42.5008	151.0548
3	39.56	None	41.7247	192.7798
4	43.15	None	44.6595	237.4395
5	38.87	None	43.7056	281.1453
6	46.96	None	42.0089	323.1546
7	47.11	None	42.5638	365.7224
8	45.74	None	43.4848	409.2075
9	48.54	None	43.9310	453.1388
10	44.69	None	42.7578	495.8970
11	48.4	None	42.5633	538.4606
12	50.16	None	44.0941	582.5549
13	47.66	None	41.9373	624.4926
14	50.96	None	43.6729	668.1658
15	44.35	None	41.8594	710.0255
16	49.62	None	49.3822	759.4080
17	49.9	None	41.7650	801.1732
18	46.76	None	41.7544	842.9279
19	51.87	None	42.5796	885.5079
20	46.89	None	43.4053	928.9135
21	51.93	None	42.1710	971.0849
22	48.77	None	42.8350	1013.9202
23	46.92	None	44.2005	1058.1211
24	49.88	None	42.9182	1101.0396
25	49.13	None	42.4037	1143.4448
26	49.7	None	42.5671	1186.0122
27	47.58	None	42.8161	1228.8287
28	51.9	None	43.0656	1271.8946
29	51.88	None	42.9042	1314.7990
30	52.77	None	43.6429	1358.4422
31	51.47	None	42.9133	1401.3559
32	51.96	None	42.9687	1444.3250
33	52.15	None	42.7702	1487.0955
34	53.0	None	43.5855	1530.6814
35	51.35	None	41.4161	1572.0978
36	56.39	None	41.5271	1613.6252
37	51.03	None	42.2462	1655.8717
38	50.53	None	42.8029	1698.6749
39	51.32	None	42.6431	1741.3183
40	52.48	None	43.5012	1784.8199
41	51.01	None	43.5495	1828.3710
42	52.9	None	42.9264	1871.2977
43	51.59	None	41.9778	1913.2759
44	51.32	None	42.6062	1955.8824
45	51.73	None	42.2043	1998.0886
46	51.47	None	43.5970	2041.6860
47	52.78	None	44.9293	2086.6156
48	52.51	None	45.5357	2132.1534
49	50.09	None	45.9361	2178.0899
50	50.82	None	46.3427	2224.4329
51	52.37	None	45.5147	2269.9479
52	53.01	None	45.0786	2315.0268
53	49.26	None	42.5471	2357.5743
54	52.28	None	41.4349	2399.0095
55	49.59	None	42.6540	2441.6638
56	48.65	None	41.7816	2483.4458
57	51.8	None	40.9422	2524.3884
58	50.58	None	40.3898	2564.7785
59	52.73	None	41.3096	2606.0885
60	53.36	None	40.6436	2646.7324
61	53.07	None	42.1032	2688.8359
62	50.74	None	40.0894	2728.9256
63	54.18	None	41.2381	2770.1639
64	51.29	None	41.4728	2811.6370
65	50.58	None	41.2006	2852.8379
66	53.44	None	41.9238	2894.7619
67	53.42	None	40.2677	2935.0298
68	52.83	None	40.7952	2975.8254
69	52.47	None	41.0109	3016.8365
70	52.64	None	40.4343	3057.2711
71	52.35	None	40.1940	3097.4656
72	55.07	None	41.3068	3138.7728
73	52.17	None	42.9003	3181.6733
74	51.28	None	40.8448	3222.5184
75	52.26	None	41.4800	3263.9987
76	53.03	None	41.6514	3305.6504
77	52.96	None	41.2771	3346.9278
78	49.34	None	40.8814	3387.8095
79	50.45	None	43.0234	3430.8331
80	51.87	None	41.9818	3472.8152
81	50.55	None	41.2072	3514.0228
82	50.26	None	40.7584	3554.7815
83	52.68	None	41.0896	3595.8713
84	51.79	None	42.0158	3637.8887
85	54.13	None	41.3016	3679.1907
86	48.44	None	41.4646	3720.6557
87	53.9	None	42.0850	3762.7410
88	51.94	None	40.5693	3803.3107
89	53.68	None	41.3456	3844.6566
90	52.43	None	40.8854	3885.5423
91	49.14	None	41.4542	3926.9969
92	51.67	None	41.3603	3968.3575
93	52.88	None	40.3317	4008.6895
94	51.92	None	41.6762	4050.3660
95	52.17	None	41.3917	4091.7579
96	51.47	None	41.1767	4132.9349
97	54.93	None	40.2773	4173.2124
98	49.88	None	41.9328	4215.1456
99	54.05	None	40.5150	4255.6609
