epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	9.76	None	None	None	None	None	None	None	169.4096	169.4165
1	standard	warmup	16.28	None	None	None	None	None	None	None	157.8404	327.2649
2	standard	warmup	26.09	None	None	None	None	None	None	None	156.2347	483.5066
3	standard	warmup	34.01	None	None	None	None	None	None	None	156.1359	639.6493
4	standard	warmup	33.74	None	None	None	None	None	None	None	155.9520	795.6079
5	standard	warmup	36.7	None	None	None	None	None	None	None	157.5965	953.2166
6	standard	warmup	34.13	None	None	None	None	None	None	None	156.0301	1109.2549
7	standard	warmup	35.95	None	None	None	None	None	None	None	155.4141	1264.6774
8	standard	warmup	35.64	None	None	None	None	None	None	None	156.8076	1421.4933
9	standard	warmup	40.41	None	None	None	None	None	None	None	158.4052	1579.9068
10	standard	warmup	38.51	None	None	None	None	None	None	None	155.2963	1735.2120
11	standard	warmup	39.59	None	None	None	None	None	None	None	155.9163	1891.1369
12	standard	warmup	37.58	None	None	None	None	None	None	None	156.1701	2047.3150
13	standard	warmup	38.13	None	None	None	None	None	None	None	156.0124	2203.3355
14	standard	warmup	42.28	None	None	None	None	None	None	None	157.1338	2360.4778
15	standard	warmup	40.67	None	None	None	None	None	None	None	157.6727	2518.1585
16	standard	warmup	43.17	None	None	None	None	None	None	None	155.7634	2673.9303
17	standard	warmup	37.91	None	None	None	None	None	None	None	156.2711	2830.2098
18	standard	warmup	45.15	None	None	None	None	None	None	None	157.2266	2987.4475
19	standard	warmup	35.38	None	None	None	None	None	None	None	154.6128	3142.0686
20	standard	warmup	40.57	None	None	None	None	None	None	None	155.8544	3297.9313
21	standard	warmup	42.23	None	None	None	None	None	None	None	156.6903	3454.6300
22	standard	warmup	42.2	None	None	None	None	None	None	None	156.9196	3611.5581
23	standard	warmup	36.96	None	None	None	None	None	None	None	155.1532	3766.7194
24	standard	warmup	38.23	None	None	None	None	None	None	None	155.8585	3922.5864
25	standard	warmup	38.18	None	None	None	None	None	None	None	156.0402	4078.6366
26	standard	warmup	36.58	None	None	None	None	None	None	None	155.8668	4234.5126
27	standard	warmup	43.37	None	None	None	None	None	None	None	156.0792	4390.6007
28	standard	warmup	42.01	None	None	None	None	None	None	None	156.9878	4547.5981
29	standard	warmup	39.97	None	None	None	None	None	None	None	157.2993	4704.9060
30	standard	warmup	40.31	None	None	None	None	None	None	None	156.0055	4860.9204
31	standard	warmup	39.34	None	None	None	None	None	None	None	156.2348	5017.1640
32	standard	warmup	42.0	None	None	None	None	None	None	None	155.8265	5172.9991
33	standard	warmup	40.21	None	None	None	None	None	None	None	157.3840	5330.3929
34	standard	warmup	40.58	None	None	None	None	None	None	None	156.3765	5486.7781
35	standard	warmup	40.38	None	None	None	None	None	None	None	155.5575	5642.3472
36	standard	warmup	42.69	None	None	None	None	None	None	None	156.1691	5798.5250
37	standard	warmup	44.04	None	None	None	None	None	None	None	156.1627	5954.6965
38	standard	warmup	41.99	None	None	None	None	None	None	None	156.8069	6111.5119
39	standard	warmup	44.76	None	None	None	None	None	None	None	154.9349	6266.4554
40	standard	warmup	43.88	None	None	None	None	None	None	None	156.5748	6423.0390
41	standard	warmup	43.44	None	None	None	None	None	None	None	156.0328	6579.0806
42	standard	warmup	40.69	None	None	None	None	None	None	None	157.8544	6736.9435
43	standard	warmup	41.81	None	None	None	None	None	None	None	155.1687	6892.1214
44	standard	warmup	41.92	None	None	None	None	None	None	None	154.1428	7046.2728
45	standard	warmup	42.93	None	None	None	None	None	None	None	156.4241	7202.7055
46	standard	warmup	43.14	None	None	None	None	None	None	None	156.3332	7359.0473
47	standard	warmup	41.11	None	None	None	None	None	None	None	157.9363	7516.9927
48	standard	warmup	42.19	None	None	None	None	None	None	None	158.3824	7675.3837
49	standard	warmup	44.74	None	None	None	None	None	None	None	156.0672	7831.4608
50	standard	warmup	43.66	None	None	None	None	None	None	None	156.6168	7988.0881
