====================================================================================================
Training started at: 2026-03-13 10:42:16
Result directory: results/fl_cifar100/fedavg
Result txt file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.txt
Result log file : results/fl_cifar100/fedavg/model=fedavg_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_partition=dirichlet_dirAlpha=0.1_noiseMode=uniform_noiseRate=0.3_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260313-104216.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=26.93s | TotalTime=26.93s | Method=fedavg
[Round 002/100] Acc=1.000 | RoundTime=24.65s | TotalTime=51.58s | Method=fedavg
[Round 003/100] Acc=3.770 | RoundTime=26.22s | TotalTime=77.80s | Method=fedavg
[Round 004/100] Acc=6.960 | RoundTime=26.25s | TotalTime=104.05s | Method=fedavg
[Round 005/100] Acc=7.720 | RoundTime=24.50s | TotalTime=128.55s | Method=fedavg
[Round 006/100] Acc=9.620 | RoundTime=25.93s | TotalTime=154.48s | Method=fedavg
[Round 007/100] Acc=9.860 | RoundTime=25.65s | TotalTime=180.13s | Method=fedavg
[Round 008/100] Acc=10.990 | RoundTime=24.76s | TotalTime=204.89s | Method=fedavg
[Round 009/100] Acc=11.550 | RoundTime=26.39s | TotalTime=231.28s | Method=fedavg
[Round 010/100] Acc=11.510 | RoundTime=25.54s | TotalTime=256.82s | Method=fedavg
[Round 011/100] Acc=12.930 | RoundTime=25.08s | TotalTime=281.90s | Method=fedavg
[Round 012/100] Acc=12.010 | RoundTime=27.59s | TotalTime=309.49s | Method=fedavg
[Round 013/100] Acc=11.980 | RoundTime=25.36s | TotalTime=334.85s | Method=fedavg
[Round 014/100] Acc=12.130 | RoundTime=25.60s | TotalTime=360.44s | Method=fedavg
[Round 015/100] Acc=12.120 | RoundTime=26.82s | TotalTime=387.26s | Method=fedavg
[Round 016/100] Acc=13.910 | RoundTime=25.83s | TotalTime=413.10s | Method=fedavg
[Round 017/100] Acc=13.930 | RoundTime=26.27s | TotalTime=439.37s | Method=fedavg
[Round 018/100] Acc=13.830 | RoundTime=26.38s | TotalTime=465.74s | Method=fedavg
