epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	1.0	None	None	None	None	None	None	None	156.6591	156.6658
1	standard	warmup	1.48	None	None	None	None	None	None	None	157.5124	314.1901
2	standard	warmup	4.12	None	None	None	None	None	None	None	158.1479	472.3448
3	standard	warmup	6.31	None	None	None	None	None	None	None	156.6818	629.0336
4	standard	warmup	8.47	None	None	None	None	None	None	None	158.2301	787.2704
5	standard	warmup	10.46	None	None	None	None	None	None	None	157.6559	944.9333
6	standard	warmup	11.94	None	None	None	None	None	None	None	156.6020	1101.5422
7	standard	warmup	12.4	None	None	None	None	None	None	None	155.9864	1257.5357
8	standard	warmup	13.18	None	None	None	None	None	None	None	157.8763	1415.4189
9	standard	warmup	14.71	None	None	None	None	None	None	None	157.3259	1572.7520
10	standard	warmup	15.56	None	None	None	None	None	None	None	157.3272	1730.0863
11	standard	warmup	16.59	None	None	None	None	None	None	None	156.3316	1886.4250
12	standard	warmup	18.15	None	None	None	None	None	None	None	156.7123	2043.1475
13	standard	warmup	19.27	None	None	None	None	None	None	None	155.3866	2198.5457
14	standard	warmup	19.78	None	None	None	None	None	None	None	156.0202	2354.5770
15	standard	warmup	20.91	None	None	None	None	None	None	None	156.4568	2511.0450
16	standard	warmup	21.6	None	None	None	None	None	None	None	157.2096	2668.2646
17	standard	warmup	22.75	None	None	None	None	None	None	None	157.7519	2826.0296
18	standard	warmup	22.87	None	None	None	None	None	None	None	156.7061	2982.7475
19	standard	warmup	23.15	None	None	None	None	None	None	None	157.3024	3140.0610
20	standard	warmup	25.25	None	None	None	None	None	None	None	155.0942	3295.1665
21	standard	warmup	24.98	None	None	None	None	None	None	None	157.0679	3452.2445
22	standard	warmup	24.97	None	None	None	None	None	None	None	157.9680	3610.2227
23	standard	warmup	24.63	None	None	None	None	None	None	None	156.9259	3767.1596
24	standard	warmup	24.56	None	None	None	None	None	None	None	156.8219	3923.9928
25	standard	warmup	25.75	None	None	None	None	None	None	None	157.7812	4081.7912
26	standard	warmup	25.97	None	None	None	None	None	None	None	156.5476	4238.3487
27	standard	warmup	25.77	None	None	None	None	None	None	None	156.3382	4394.6969
28	standard	warmup	26.33	None	None	None	None	None	None	None	157.4533	4552.1617
29	standard	warmup	26.88	None	None	None	None	None	None	None	156.7728	4708.9477
30	standard	warmup	26.82	None	None	None	None	None	None	None	156.9695	4865.9273
31	standard	warmup	27.03	None	None	None	None	None	None	None	156.0952	5022.0344
32	standard	warmup	27.36	None	None	None	None	None	None	None	158.0372	5180.0817
33	standard	warmup	27.29	None	None	None	None	None	None	None	156.5324	5336.6255
34	standard	warmup	26.51	None	None	None	None	None	None	None	156.9787	5493.6158
35	standard	warmup	26.21	None	None	None	None	None	None	None	157.9693	5651.5954
36	standard	warmup	26.95	None	None	None	None	None	None	None	158.4351	5810.0420
37	standard	warmup	26.79	None	None	None	None	None	None	None	158.1091	5968.1612
38	standard	warmup	26.41	None	None	None	None	None	None	None	158.0836	6126.2549
39	standard	warmup	26.12	None	None	None	None	None	None	None	158.3044	6284.5709
40	standard	warmup	26.92	None	None	None	None	None	None	None	157.4766	6442.0574
41	standard	warmup	26.65	None	None	None	None	None	None	None	156.9273	6598.9962
42	standard	warmup	27.21	None	None	None	None	None	None	None	156.5030	6755.5092
43	standard	warmup	26.92	None	None	None	None	None	None	None	155.5607	6911.0798
44	standard	warmup	26.92	None	None	None	None	None	None	None	157.8478	7068.9391
45	standard	warmup	27.14	None	None	None	None	None	None	None	157.8044	7226.7538
46	standard	warmup	27.39	None	None	None	None	None	None	None	156.2267	7382.9919
47	standard	warmup	27.32	None	None	None	None	None	None	None	156.6857	7539.6893
48	standard	warmup	27.37	None	None	None	None	None	None	None	157.6757	7697.3750
49	standard	warmup	27.32	None	None	None	None	None	None	None	158.6243	7856.0116
50	standard	warmup	27.2	None	None	None	None	None	None	None	156.4071	8012.4290
51	standard	warmup	27.22	None	None	None	None	None	None	None	156.5447	8168.9842
52	standard	warmup	27.46	None	None	None	None	None	None	None	155.8505	8324.8462
53	standard	warmup	26.74	None	None	None	None	None	None	None	160.0042	8484.8624
54	standard	warmup	27.16	None	None	None	None	None	None	None	156.6400	8641.5144
55	standard	warmup	26.89	None	None	None	None	None	None	None	157.6828	8799.2078
56	standard	warmup	26.9	None	None	None	None	None	None	None	156.4210	8955.6393
57	standard	warmup	26.96	None	None	None	None	None	None	None	156.2701	9111.9227
58	standard	warmup	27.26	None	None	None	None	None	None	None	156.7869	9268.7216
59	standard	warmup	27.26	None	None	None	None	None	None	None	155.6803	9424.4122
60	standard	warmup	27.29	None	None	None	None	None	None	None	156.9625	9581.3854
61	standard	warmup	27.8	None	None	None	None	None	None	None	156.5912	9737.9872
62	standard	warmup	27.43	None	None	None	None	None	None	None	158.0111	9896.0102
63	standard	warmup	27.59	None	None	None	None	None	None	None	156.8274	10052.8481
64	standard	warmup	27.44	None	None	None	None	None	None	None	155.9361	10208.7946
65	standard	warmup	27.31	None	None	None	None	None	None	None	157.3771	10366.1821
