====================================================================================================
Training started at: 2026-03-14 07:20:42
Result directory: results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3/fedavg_fl_cifar100_20260314-072042.txt
Result log file : results/fl_cifar100/fedavg/pm-dir_a-0.8_nm-uni_nr-0.3/fedavg_fl_cifar100_20260314-072042.log
----------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: NA
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=40.47s | TotalTime=40.47s | Method=fedavg
[Round 002/100] Acc=1.450 | RoundTime=42.03s | TotalTime=82.50s | Method=fedavg
[Round 003/100] Acc=7.260 | RoundTime=39.09s | TotalTime=121.60s | Method=fedavg
[Round 004/100] Acc=11.870 | RoundTime=39.63s | TotalTime=161.23s | Method=fedavg
[Round 005/100] Acc=14.200 | RoundTime=39.28s | TotalTime=200.52s | Method=fedavg
[Round 006/100] Acc=15.210 | RoundTime=39.35s | TotalTime=239.87s | Method=fedavg
[Round 007/100] Acc=16.240 | RoundTime=39.88s | TotalTime=279.75s | Method=fedavg
[Round 008/100] Acc=16.370 | RoundTime=39.60s | TotalTime=319.35s | Method=fedavg
[Round 009/100] Acc=17.080 | RoundTime=39.42s | TotalTime=358.77s | Method=fedavg
[Round 010/100] Acc=17.460 | RoundTime=40.63s | TotalTime=399.39s | Method=fedavg
[Round 011/100] Acc=18.960 | RoundTime=39.62s | TotalTime=439.02s | Method=fedavg
[Round 012/100] Acc=18.890 | RoundTime=39.69s | TotalTime=478.70s | Method=fedavg
[Round 013/100] Acc=19.160 | RoundTime=39.70s | TotalTime=518.41s | Method=fedavg
[Round 014/100] Acc=20.090 | RoundTime=39.69s | TotalTime=558.10s | Method=fedavg
[Round 015/100] Acc=19.610 | RoundTime=39.54s | TotalTime=597.64s | Method=fedavg
[Round 016/100] Acc=19.960 | RoundTime=39.59s | TotalTime=637.23s | Method=fedavg
[Round 017/100] Acc=21.170 | RoundTime=39.68s | TotalTime=676.91s | Method=fedavg
[Round 018/100] Acc=21.290 | RoundTime=40.12s | TotalTime=717.02s | Method=fedavg
[Round 019/100] Acc=21.120 | RoundTime=39.61s | TotalTime=756.63s | Method=fedavg
[Round 020/100] Acc=20.950 | RoundTime=39.58s | TotalTime=796.21s | Method=fedavg
[Round 021/100] Acc=21.290 | RoundTime=39.63s | TotalTime=835.84s | Method=fedavg
[Round 022/100] Acc=21.280 | RoundTime=39.56s | TotalTime=875.40s | Method=fedavg
[Round 023/100] Acc=21.380 | RoundTime=39.72s | TotalTime=915.12s | Method=fedavg
[Round 024/100] Acc=21.600 | RoundTime=39.82s | TotalTime=954.94s | Method=fedavg
[Round 025/100] Acc=21.410 | RoundTime=39.72s | TotalTime=994.66s | Method=fedavg
[Round 026/100] Acc=21.600 | RoundTime=39.66s | TotalTime=1034.32s | Method=fedavg
[Round 027/100] Acc=21.150 | RoundTime=39.50s | TotalTime=1073.81s | Method=fedavg
[Round 028/100] Acc=22.000 | RoundTime=39.63s | TotalTime=1113.44s | Method=fedavg
[Round 029/100] Acc=21.830 | RoundTime=39.76s | TotalTime=1153.20s | Method=fedavg
[Round 030/100] Acc=22.030 | RoundTime=39.62s | TotalTime=1192.83s | Method=fedavg
[Round 031/100] Acc=22.150 | RoundTime=39.58s | TotalTime=1232.41s | Method=fedavg
[Round 032/100] Acc=21.800 | RoundTime=39.52s | TotalTime=1271.93s | Method=fedavg
[Round 033/100] Acc=21.310 | RoundTime=39.85s | TotalTime=1311.78s | Method=fedavg
[Round 034/100] Acc=22.240 | RoundTime=39.49s | TotalTime=1351.27s | Method=fedavg
[Round 035/100] Acc=22.150 | RoundTime=39.59s | TotalTime=1390.86s | Method=fedavg
[Round 036/100] Acc=22.330 | RoundTime=39.66s | TotalTime=1430.52s | Method=fedavg
[Round 037/100] Acc=22.440 | RoundTime=39.57s | TotalTime=1470.09s | Method=fedavg
[Round 038/100] Acc=21.670 | RoundTime=39.71s | TotalTime=1509.79s | Method=fedavg
[Round 039/100] Acc=22.540 | RoundTime=39.48s | TotalTime=1549.27s | Method=fedavg
[Round 040/100] Acc=23.220 | RoundTime=39.09s | TotalTime=1588.37s | Method=fedavg
[Round 041/100] Acc=22.540 | RoundTime=39.53s | TotalTime=1627.89s | Method=fedavg
[Round 042/100] Acc=22.820 | RoundTime=39.38s | TotalTime=1667.27s | Method=fedavg
[Round 043/100] Acc=23.000 | RoundTime=39.24s | TotalTime=1706.51s | Method=fedavg
[Round 044/100] Acc=24.210 | RoundTime=39.34s | TotalTime=1745.84s | Method=fedavg
[Round 045/100] Acc=22.790 | RoundTime=39.57s | TotalTime=1785.42s | Method=fedavg
[Round 046/100] Acc=23.330 | RoundTime=39.32s | TotalTime=1824.74s | Method=fedavg
[Round 047/100] Acc=22.360 | RoundTime=39.40s | TotalTime=1864.14s | Method=fedavg
[Round 048/100] Acc=23.160 | RoundTime=39.31s | TotalTime=1903.45s | Method=fedavg
[Round 049/100] Acc=22.680 | RoundTime=39.57s | TotalTime=1943.01s | Method=fedavg
[Round 050/100] Acc=23.630 | RoundTime=39.76s | TotalTime=1982.77s | Method=fedavg
[Round 051/100] Acc=23.380 | RoundTime=39.42s | TotalTime=2022.19s | Method=fedavg
