epoch	phase	stage	acc	stage_pure	clean_precision	clean_recall	noisy_precision	noisy_recall	keep_ratio	avg_teacher_similarity	round_time_sec	total_time_sec
0	standard	warmup	1.0	None	None	None	None	None	None	None	154.7726	154.7798
1	standard	warmup	1.87	None	None	None	None	None	None	None	159.9924	314.7852
2	standard	warmup	7.01	None	None	None	None	None	None	None	158.3790	473.1724
3	standard	warmup	12.08	None	None	None	None	None	None	None	158.2755	631.4559
4	standard	warmup	14.57	None	None	None	None	None	None	None	159.5653	791.0775
5	standard	warmup	16.3	None	None	None	None	None	None	None	158.2411	949.3275
6	standard	warmup	18.79	None	None	None	None	None	None	None	158.8643	1108.2000
7	standard	warmup	20.48	None	None	None	None	None	None	None	158.7297	1266.9664
8	standard	warmup	22.13	None	None	None	None	None	None	None	157.2526	1424.2281
9	standard	warmup	23.57	None	None	None	None	None	None	None	159.6405	1583.8770
10	standard	warmup	24.75	None	None	None	None	None	None	None	161.1485	1745.0417
11	standard	warmup	25.93	None	None	None	None	None	None	None	159.5602	1904.6099
12	standard	warmup	27.39	None	None	None	None	None	None	None	156.4254	2061.0434
13	standard	warmup	27.74	None	None	None	None	None	None	None	158.4966	2219.5479
14	standard	warmup	28.73	None	None	None	None	None	None	None	156.9301	2376.4868
15	standard	warmup	29.25	None	None	None	None	None	None	None	157.4350	2533.9298
16	standard	warmup	30.52	None	None	None	None	None	None	None	157.9509	2691.8893
17	standard	warmup	30.64	None	None	None	None	None	None	None	158.7198	2850.6168
18	standard	warmup	31.33	None	None	None	None	None	None	None	158.2891	3008.9141
19	standard	warmup	31.49	None	None	None	None	None	None	None	157.6813	3166.6042
20	standard	warmup	32.16	None	None	None	None	None	None	None	159.3718	3325.9835
21	standard	warmup	32.03	None	None	None	None	None	None	None	158.4853	3484.4767
22	standard	warmup	32.45	None	None	None	None	None	None	None	160.3454	3644.8308
23	standard	warmup	32.44	None	None	None	None	None	None	None	159.5490	3804.3874
24	standard	warmup	32.54	None	None	None	None	None	None	None	160.9682	3965.3636
25	standard	warmup	31.9	None	None	None	None	None	None	None	157.9954	4123.3686
26	standard	warmup	31.93	None	None	None	None	None	None	None	158.6972	4282.1020
27	standard	warmup	31.43	None	None	None	None	None	None	None	159.5353	4441.6459
28	standard	warmup	31.68	None	None	None	None	None	None	None	159.3203	4600.9742
29	standard	warmup	31.63	None	None	None	None	None	None	None	159.3428	4760.3252
30	standard	warmup	31.43	None	None	None	None	None	None	None	159.9756	4920.3091
31	standard	warmup	30.81	None	None	None	None	None	None	None	158.8523	5079.1694
32	standard	warmup	31.03	None	None	None	None	None	None	None	159.5733	5238.7515
33	standard	warmup	31.04	None	None	None	None	None	None	None	159.2900	5398.1032
34	standard	warmup	31.0	None	None	None	None	None	None	None	159.3664	5557.4794
35	standard	warmup	30.68	None	None	None	None	None	None	None	160.7184	5718.2059
36	standard	warmup	30.71	None	None	None	None	None	None	None	158.9048	5877.1204
37	standard	warmup	30.19	None	None	None	None	None	None	None	157.9144	6035.0460
38	standard	warmup	30.76	None	None	None	None	None	None	None	158.9638	6194.0481
39	standard	warmup	30.09	None	None	None	None	None	None	None	157.1803	6351.2415
40	standard	warmup	30.6	None	None	None	None	None	None	None	159.0757	6510.3254
41	standard	warmup	30.12	None	None	None	None	None	None	None	157.8233	6668.1581
42	standard	warmup	30.15	None	None	None	None	None	None	None	158.8325	6826.9995
43	standard	warmup	29.96	None	None	None	None	None	None	None	158.0464	6985.0569
44	standard	warmup	29.49	None	None	None	None	None	None	None	159.9301	7144.9951
45	standard	warmup	29.88	None	None	None	None	None	None	None	160.0236	7305.0267
46	standard	warmup	29.82	None	None	None	None	None	None	None	157.6551	7462.6896
47	standard	warmup	29.77	None	None	None	None	None	None	None	159.7638	7622.4661
48	standard	warmup	29.53	None	None	None	None	None	None	None	161.0561	7783.5305
49	standard	warmup	29.8	None	None	None	None	None	None	None	158.3583	7941.8992
50	standard	warmup	29.24	None	None	None	None	None	None	None	158.7315	8100.6403
51	standard	warmup	29.24	None	None	None	None	None	None	None	156.1531	8256.8016
52	standard	warmup	29.42	None	None	None	None	None	None	None	157.5409	8414.3512
53	standard	warmup	29.41	None	None	None	None	None	None	None	159.8900	8574.2494
54	standard	warmup	29.04	None	None	None	None	None	None	None	158.4583	8732.7173
55	standard	warmup	28.93	None	None	None	None	None	None	None	158.9376	8891.6648
56	standard	warmup	29.19	None	None	None	None	None	None	None	158.1842	9049.8587
57	standard	warmup	29.19	None	None	None	None	None	None	None	157.5699	9207.4405
58	standard	warmup	28.95	None	None	None	None	None	None	None	156.9291	9364.3798
59	standard	warmup	28.92	None	None	None	None	None	None	None	157.9315	9522.3221
60	standard	warmup	28.9	None	None	None	None	None	None	None	157.7484	9680.0791
61	standard	warmup	29.08	None	None	None	None	None	None	None	157.4866	9837.7738
62	standard	warmup	28.71	None	None	None	None	None	None	None	160.5747	9998.3608
63	standard	warmup	28.53	None	None	None	None	None	None	None	158.6141	10156.9832
64	standard	warmup	28.96	None	None	None	None	None	None	None	157.6185	10314.6103
65	standard	warmup	28.17	None	None	None	None	None	None	None	159.1225	10473.7435
66	standard	warmup	28.18	None	None	None	None	None	None	None	158.9515	10632.7036
67	standard	warmup	28.4	None	None	None	None	None	None	None	158.1007	10790.8145
68	standard	warmup	28.42	None	None	None	None	None	None	None	159.5515	10950.3759
69	standard	warmup	28.07	None	None	None	None	None	None	None	159.1597	11109.5440
70	standard	warmup	28.11	None	None	None	None	None	None	None	158.7641	11268.3165
71	standard	warmup	27.99	None	None	None	None	None	None	None	159.8691	11428.1939
72	standard	warmup	27.88	None	None	None	None	None	None	None	159.1570	11587.3592
73	standard	warmup	28.03	None	None	None	None	None	None	None	158.3732	11745.7411
74	standard	warmup	27.85	None	None	None	None	None	None	None	157.3851	11903.1346
75	standard	warmup	27.71	None	None	None	None	None	None	None	157.2364	12060.3800
76	standard	warmup	27.53	None	None	None	None	None	None	None	157.7114	12218.1175
77	standard	warmup	27.24	None	None	None	None	None	None	None	159.1195	12377.2467
78	standard	warmup	27.26	None	None	None	None	None	None	None	158.4667	12535.7233
79	standard	warmup	27.42	None	None	None	None	None	None	None	158.9281	12694.6619
80	standard	warmup	27.54	None	None	None	None	None	None	None	161.2640	12855.9347
81	standard	warmup	26.95	None	None	None	None	None	None	None	159.2975	13015.2409
82	standard	warmup	27.13	None	None	None	None	None	None	None	158.5181	13173.7690
83	standard	warmup	27.12	None	None	None	None	None	None	None	158.3095	13332.0889
84	standard	warmup	27.75	None	None	None	None	None	None	None	157.7039	13489.8027
85	standard	warmup	26.77	None	None	None	None	None	None	None	157.7411	13647.5521
86	standard	warmup	26.6	None	None	None	None	None	None	None	157.0973	13804.6605
87	standard	warmup	26.68	None	None	None	None	None	None	None	157.9910	13962.6611
88	standard	warmup	26.6	None	None	None	None	None	None	None	158.4256	14121.0951
89	standard	warmup	26.52	None	None	None	None	None	None	None	159.3469	14280.4506
90	standard	warmup	26.64	None	None	None	None	None	None	None	158.4541	14438.9499
91	standard	warmup	26.67	None	None	None	None	None	None	None	158.8807	14597.8402
92	standard	warmup	26.81	None	None	None	None	None	None	None	157.2694	14755.1179
93	standard	warmup	27.2	None	None	None	None	None	None	None	157.3882	14912.5149
94	standard	warmup	26.65	None	None	None	None	None	None	None	160.7307	15073.2539
95	standard	warmup	26.76	None	None	None	None	None	None	None	158.4296	15231.7428
96	standard	warmup	26.69	None	None	None	None	None	None	None	159.1474	15390.9005
97	standard	warmup	26.4	None	None	None	None	None	None	None	158.4047	15549.3154
98	standard	warmup	26.46	None	None	None	None	None	None	None	160.4449	15709.7715
99	standard	warmup	26.49	None	None	None	None	None	None	None	147.5836	15857.3631
