====================================================================================================
Training started at: 2026-03-14 08:47:22
Result directory: results/fl_cifar100/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3
Result txt file : results/fl_cifar100/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-084722.txt
Result log file : results/fl_cifar100/fedcda/pm-dir_a-0.5_nm-uni_nr-0.3/fedcda_fl_cifar100_20260314-084722.log
----------------------------------------------------------------------------------------------------
Model: fedcda
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: least_sim
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | RoundTime=41.83s | TotalTime=41.83s | Method=fedcda
[Round 002/100] Acc=1.000 | RoundTime=43.71s | TotalTime=85.54s | Method=fedcda
[Round 003/100] Acc=3.410 | RoundTime=41.64s | TotalTime=127.18s | Method=fedcda
[Round 004/100] Acc=6.600 | RoundTime=41.55s | TotalTime=168.73s | Method=fedcda
[Round 005/100] Acc=9.890 | RoundTime=41.59s | TotalTime=210.31s | Method=fedcda
[Round 006/100] Acc=7.970 | RoundTime=42.14s | TotalTime=252.46s | Method=fedcda
[Round 007/100] Acc=8.610 | RoundTime=42.15s | TotalTime=294.61s | Method=fedcda
[Round 008/100] Acc=6.010 | RoundTime=43.15s | TotalTime=337.76s | Method=fedcda
[Round 009/100] Acc=9.180 | RoundTime=44.46s | TotalTime=382.22s | Method=fedcda
[Round 010/100] Acc=11.940 | RoundTime=40.32s | TotalTime=422.54s | Method=fedcda
[Round 011/100] Acc=8.520 | RoundTime=43.90s | TotalTime=466.44s | Method=fedcda
[Round 012/100] Acc=11.990 | RoundTime=43.91s | TotalTime=510.35s | Method=fedcda
[Round 013/100] Acc=11.350 | RoundTime=44.36s | TotalTime=554.71s | Method=fedcda
[Round 014/100] Acc=12.460 | RoundTime=44.07s | TotalTime=598.78s | Method=fedcda
[Round 015/100] Acc=12.300 | RoundTime=42.95s | TotalTime=641.73s | Method=fedcda
[Round 016/100] Acc=12.130 | RoundTime=43.44s | TotalTime=685.17s | Method=fedcda
[Round 017/100] Acc=12.010 | RoundTime=42.61s | TotalTime=727.79s | Method=fedcda
[Round 018/100] Acc=13.450 | RoundTime=43.48s | TotalTime=771.27s | Method=fedcda
[Round 019/100] Acc=13.220 | RoundTime=45.24s | TotalTime=816.51s | Method=fedcda
[Round 020/100] Acc=10.050 | RoundTime=44.48s | TotalTime=860.99s | Method=fedcda
[Round 021/100] Acc=14.560 | RoundTime=43.85s | TotalTime=904.83s | Method=fedcda
[Round 022/100] Acc=13.120 | RoundTime=43.41s | TotalTime=948.25s | Method=fedcda
[Round 023/100] Acc=15.490 | RoundTime=43.50s | TotalTime=991.75s | Method=fedcda
[Round 024/100] Acc=12.920 | RoundTime=43.61s | TotalTime=1035.36s | Method=fedcda
[Round 025/100] Acc=11.300 | RoundTime=43.99s | TotalTime=1079.35s | Method=fedcda
[Round 026/100] Acc=13.780 | RoundTime=42.91s | TotalTime=1122.26s | Method=fedcda
[Round 027/100] Acc=15.140 | RoundTime=43.95s | TotalTime=1166.21s | Method=fedcda
[Round 028/100] Acc=15.990 | RoundTime=45.01s | TotalTime=1211.22s | Method=fedcda
[Round 029/100] Acc=13.280 | RoundTime=43.24s | TotalTime=1254.47s | Method=fedcda
[Round 030/100] Acc=12.180 | RoundTime=43.89s | TotalTime=1298.36s | Method=fedcda
[Round 031/100] Acc=16.360 | RoundTime=43.79s | TotalTime=1342.15s | Method=fedcda
[Round 032/100] Acc=16.730 | RoundTime=43.69s | TotalTime=1385.84s | Method=fedcda
[Round 033/100] Acc=16.160 | RoundTime=43.60s | TotalTime=1429.44s | Method=fedcda
[Round 034/100] Acc=17.060 | RoundTime=44.96s | TotalTime=1474.40s | Method=fedcda
