epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	None	44.8416	44.8419
1	1.62	None	42.7686	87.6121
2	2.77	None	45.1578	132.7702
3	5.8	None	44.4484	177.2189
4	6.06	None	43.9536	221.1729
5	8.57	None	43.0744	264.2477
6	7.39	None	43.9537	308.2019
7	8.31	None	43.8797	352.0819
8	9.02	None	43.3293	395.4115
9	8.3	None	46.5298	441.9417
10	9.77	None	44.5191	486.4624
11	10.24	None	43.4835	529.9463
12	9.73	None	44.6795	574.6262
13	12.39	None	44.9849	619.6114
14	11.55	None	45.7063	665.3181
15	11.14	None	45.4249	710.7433
16	13.75	None	46.2585	757.0022
17	15.0	None	45.3902	802.3928
18	15.34	None	46.0112	848.4043
19	14.04	None	46.4767	894.8814
20	15.14	None	45.7701	940.6518
21	13.83	None	47.5924	988.2457
22	15.35	None	48.5022	1036.7481
23	16.45	None	44.9819	1081.7304
24	17.77	None	44.4370	1126.1679
25	15.39	None	44.1672	1170.3354
26	11.63	None	44.2174	1214.5532
27	15.6	None	45.1316	1259.6851
28	14.85	None	42.9522	1302.6377
29	17.09	None	44.3358	1346.9738
30	16.78	None	44.6004	1391.5746
31	15.57	None	43.6661	1435.2411
32	14.44	None	43.4695	1478.7110
33	15.3	None	45.5369	1524.2481
34	15.99	None	44.5439	1568.7929
35	19.2	None	44.7460	1613.5392
36	18.76	None	44.8439	1658.3852
37	18.2	None	42.7855	1701.1710
38	15.6	None	51.5302	1752.7016
39	15.49	None	47.1146	1799.8166
40	18.57	None	45.4125	1845.2294
41	17.0	None	44.8213	1890.0511
42	17.16	None	45.1724	1935.2238
43	18.04	None	43.2474	1978.4716
44	14.57	None	45.7337	2024.2058
45	17.52	None	47.0602	2071.2664
46	17.44	None	44.5351	2115.8019
47	17.0	None	44.9978	2160.8000
48	18.37	None	45.5221	2206.3226
49	17.37	None	47.6317	2253.9555
50	17.8	None	60.5285	2314.4843
51	18.26	None	63.6201	2378.1048
52	18.65	None	60.0123	2438.1174
53	18.87	None	61.9339	2500.0518
54	19.15	None	64.0165	2564.0686
55	19.41	None	60.4918	2624.5609
56	19.55	None	61.1502	2685.7114
57	19.44	None	64.2209	2749.9328
58	19.42	None	60.1294	2810.0632
59	19.35	None	61.1578	2871.2214
60	19.26	None	61.4882	2932.7099
61	19.24	None	63.6640	2996.3742
62	19.31	None	59.2836	3055.6581
63	19.39	None	61.5760	3117.2346
64	19.25	None	61.7684	3179.0033
65	19.28	None	61.1493	3240.1531
66	19.21	None	62.1800	3302.3334
67	13.49	None	64.2623	3366.5960
68	13.27	None	62.6659	3429.2629
69	13.17	None	65.6205	3494.8837
70	13.1	None	62.3436	3557.2277
71	13.23	None	63.7353	3620.9634
72	13.06	None	59.7219	3680.6858
73	15.0	None	63.7511	3744.4372
74	15.08	None	59.8020	3804.2396
75	15.0	None	61.1093	3865.3494
76	15.0	None	62.3256	3927.6753
77	14.88	None	60.7625	3988.4382
78	14.89	None	61.2797	4049.7181
79	14.9	None	61.8454	4111.5638
80	14.87	None	60.8728	4172.4371
81	14.88	None	60.8876	4233.3251
82	14.82	None	60.8792	4294.2046
83	14.77	None	60.4327	4354.6377
84	14.59	None	59.1467	4413.7848
85	16.24	None	61.6590	4475.4441
86	16.35	None	61.3418	4536.7862
87	16.33	None	61.0354	4597.8222
88	16.5	None	61.5461	4659.3687
89	16.34	None	58.2831	4717.6522
90	16.31	None	61.7125	4779.3650
91	16.16	None	59.9218	4839.2871
92	16.2	None	59.8866	4899.1741
93	16.19	None	61.7854	4960.9599
94	16.11	None	60.3120	5021.2722
95	16.14	None	60.8582	5082.1307
96	16.09	None	60.8033	5142.9344
97	15.97	None	64.2472	5207.1820
98	16.22	None	65.6719	5272.8545
99	16.12	None	53.5207	5326.3794
