====================================================================================================
Training started at: 2026-03-08 08:42:40
Result directory: results/fl_cifar100/feddenoise
Result txt file : results/fl_cifar100/feddenoise/model=feddenoise_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=random_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.txt
Result log file : results/fl_cifar100/feddenoise/model=feddenoise_dataset=fl_cifar100_structure=homogeneity_parti=100_onlineRatio=0.1_commE=100_localE=10_bs=64_lr=0.1_alpha=0.5_drop=0.15_denoise=random_noiseType=symmetric_noiseMax=0.3_avg=weight_seed=0_20260308-084240.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | Pure=85.714 | RoundTime=37.04s | TotalTime=37.04s | Method=feddenoise
[Round 002/100] Acc=1.520 | Pure=84.415 | RoundTime=34.00s | TotalTime=71.04s | Method=feddenoise
[Round 003/100] Acc=10.990 | Pure=81.113 | RoundTime=34.26s | TotalTime=105.31s | Method=feddenoise
[Round 004/100] Acc=14.850 | Pure=88.017 | RoundTime=34.12s | TotalTime=139.42s | Method=feddenoise
[Round 005/100] Acc=17.220 | Pure=79.762 | RoundTime=33.99s | TotalTime=173.41s | Method=feddenoise
[Round 006/100] Acc=18.770 | Pure=83.045 | RoundTime=34.45s | TotalTime=207.86s | Method=feddenoise
[Round 007/100] Acc=20.370 | Pure=85.456 | RoundTime=34.22s | TotalTime=242.08s | Method=feddenoise
[Round 008/100] Acc=20.900 | Pure=86.380 | RoundTime=35.86s | TotalTime=277.94s | Method=feddenoise
[Round 009/100] Acc=22.430 | Pure=85.703 | RoundTime=34.63s | TotalTime=312.57s | Method=feddenoise
[Round 010/100] Acc=22.370 | Pure=85.274 | RoundTime=34.25s | TotalTime=346.82s | Method=feddenoise
[Round 011/100] Acc=22.990 | Pure=87.015 | RoundTime=51.19s | TotalTime=398.01s | Method=feddenoise
[Round 012/100] Acc=24.440 | Pure=90.184 | RoundTime=51.38s | TotalTime=449.40s | Method=feddenoise
[Round 013/100] Acc=25.070 | Pure=90.493 | RoundTime=50.85s | TotalTime=500.24s | Method=feddenoise
[Round 014/100] Acc=25.910 | Pure=91.005 | RoundTime=51.17s | TotalTime=551.41s | Method=feddenoise
[Round 015/100] Acc=26.330 | Pure=93.045 | RoundTime=52.24s | TotalTime=603.66s | Method=feddenoise
[Round 016/100] Acc=26.860 | Pure=90.675 | RoundTime=53.00s | TotalTime=656.65s | Method=feddenoise
[Round 017/100] Acc=26.560 | Pure=88.444 | RoundTime=50.98s | TotalTime=707.63s | Method=feddenoise
[Round 018/100] Acc=27.100 | Pure=90.684 | RoundTime=51.48s | TotalTime=759.11s | Method=feddenoise
[Round 019/100] Acc=28.070 | Pure=89.396 | RoundTime=51.01s | TotalTime=810.13s | Method=feddenoise
[Round 020/100] Acc=28.630 | Pure=87.833 | RoundTime=50.80s | TotalTime=860.93s | Method=feddenoise
[Round 021/100] Acc=27.930 | Pure=91.237 | RoundTime=51.21s | TotalTime=912.13s | Method=feddenoise
[Round 022/100] Acc=27.810 | Pure=89.651 | RoundTime=51.15s | TotalTime=963.28s | Method=feddenoise
[Round 023/100] Acc=29.490 | Pure=90.865 | RoundTime=51.23s | TotalTime=1014.51s | Method=feddenoise
[Round 024/100] Acc=28.180 | Pure=87.757 | RoundTime=52.62s | TotalTime=1067.13s | Method=feddenoise
[Round 025/100] Acc=29.680 | Pure=88.145 | RoundTime=51.59s | TotalTime=1118.72s | Method=feddenoise
[Round 026/100] Acc=30.040 | Pure=91.594 | RoundTime=51.49s | TotalTime=1170.21s | Method=feddenoise
[Round 027/100] Acc=29.790 | Pure=89.615 | RoundTime=51.93s | TotalTime=1222.14s | Method=feddenoise
[Round 028/100] Acc=29.420 | Pure=85.706 | RoundTime=50.53s | TotalTime=1272.67s | Method=feddenoise
[Round 029/100] Acc=30.640 | Pure=90.472 | RoundTime=53.18s | TotalTime=1325.85s | Method=feddenoise
[Round 030/100] Acc=30.730 | Pure=89.826 | RoundTime=52.54s | TotalTime=1378.39s | Method=feddenoise
[Round 031/100] Acc=30.000 | Pure=88.586 | RoundTime=51.44s | TotalTime=1429.83s | Method=feddenoise
[Round 032/100] Acc=30.140 | Pure=90.364 | RoundTime=53.19s | TotalTime=1483.02s | Method=feddenoise
[Round 033/100] Acc=30.820 | Pure=90.070 | RoundTime=51.16s | TotalTime=1534.18s | Method=feddenoise
[Round 034/100] Acc=31.300 | Pure=93.575 | RoundTime=52.86s | TotalTime=1587.03s | Method=feddenoise
[Round 035/100] Acc=31.140 | Pure=88.259 | RoundTime=51.13s | TotalTime=1638.17s | Method=feddenoise
[Round 036/100] Acc=31.600 | Pure=90.539 | RoundTime=50.82s | TotalTime=1688.99s | Method=feddenoise
[Round 037/100] Acc=30.750 | Pure=87.561 | RoundTime=51.01s | TotalTime=1740.00s | Method=feddenoise
[Round 038/100] Acc=31.360 | Pure=91.118 | RoundTime=50.96s | TotalTime=1790.96s | Method=feddenoise
[Round 039/100] Acc=31.740 | Pure=89.904 | RoundTime=51.06s | TotalTime=1842.02s | Method=feddenoise
[Round 040/100] Acc=31.280 | Pure=89.005 | RoundTime=50.54s | TotalTime=1892.56s | Method=feddenoise
[Round 041/100] Acc=32.340 | Pure=90.673 | RoundTime=50.83s | TotalTime=1943.40s | Method=feddenoise
[Round 042/100] Acc=32.230 | Pure=89.262 | RoundTime=51.06s | TotalTime=1994.45s | Method=feddenoise
[Round 043/100] Acc=31.990 | Pure=91.485 | RoundTime=50.85s | TotalTime=2045.30s | Method=feddenoise
[Round 044/100] Acc=32.000 | Pure=87.814 | RoundTime=51.24s | TotalTime=2096.54s | Method=feddenoise
