====================================================================================================
Training started at: 2026-03-22 08:52:45
Result directory: results/fl_cifar100/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15
Result txt file : results/fl_cifar100/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15/feddenoise_fl_cifar100_20260322-085245-483734_pid3494588.txt
Result log file : results/fl_cifar100/feddenoise/pm-dir_a-0.1_nm-uni_nr-0.3_nt-symmetric_st-random_dr-0.15/feddenoise_fl_cifar100_20260322-085245-483734_pid3494588.log
----------------------------------------------------------------------------------------------------
Model: feddenoise
Dataset: fl_cifar100
Structure: homogeneity
Participants: 100
Online ratio: 0.1
Communication epochs: 100
Local epoch: 10
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.1
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Denoise score alpha: 0.5
Drop rate: 0.15
Denoise strategy: random
FedProx mu: 0.01
FedRDN std: 0.01
FedCDA history size: NA
FedGLoSS beta: 0.01
Averaging: weight
Seed: 0
====================================================================================================
[Round 001/100] Acc=1.000 | Pure=70.023 | RoundTime=25.01s | TotalTime=25.01s | Method=feddenoise
[Round 002/100] Acc=1.450 | Pure=70.011 | RoundTime=22.03s | TotalTime=47.04s | Method=feddenoise
[Round 003/100] Acc=3.240 | Pure=69.984 | RoundTime=23.06s | TotalTime=70.09s | Method=feddenoise
[Round 004/100] Acc=4.730 | Pure=69.987 | RoundTime=21.75s | TotalTime=91.84s | Method=feddenoise
[Round 005/100] Acc=6.310 | Pure=69.986 | RoundTime=22.40s | TotalTime=114.25s | Method=feddenoise
[Round 006/100] Acc=7.060 | Pure=70.023 | RoundTime=27.11s | TotalTime=141.36s | Method=feddenoise
[Round 007/100] Acc=8.230 | Pure=70.000 | RoundTime=22.81s | TotalTime=164.17s | Method=feddenoise
[Round 008/100] Acc=9.640 | Pure=70.002 | RoundTime=21.31s | TotalTime=185.48s | Method=feddenoise
[Round 009/100] Acc=9.210 | Pure=69.996 | RoundTime=21.42s | TotalTime=206.90s | Method=feddenoise
[Round 010/100] Acc=10.740 | Pure=70.015 | RoundTime=21.99s | TotalTime=228.89s | Method=feddenoise
[Round 011/100] Acc=10.280 | Pure=73.480 | RoundTime=25.93s | TotalTime=254.82s | Method=feddenoise
[Round 012/100] Acc=12.270 | Pure=72.726 | RoundTime=24.85s | TotalTime=279.68s | Method=feddenoise
[Round 013/100] Acc=10.510 | Pure=72.730 | RoundTime=25.17s | TotalTime=304.85s | Method=feddenoise
[Round 014/100] Acc=12.600 | Pure=73.657 | RoundTime=25.88s | TotalTime=330.73s | Method=feddenoise
