epoch	acc	pure	round_time_sec	total_time_sec
0	1.0	69.986	33.1740	33.1741
1	1.0	70.03	32.3752	65.5495
2	2.71	70.012	32.5460	98.0957
3	5.08	70.015	32.4665	130.5624
4	6.8	70.003	37.7087	168.2713
5	7.2	69.984	34.4561	202.7275
6	9.04	69.979	30.9043	233.6321
7	9.68	70.041	32.3620	265.9942
8	11.31	70.001	32.0413	298.0357
9	10.72	69.982	32.5669	330.6027
10	8.51	76.783	45.8032	376.4060
11	9.98	73.988	46.1860	422.5922
12	11.89	74.152	46.2194	468.8117
13	11.28	74.518	46.1248	514.9368
14	12.55	75.928	46.1660	561.1030
15	12.91	73.605	46.6879	607.7911
16	12.33	75.902	38.3450	646.1363
17	13.79	73.834	28.9026	675.0390
18	13.6	74.16	29.7809	704.8201
19	14.14	75.365	29.3775	734.1978
20	14.51	76.337	29.3874	763.5854
21	16.2	76.167	29.9652	793.5508
22	17.37	77.152	29.6537	823.2046
23	16.71	77.336	30.1508	853.3556
24	17.18	76.672	28.9126	882.2683
25	17.44	77.375	28.9741	911.2426
26	17.9	76.196	29.5853	940.8280
27	17.3	77.218	31.7124	972.5406
28	16.9	76.865	32.2606	1004.8015
29	17.43	78.048	32.0688	1036.8705
30	18.59	78.215	32.2435	1069.1142
31	19.65	77.722	32.6962	1101.8107
32	18.77	78.245	31.8603	1133.6711
33	18.48	77.656	32.1923	1165.8636
34	19.16	76.881	31.5371	1197.4009
35	19.41	77.434	32.3982	1229.7992
36	19.24	78.014	32.6246	1262.4241
37	19.05	77.594	28.4838	1290.9081
38	20.3	78.467	29.2552	1320.1635
39	19.6	77.749	28.5593	1348.7230
40	19.34	77.693	31.0708	1379.7940
41	20.1	77.594	30.0793	1409.8735
42	20.15	77.321	29.0917	1438.9654
43	21.63	78.175	30.0383	1469.0038
44	21.17	78.685	30.0880	1499.0920
45	21.67	79.66	29.8704	1528.9626
46	21.22	79.737	30.0458	1559.0086
47	21.84	77.601	30.3070	1589.3157
48	21.12	78.625	30.1921	1619.5079
49	22.03	79.668	30.9058	1650.4139
50	22.39	77.769	30.3870	1680.8011
51	21.18	77.766	30.6733	1711.4746
52	22.08	77.229	31.2057	1742.6805
53	21.05	78.333	30.3095	1772.9901
54	21.4	78.171	30.3647	1803.3550
55	22.16	78.464	30.0641	1833.4193
56	22.05	77.88	31.2525	1864.6720
57	21.42	78.261	30.7245	1895.3968
58	22.53	77.779	30.6868	1926.0838
59	22.63	79.833	30.6885	1956.7724
60	23.08	78.991	31.1026	1987.8754
61	23.26	78.21	31.6204	2019.4959
62	22.82	78.083	30.7481	2050.2442
63	23.26	78.422	30.9307	2081.1751
64	23.29	77.441	33.0430	2114.2183
65	23.52	78.129	32.7219	2146.9404
66	23.51	78.126	32.4228	2179.3634
67	23.61	78.413	32.7547	2212.1182
68	23.85	76.511	32.8700	2244.9885
69	23.33	79.18	32.7673	2277.7560
70	23.51	77.827	32.9976	2310.7538
71	23.73	78.357	32.5223	2343.2764
72	22.6	78.288	32.4269	2375.7034
73	23.64	79.796	32.4643	2408.1679
74	23.34	78.217	32.2094	2440.3775
75	23.75	78.232	32.2992	2472.6768
76	23.57	77.228	32.4670	2505.1440
77	23.69	78.078	31.7959	2536.9401
78	23.54	79.506	32.5375	2569.4777
79	24.9	78.19	31.6780	2601.1559
80	25.28	79.133	30.9072	2632.0633
81	24.1	79.053	28.1488	2660.2127
82	24.27	78.995	30.8321	2691.0450
83	22.61	79.308	31.0306	2722.0759
84	24.77	79.7	27.8400	2749.9161
85	24.18	79.346	31.4652	2781.3815
86	24.9	79.233	32.1230	2813.5047
87	25.1	79.965	32.2383	2845.7432
88	24.68	78.897	32.6571	2878.4005
89	25.35	78.743	32.3730	2910.7737
90	24.95	78.127	32.6703	2943.4442
91	24.65	77.526	32.1317	2975.5761
92	24.41	78.657	32.3332	3007.9094
93	25.69	78.43	32.1825	3040.0923
94	25.68	78.643	31.9317	3072.0243
95	24.97	78.154	32.3169	3104.3413
96	25.51	77.738	32.7389	3137.0805
97	26.04	79.082	31.9990	3169.0796
98	25.51	78.302	27.1215	3196.2013
99	25.05	78.608	27.0027	3223.2042
